セクション,項目,奔驰E级 2025款 改款 E 260 L,奔驰E级 2025款 改款 E 260 L 运动型,奔驰E级 2025款 改款 E 260 L 4MATIC,奔驰E级 2025款 改款 E 260 L 4MATIC 运动型,奔驰E级 2025款 改款 E 300 L 时尚型,奔驰E级 2025款 改款 E 300 L 时尚运动型,奔驰E级 2025款 改款 E 300 L 豪华型,奔驰E级 2025款 改款 E 300 L 豪华运动型,奔驰E级 2025款 改款 E 300 L 尊贵型,奔驰E级 2025款 改款 E 300 L 尊贵运动型
nan,厂商指导价(元),45.18万 计算器,45.18万 计算器,47.78万 计算器,47.78万 计算器,49.98万 计算器,49.98万 计算器,52.98万 计算器,52.98万 计算器,59.98万 计算器,59.98万 计算器
nan,经销商报价,35.18万起 询底价,35.18万起 询底价,37.78万起 询底价,37.78万起 询底价,39.98万起 询底价,39.98万起 询底价,43.98万起 询底价,42.98万起 询底价,49.98万起 询底价,49.98万起 询底价
基本参数,厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03
基本参数,最大功率(kW),150,150,150,150,190,190,190,190,190,190
基本参数,最大扭矩(N·m),320,320,320,320,400,400,400,400,400,400
基本参数,变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4
基本参数,长*宽*高(mm),5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493
基本参数,官方0-100km/h加速(s),7.7,7.7,8,8,6.6,6.6,6.6,6.6,6.6,6.6
基本参数,最高车速(km/h),233,233,230,230,245,245,245,245,245,245
基本参数,WLTC综合油耗(L/100km),6.15,6.15,6.6,6.6,6.55,6.55,6.55,6.55,6.55,6.55
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
