rank_seq,rank,brand,model,count
1,1,奇瑞,星愿,46057
2,2,特斯拉,Model Y,39413
3,3,五菱,宏光MINIEV,37828
4,4,比亚迪,秦PLUS,35800
5,5,日产,轩逸,27695
6,6,海狮,06新能源,25453
7,7,比亚迪,秦L,25380
8,8,海豹,06新能源,24353
9,9,大众,朗逸,24320
10,10,吉利,博越L,24160
11,11,比亚迪,海鸥,23031
12,12,问界,M8,21537
13,13,小米,SU7,19848
14,14,比亚迪,元UP,19647
15,15,大众,速腾,19074
16,16,大众,帕萨特,18695
17,17,大众,途观L,18466
18,18,丰田,RAV4荣放,18312
19,19,吉利,星越L,17758
20,20,特斯拉,Model 3,17739
21,21,丰田,卡罗拉锐放,17644
22,22,大众,迈腾,16969
23,23,小米,YU7,16548
24,24,奇瑞,瑞虎8,15695
25,25,丰田,凯美瑞,15526
26,26,小鹏,MONAM03,15333
27,27,大众,探岳,15189
28,28,丰田,锋兰达,14920
29,29,长安,Lumin,14570
30,30,哈弗,大狗,14457
31,31,比亚迪,海豚,13968
32,32,大众,途岳,13693
33,33,长安,逸动,13637
34,34,海豹,05DM-i,13495
35,35,零跑,C10,13384
36,36,本田,CR-V,13277
37,37,比亚迪,宋PLUS新能源,13098
38,38,奥迪,A6L,12941
39,39,比亚迪,宋Pro新能源,12681
40,40,奇瑞,艾瑞泽8,12577
41,41,长安,CS75PLUS,12179
42,42,宝马,3系,12157
43,43,五菱,缤果,12078
44,44,银河,A7,12078
45,45,比亚迪,元PLUS,11984
46,46,奔驰,C级,11951
47,47,别克,昂科威Plus,11929
48,48,本田,雅阁,11929
49,49,红旗,H5,11882
50,50,吉利,缤越,11761
