rank_seq,rank,brand,model,count,series_url,brand_conf,series_conf,title_raw,brand_ja,model_ja,source_model
1,1,吉利银河,星愿,46057,https://www.autohome.com.cn/7806/,1.0,1.0,【星愿】吉利银河_星愿报价_星愿图片_汽车之家,Geely Galaxy,Voyage,llm
2,2,特斯拉,Model Y,39413,https://www.autohome.com.cn/5769/,1.0,1.0,【Model Y】特斯拉_Model Y报价_Model Y图片_汽车之家,Tesla,Tesla Model Y,llm
3,3,五菱汽车,宏光MINIEV,37828,https://www.autohome.com.cn/5714/,1.0,1.0,【宏光MINIEV】五菱汽车_宏光MINIEV报价_宏光MINIEV图片_汽车之家,Wuling Motors,Hongguang MINIEV,llm
4,4,比亚迪,秦PLUS,35800,https://www.autohome.com.cn/5964/,1.0,1.0,【秦PLUS】比亚迪_秦PLUS报价_秦PLUS图片_汽车之家,BYD,Qin PLUS,llm
5,5,日产,轩逸,27695,https://www.autohome.com.cn/448/,1.0,1.0,【轩逸】日产_轩逸报价_轩逸图片_汽车之家,Nissan,Sylphy,llm
6,6,比亚迪,海狮06新能源,25453,https://www.autohome.com.cn/8087/,1.0,1.0,【海狮06新能源】比亚迪_海狮06新能源报价_海狮06新能源图片_汽车之家,BYD,Haishi 06 New Energy,llm
7,7,比亚迪,秦L,25380,https://www.autohome.com.cn/7578/,1.0,1.0,【秦L】比亚迪_秦L报价_秦L图片_汽车之家,BYD,Qin L,llm
8,8,比亚迪,海豹06新能源,24353,https://www.autohome.com.cn/7588/,1.0,1.0,【海豹06新能源】比亚迪_海豹06新能源报价_海豹06新能源图片_汽车之家,BYD,Seals 06 NEV,llm
9,9,大众,朗逸,24320,https://www.autohome.com.cn/614/,1.0,1.0,【朗逸】大众_朗逸报价_朗逸图片_汽车之家,Volkswagen,Lavida,llm
10,10,吉利汽车,博越L,24160,https://www.autohome.com.cn/6814/,1.0,1.0,【博越L】吉利汽车_博越L报价_博越L图片_汽车之家,Geely,Boyue L,llm
11,11,比亚迪,海鸥,23031,https://www.autohome.com.cn/6762/,1.0,1.0,【海鸥】比亚迪_海鸥报价_海鸥图片_汽车之家,BYD,Seagull,llm
12,12,AITO,问界M8,21537,https://www.autohome.com.cn/8003/,1.0,1.0,【问界M8】AITO 问界_问界M8报价_问界M8图片_汽车之家,AITO,AITO M8,llm
13,13,小米汽车,小米SU7,19848,https://www.autohome.com.cn/6962/,1.0,1.0,【小米SU7】小米汽车_小米SU7报价_小米SU7图片_汽车之家,Xiaomi Auto,Xiaomi SU7,llm
14,14,比亚迪,元UP,19647,https://www.autohome.com.cn/7538/,1.0,1.0,【元UP】比亚迪_元UP报价_元UP图片_汽车之家,BYD,元UP: Moto UP,llm
15,15,大众,速腾,19074,https://www.autohome.com.cn/442/,1.0,1.0,【速腾】大众_速腾报价_速腾图片_汽车之家,Volkswagen,Sagitar,llm
