rank_seq,rank,brand,model,count,series_url,series,brand_conf,series_conf,title_raw
1,1,吉利银河,星愿,46057,https://www.autohome.com.cn/7806/,星愿,1.00,1.00,【星愿】吉利银河_星愿报价_星愿图片_汽车之家
2,2,特斯拉,Model Y,39413,https://www.autohome.com.cn/5769/,Model Y,1.00,1.00,【Model Y】特斯拉_Model Y报价_Model Y图片_汽车之家
3,3,五菱汽车,宏光MINIEV,37828,https://www.autohome.com.cn/5714/,宏光MINIEV,1.00,1.00,【宏光MINIEV】五菱汽车_宏光MINIEV报价_宏光MINIEV图片_汽车之家
4,4,比亚迪,秦PLUS,35800,https://www.autohome.com.cn/5964/,秦PLUS,1.00,1.00,【秦PLUS】比亚迪_秦PLUS报价_秦PLUS图片_汽车之家
5,5,日产,轩逸,27695,https://www.autohome.com.cn/448/,轩逸,1.00,1.00,【轩逸】日产_轩逸报价_轩逸图片_汽车之家
6,6,比亚迪,海狮06新能源,25453,https://www.autohome.com.cn/8087/,海狮06新能源,1.00,1.00,【海狮06新能源】比亚迪_海狮06新能源报价_海狮06新能源图片_汽车之家
7,7,比亚迪,秦L,25380,https://www.autohome.com.cn/7578/,秦L,1.00,1.00,【秦L】比亚迪_秦L报价_秦L图片_汽车之家
8,8,比亚迪,海豹,24353,https://www.autohome.com.cn/7588/,海豹06新能源,1.00,1.00,【海豹06新能源】比亚迪_海豹06新能源报价_海豹06新能源图片_汽车之家
9,9,大众,朗逸,24320,https://www.autohome.com.cn/614/,朗逸,1.00,1.00,【朗逸】大众_朗逸报价_朗逸图片_汽车之家
10,10,吉利汽车,博越L,24160,https://www.autohome.com.cn/6814/,博越L,1.00,1.00,【博越L】吉利汽车_博越L报价_博越L图片_汽车之家
11,11,比亚迪,海鸥,23031,https://www.autohome.com.cn/6762/,海鸥,1.00,1.00,【海鸥】比亚迪_海鸥报价_海鸥图片_汽车之家
12,12,AITO,问界M8,21537,https://www.autohome.com.cn/8003/,问界M8,1.00,1.00,【问界M8】AITO 问界_问界M8报价_问界M8图片_汽车之家
13,13,小米汽车,小米SU7,19848,https://www.autohome.com.cn/6962/,小米SU7,1.00,1.00,【小米SU7】小米汽车_小米SU7报价_小米SU7图片_汽车之家
14,14,比亚迪,元UP,19647,https://www.autohome.com.cn/7538/,元UP,1.00,1.00,【元UP】比亚迪_元UP报价_元UP图片_汽车之家
15,15,大众,速腾,19074,https://www.autohome.com.cn/442/,速腾,1.00,1.00,【速腾】大众_速腾报价_速腾图片_汽车之家
16,16,大众,帕萨特,18695,https://www.autohome.com.cn/528/,帕萨特,1.00,1.00,【帕萨特】大众_帕萨特报价_帕萨特图片_汽车之家
17,17,大众,途观L,18466,https://www.autohome.com.cn/4274/,途观L,1.00,1.00,【途观L】大众_途观L报价_途观L图片_汽车之家
18,18,丰田,RAV4荣放,18312,https://www.autohome.com.cn/770/,RAV4荣放,1.00,1.00,【RAV4荣放】丰田_RAV4荣放报价_RAV4荣放图片_汽车之家
19,19,吉利汽车,星越L,17758,https://www.autohome.com.cn/6004/,星越L,1.00,1.00,【星越L】吉利汽车_星越L报价_星越L图片_汽车之家
20,20,特斯拉,Model 3,17739,https://www.autohome.com.cn/5346/,Model 3,1.00,1.00,【Model 3】特斯拉_Model 3报价_Model 3图片_汽车之家
21,21,未知,卡罗拉锐放,17644,,未知,0.00,0.00,
22,22,未知,迈腾,16969,,未知,0.00,0.00,
23,23,未知,小米YU7,16548,,未知,0.00,0.00,
24,24,未知,瑞虎8,15695,,未知,0.00,0.00,
25,25,未知,凯美瑞,15526,,未知,0.00,0.00,
26,26,未知,小鹏MONA M03,15333,,未知,0.00,0.00,
27,27,未知,探岳,15189,,未知,0.00,0.00,
28,28,未知,锋兰达,14920,,未知,0.00,0.00,
29,29,未知,长安Lumin,14570,,未知,0.00,0.00,
30,30,未知,哈弗大狗,14457,,未知,0.00,0.00,
31,31,未知,海豚,13968,,未知,0.00,0.00,
32,32,未知,途岳,13693,,未知,0.00,0.00,
33,33,未知,逸动,13637,,未知,0.00,0.00,
34,34,未知,海豹05 DM-i,13495,,未知,0.00,0.00,
35,35,未知,零跑C10,13384,,未知,0.00,0.00,
36,36,未知,CR-V,13277,,未知,0.00,0.00,
37,37,未知,宋PLUS新能源,13098,,未知,0.00,0.00,
38,38,未知,奥迪A6L,12941,,未知,0.00,0.00,
39,39,未知,宋Pro新能源,12681,,未知,0.00,0.00,
40,40,未知,艾瑞泽8,12577,,未知,0.00,0.00,
41,41,未知,长安CS75 PLUS,12179,,未知,0.00,0.00,
42,42,未知,3系,12157,,未知,0.00,0.00,
43,43,未知,缤果,12078,,未知,0.00,0.00,
44,44,未知,银河A7,12078,,未知,0.00,0.00,
45,45,未知,元PLUS,11984,,未知,0.00,0.00,
46,46,未知,C级,11951,,未知,0.00,0.00,
47,47,未知,昂科威Plus,11929,,未知,0.00,0.00,
48,48,未知,雅阁,11929,,未知,0.00,0.00,
49,49,未知,红旗H5,11882,,未知,0.00,0.00,
50,50,未知,缤越,11761,,未知,0.00,0.00,
