rank,series_url,title,brand,model,count
1,https://www.autohome.com.cn/7806/,【星愿】吉利银河_星愿报价_星愿图片_汽车之家,吉利,银河星愿,
2,https://www.autohome.com.cn/5769/,【Model Y】特斯拉_Model Y报价_Model Y图片_汽车之家,特斯拉,Model Y,
3,https://www.autohome.com.cn/5714/,【宏光MINIEV】五菱汽车_宏光MINIEV报价_宏光MINIEV图片_汽车之家,五菱汽车,宏光MINIEV,
4,https://www.autohome.com.cn/5964/,【秦PLUS】比亚迪_秦PLUS报价_秦PLUS图片_汽车之家,比亚迪,秦PLUS,
5,https://www.autohome.com.cn/448/,【轩逸】日产_轩逸报价_轩逸图片_汽车之家,日产,轩逸,
6,https://www.autohome.com.cn/8087/,【海狮06新能源】比亚迪_海狮06新能源报价_海狮06新能源图片_汽车之家,比亚迪,海狮06新能源,
7,https://www.autohome.com.cn/7578/,【秦L】比亚迪_秦L报价_秦L图片_汽车之家,比亚迪,秦L,
8,https://www.autohome.com.cn/7588/,【海豹06新能源】比亚迪_海豹06新能源报价_海豹06新能源图片_汽车之家,比亚迪,海豹06新能源,
9,https://www.autohome.com.cn/614/,【朗逸】大众_朗逸报价_朗逸图片_汽车之家,大众,朗逸,
10,https://www.autohome.com.cn/6814/,【博越L】吉利汽车_博越L报价_博越L图片_汽车之家,吉利汽车,博越L,
11,https://www.autohome.com.cn/6762/,【海鸥】比亚迪_海鸥报价_海鸥图片_汽车之家,比亚迪,海鸥,
12,https://www.autohome.com.cn/8003/,【问界M8】AITO 问界_问界M8报价_问界M8图片_汽车之家,AITO,问界M8,
13,https://www.autohome.com.cn/6962/,【小米SU7】小米汽车_小米SU7报价_小米SU7图片_汽车之家,小米,SU7,
14,https://www.autohome.com.cn/7538/,【元UP】比亚迪_元UP报价_元UP图片_汽车之家,比亚迪,元UP,
15,https://www.autohome.com.cn/442/,【速腾】大众_速腾报价_速腾图片_汽车之家,大众,速腾,
16,https://www.autohome.com.cn/528/,【帕萨特】大众_帕萨特报价_帕萨特图片_汽车之家,大众,帕萨特,
17,https://www.autohome.com.cn/4274/,【途观L】大众_途观L报价_途观L图片_汽车之家,大众,途观L,
18,https://www.autohome.com.cn/770/,【RAV4荣放】丰田_RAV4荣放报价_RAV4荣放图片_汽车之家,丰田,RAV4荣放,
19,https://www.autohome.com.cn/6004/,【星越L】吉利汽车_星越L报价_星越L图片_汽车之家,吉利汽车,星越L,
20,https://www.autohome.com.cn/5346/,【Model 3】特斯拉_Model 3报价_Model 3图片_汽车之家,特斯拉,Model 3,
