rank,series_url,title,brand,model,count,brand_ja,model_ja,model_official_en,source_model
1,https://www.autohome.com.cn/7806/,【星愿】吉利银河_星愿报价_星愿图片_汽车之家,吉利,银河星愿,,吉利,吉利银河-新能源架构造车引领者-吉利银河汽车官方网站,吉利银河-新能源架构造车引领者-吉利银河汽车官方网站,official
2,https://www.autohome.com.cn/5769/,【Model Y】特斯拉_Model Y报价_Model Y图片_汽车之家,特斯拉,Model Y,,特斯拉,"Tesla, Inc. Wikipedia","Tesla, Inc. Wikipedia",official
3,https://www.autohome.com.cn/5714/,【宏光MINIEV】五菱汽车_宏光MINIEV报价_宏光MINIEV图片_汽车之家,五菱汽车,宏光MINIEV,,五菱汽车,上汽通用五菱SGMW官网- 人民需要什么，五菱就造什么！,上汽通用五菱SGMW官网- 人民需要什么，五菱就造什么！,official
4,https://www.autohome.com.cn/5964/,【秦PLUS】比亚迪_秦PLUS报价_秦PLUS图片_汽车之家,比亚迪,秦PLUS,,比亚迪,比亚迪汽车官方网站首页- 新能源汽车世界冠军,比亚迪汽车官方网站首页- 新能源汽车世界冠军,official
5,https://www.autohome.com.cn/448/,【轩逸】日产_轩逸报价_轩逸图片_汽车之家,日产,轩逸,,日产,Category:Nissan Sylphy Wikimedia Commons,Category:Nissan Sylphy Wikimedia Commons,official
6,https://www.autohome.com.cn/8087/,【海狮06新能源】比亚迪_海狮06新能源报价_海狮06新能源图片_汽车之家,比亚迪,海狮06新能源,,比亚迪,"Electric Cars, Sedans and","Electric Cars, Sedans and",official
7,https://www.autohome.com.cn/7578/,【秦L】比亚迪_秦L报价_秦L图片_汽车之家,比亚迪,秦L,,比亚迪,"Electric Cars, Sedans and","Electric Cars, Sedans and",official
8,https://www.autohome.com.cn/7588/,【海豹06新能源】比亚迪_海豹06新能源报价_海豹06新能源图片_汽车之家,比亚迪,海豹06新能源,,比亚迪,"Electric Cars, Sedans and","Electric Cars, Sedans and",official
9,https://www.autohome.com.cn/614/,【朗逸】大众_朗逸报价_朗逸图片_汽车之家,大众,朗逸,,大众,大众汽车中国官方网站,大众汽车中国官方网站,official
10,https://www.autohome.com.cn/6814/,【博越L】吉利汽车_博越L报价_博越L图片_汽车之家,吉利汽车,博越L,,吉利汽车,新博越,新博越,official
11,https://www.autohome.com.cn/6762/,【海鸥】比亚迪_海鸥报价_海鸥图片_汽车之家,比亚迪,海鸥,,比亚迪,"Electric Cars, Sedans and","Electric Cars, Sedans and",official
12,https://www.autohome.com.cn/8003/,【问界M8】AITO 问界_问界M8报价_问界M8图片_汽车之家,AITO,问界M8,,AITO,AITO 汽车- 赛力斯华为联合设计,AITO 汽车- 赛力斯华为联合设计,official
13,https://www.autohome.com.cn/6962/,【小米SU7】小米汽车_小米SU7报价_小米SU7图片_汽车之家,小米,SU7,,小米,Xiaomi SU7 Wikipedia,Xiaomi SU7 Wikipedia,official
14,https://www.autohome.com.cn/7538/,【元UP】比亚迪_元UP报价_元UP图片_汽车之家,比亚迪,元UP,,比亚迪,"Electric Cars, Sedans and","Electric Cars, Sedans and",official
15,https://www.autohome.com.cn/442/,【速腾】大众_速腾报价_速腾图片_汽车之家,大众,速腾,,大众,大众汽车中国官方网站,大众汽车中国官方网站,official
16,https://www.autohome.com.cn/528/,【帕萨特】大众_帕萨特报价_帕萨特图片_汽车之家,大众,帕萨特,,大众,大众汽车中国官方网站,大众汽车中国官方网站,official
17,https://www.autohome.com.cn/4274/,【途观L】大众_途观L报价_途观L图片_汽车之家,大众,途观L,,大众,大众汽车中国官方网站,大众汽车中国官方网站,official
18,https://www.autohome.com.cn/770/,【RAV4荣放】丰田_RAV4荣放报价_RAV4荣放图片_汽车之家,丰田,RAV4荣放,,丰田,RAV4 荣放智能电混双擎 丰田中国官方网站- 全线车系,RAV4 荣放智能电混双擎 丰田中国官方网站- 全线车系,official
19,https://www.autohome.com.cn/6004/,【星越L】吉利汽车_星越L报价_星越L图片_汽车之家,吉利汽车,星越L,,吉利汽车,星越L,星越L,official
20,https://www.autohome.com.cn/5346/,【Model 3】特斯拉_Model 3报价_Model 3图片_汽车之家,特斯拉,Model 3,,特斯拉,"Tesla, Inc. Wikipedia","Tesla, Inc. Wikipedia",official
