rank_seq,rank,name,count
1,1,理想L7,46057
2,2,Model Y,39413
3,3,宏光MINIEV,37828
4,4,比亚迪秦PLUS,35800
5,5,比亚迪宋,27695
6,5,秦PLUS DM-i,27695
7,6,哪吒U,25453
8,7,汉L,25380
9,8,哪吒S,24353
10,9,速腾,24320
11,10,某品牌L,24169
12,10,汉L,24160
13,11,某品牌,23031
14,12,某品牌M8,21537
15,13,某品牌SU7,19848
16,14,哪吒UP,19647
17,14,某ブランドUP,19647
18,15,凌渡,19074
19,16,迈腾,18695
20,17,途观L,18466
21,18,RAV4荣放,18312
22,19,红旗HS5,17758
23,20,Model 3,17739
24,21,本田CR-V,17644
25,22,奥迪Q5,16969
26,22,未知,16969
27,23,未知YU7,16548
28,24,未知8,15695
29,25,未知,15526
30,26,未知MONA M03,15333
31,26,理想L7,15333
32,27,大众ID.4,15189
33,28,比亚迪宋,14920
34,29,长安Lumin,14570
35,31,别克 昂科威,14457
36,30,奇瑞瑞虎8,14457
37,31,长安 CS75,13968
38,32,大众 途观L,13693
39,33,吉利 博越,13637
40,34,比亚迪 宋Pro DM-i,13495
41,35,长安 CS55,13384
42,39,长安CS55 Pro,12681
43,40,比亚迪宋Pro DM-i,12577
44,41,长安CS75 PLUS,12179
45,42,理想L8,12157
46,43,五菱宏光MINIEV,12078
47,48,未知,11929
48,47,未知Plus,11929
49,49,未知H5,11882
50,50,未知,11761
