rank_seq,rank,brand,model,count,series_url,brand_conf,series_conf,title_raw,brand_ja,model_ja
1,1,星,愿,,https://www.autohome.com.cn/7806/,0.70,0.70,星愿,,
2,2,Model,Y,,https://www.autohome.com.cn/5769/,0.70,0.70,Model Y,,
3,3,宏光MINIE,V,,https://www.autohome.com.cn/5714/,0.70,0.70,宏光MINIEV,,
4,4,秦PLU,S,,https://www.autohome.com.cn/5964/,0.70,0.70,秦PLUS,,
5,5,轩,逸,,https://www.autohome.com.cn/448/,0.70,0.70,轩逸,,
6,6,海狮,06新能源,,https://www.autohome.com.cn/8087/,0.70,0.70,海狮06新能源,,
7,7,秦,L,,https://www.autohome.com.cn/7578/,0.70,0.70,秦L,,
8,8,海豹,06新能源,,https://www.autohome.com.cn/7588/,0.70,0.70,海豹06新能源,,
9,9,朗,逸,,https://www.autohome.com.cn/614/,0.70,0.70,朗逸,,
10,10,博越,L,,https://www.autohome.com.cn/6814/,0.70,0.70,博越L,,
11,11,海,鸥,,https://www.autohome.com.cn/6762/,0.70,0.70,海鸥,,
12,12,问界M,8,,https://www.autohome.com.cn/8003/,0.70,0.70,问界M8,,
13,13,小米SU,7,,https://www.autohome.com.cn/6962/,0.70,0.70,小米SU7,,
14,14,元U,P,,https://www.autohome.com.cn/7538/,0.70,0.70,元UP,,
15,15,速,腾,,https://www.autohome.com.cn/442/,0.70,0.70,速腾,,
16,16,帕萨,特,,https://www.autohome.com.cn/528/,0.70,0.70,帕萨特,,
17,17,途观,L,,https://www.autohome.com.cn/4274/,0.70,0.70,途观L,,
18,18,RAV,4荣放,,https://www.autohome.com.cn/770/,0.70,0.70,RAV4荣放,,
19,19,星越,L,,https://www.autohome.com.cn/6004/,0.70,0.70,星越L,,
20,20,Model,3,,https://www.autohome.com.cn/5346/,0.70,0.70,Model 3,,
21,21,卡罗拉锐,放,,,0.70,0.70,卡罗拉锐放,,
22,22,迈,腾,,,0.70,0.70,迈腾,,
23,23,小米YU,7,,,0.70,0.70,小米YU7,,
24,24,瑞虎,8,,,0.70,0.70,瑞虎8,,
25,25,凯美,瑞,,,0.70,0.70,凯美瑞,,
26,26,小鹏MONA,M03,,,0.70,0.70,小鹏MONA M03,,
27,27,探,岳,,,0.70,0.70,探岳,,
28,28,锋兰,达,,,0.70,0.70,锋兰达,,
29,29,长安Lumi,n,,,0.70,0.70,长安Lumin,,
30,30,哈弗大,狗,,,0.70,0.70,哈弗大狗,,
31,31,海,豚,,,0.70,0.70,海豚,,
32,32,途,岳,,,0.70,0.70,途岳,,
33,33,逸,动,,,0.70,0.70,逸动,,
34,34,海豹05,DM-i,,,0.70,0.70,海豹05 DM-i,,
35,35,零跑C,10,,,0.70,0.70,零跑C10,,
36,36,本田CR,-V,,,0.70,0.70,本田CR-V,,
37,37,宋PLUS新能,源,,,0.70,0.70,宋PLUS新能源,,
38,38,奥迪A,6L,,,0.70,0.70,奥迪A6L,,
39,39,宋Pro新能,源,,,0.70,0.70,宋Pro新能源,,
40,40,艾瑞泽,8,,,0.70,0.70,艾瑞泽8,,
41,41,长安CS75,PLUS,,,0.70,0.70,长安CS75 PLUS,,
42,42,宝马,3系,,,0.70,0.70,宝马3系,,
43,43,五菱缤,果,,,0.70,0.70,五菱缤果,,
44,44,银河A,7,,,0.70,0.70,银河A7,,
45,45,元PLU,S,,,0.70,0.70,元PLUS,,
46,46,奔驰C,级,,,0.70,0.70,奔驰C级,,
47,47,昂科威Plu,s,,,0.70,0.70,昂科威Plus,,
48,48,雅,阁,,,0.70,0.70,雅阁,,
49,49,红旗H,5,,,0.70,0.70,红旗H5,,
50,50,缤,越,,,0.70,0.70,缤越,,
51,51,威兰,达,,,0.70,0.70,威兰达,,
52,52,理想L,6,,,0.70,0.70,理想L6,,
53,53,宋L,DM-i,,,0.70,0.70,宋L DM-i,,
54,54,长安X5,PLUS,,,0.70,0.70,长安X5 PLUS,,
55,55,皓,影,,,0.70,0.70,皓影,,
56,56,乐道L,90,,,0.70,0.70,乐道L90,,
57,57,奔驰GL,C,,,0.70,0.70,奔驰GLC,,
58,58,熊,猫,,,0.70,0.70,熊猫,,
59,59,风云A,9L,,,0.70,0.70,风云A9L,,
60,60,零跑B,01,,,0.70,0.70,零跑B01,,
61,61,海狮05,EV,,,0.70,0.70,海狮05 EV,,
62,62,银河星耀,8,,,0.70,0.70,银河星耀8,,
63,63,日产N,7,,,0.70,0.70,日产N7,,
64,64,问界M,9,,,0.70,0.70,问界M9,,
65,65,亚洲,龙,,,0.70,0.70,亚洲龙,,
66,66,银河E,5,,,0.70,0.70,银河E5,,
67,67,奥迪Q,5L,,,0.70,0.70,奥迪Q5L,,
68,68,长安启源Q,07,,,0.70,0.70,长安启源Q07,,
69,69,零跑C,11,,,0.70,0.70,零跑C11,,
70,70,钛,3,,,0.70,0.70,钛3,,
71,71,奔驰E,级,,,0.70,0.70,奔驰E级,,
72,72,奔腾小,马,,,0.70,0.70,奔腾小马,,
73,73,银河星舰,7,,,0.70,0.70,银河星舰7,,
74,74,零跑C,16,,,0.70,0.70,零跑C16,,
75,75,宝马,5系,,,0.70,0.70,宝马5系,,
76,76,深蓝S,05,,,0.70,0.70,深蓝S05,,
77,77,赛那SIENN,A,,,0.70,0.70,赛那SIENNA,,
78,78,汉,,,,0.70,0.70,汉,,
79,79,荣威i,5,,,0.70,0.70,荣威i5,,
80,80,卡罗,拉,,,0.70,0.70,卡罗拉,,
81,81,哈弗猛龙新能,源,,,0.70,0.70,哈弗猛龙新能源,,
82,82,领克,900,,,0.70,0.70,领克900,,
83,83,铂智,3X,,,0.70,0.70,铂智3X,,
