セクション,項目,凯美瑞 2026款 双擎 2.0HE 精英版,凯美瑞 2026款 双擎 2.0HGVP 豪华版,凯美瑞 2026款 双擎 2.0HG 尊贵版,凯美瑞 2026款 双擎 2.0HG 光辉版,凯美瑞 2026款 双擎 2.0HSE 运动Lite版,凯美瑞 2026款 双擎 2.0HS 运动版,凯美瑞 2026款 双擎 2.0HXS 运动Plus版,凯美瑞 2026款 双擎 2.0HXS 光辉版,凯美瑞 2026款 2.0E 精英版,凯美瑞 2026款 2.0GVP 豪华版,凯美瑞 2026款 2.0G 尊贵版,凯美瑞 2026款 2.0S 运动版,凯美瑞 2026款 双擎 2.5HG 尊贵版,凯美瑞 2026款 双擎 2.5HXS 运动Plus版,凯美瑞 2026款 双擎 2.5HQ 旗舰版,凯美瑞 2025款 双擎 2.0HG 光辉版,凯美瑞 2025款 双擎 2.0HXS 光辉版,凯美瑞 2025款 双擎 2.5HG 尊贵智行版,凯美瑞 2025款 双擎 2.5HXS 运动Plus智行版
,厂商指导价(元),17.98万 计算器,18.98万 计算器,20.28万 计算器,20.58万 计算器,19.18万 计算器,20.48万 计算器,20.68万 计算器,21.18万 计算器,17.18万 计算器,18.18万 计算器,19.18万 计算器,19.68万 计算器,22.28万 计算器,22.68万 计算器,25.98万 计算器,20.28万 计算器,21.18万 计算器,21.98万 计算器,22.68万 计算器
,经销商报价,14.08万起 询底价,15.08万起 询底价,16.38万起 询底价,16.68万起 询底价,15.28万起 询底价,16.58万起 询底价,16.78万起 询底价,17.28万起 询底价,13.18万起 询底价,14.18万起 询底价,15.18万起 询底价,15.68万起 询底价,18.38万起 询底价,18.78万起 询底价,22.08万起 询底价,16.28万起 询底价,17.18万起 询底价,17.98万起 询底价,18.68万起 询底价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2024.12,2024.12,2025.04,2025.04
基本参数,最大功率(kW),145,145,145,145,145,145,145,145,127,127,127,127,169,169,169,145,145,169,169
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-,206,206,206,206,-,-,-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
