セクション,セクション_ja,項目,項目_ja,2026年モデル ハイブリッド 2.0HE エリート版,2026年モデル ハイブリッド 2.0HGVP ラグジュアリー版,2026年モデル ハイブリッド 2.0HG プレミアム版,2026年モデル ハイブリッド 2.0HG グロリアス版,2026年モデル ハイブリッド 2.0HSE スポーツライト版,2026年モデル ハイブリッド 2.0HS スポーツ版,2026年モデル ハイブリッド 2.0HXS スポーツプラス版,2026年モデル ハイブリッド 2.0HXS グロリアス版,2026年モデル 2.0E エリート版,2026年モデル 2.0GVP ラグジュアリー版,2026年モデル 2.0G プレミアム版,2026年モデル 2.0S スポーツ版,2026年モデル ハイブリッド 2.5HG プレミアム版,2026年モデル ハイブリッド 2.5HXS スポーツプラス版,2026年モデル ハイブリッド 2.5HQ フラッグシップ版,2025年モデル ハイブリッド 2.0HG グロリアス版,2025年モデル ハイブリッド 2.0HXS グロリアス版,2025年モデル ハイブリッド 2.5HG プレミアムインテリジェント版,2025年モデル ハイブリッド 2.5HXS スポーツプラスインテリジェント版
,nan,厂商指导价(元),メーカー希望小売価格(元),"17.98万元（日本円 約3,775,800円）","18.98万元（日本円 約3,985,800円）","20.28万元（日本円 約4,258,800円）","20.58万元（日本円 約4,321,800円）","19.18万元（日本円 約4,027,800円）","20.48万元（日本円 約4,300,800円）","20.68万元（日本円 約4,342,800円）","21.18万元（日本円 約4,447,800円）","17.18万元（日本円 約3,607,800円）","18.18万元（日本円 約3,817,800円）","19.18万元（日本円 約4,027,800円）","19.68万元（日本円 約4,132,800円）","22.28万元（日本円 約4,678,800円）","22.68万元（日本円 約4,762,800円）","25.98万元（日本円 約5,455,800円）","20.28万元（日本円 約4,258,800円）","21.18万元（日本円 約4,447,800円）","21.98万元（日本円 約4,615,800円）","22.68万元（日本円 約4,762,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"14.08万元（日本円 約2,956,800円）","15.08万元（日本円 約3,166,800円）","16.38万元（日本円 約3,439,800円）","16.68万元（日本円 約3,502,800円）","15.28万元（日本円 約3,208,800円）","16.58万元（日本円 約3,481,800円）","16.78万元（日本円 約3,523,800円）","17.28万元（日本円 約3,628,800円）","13.18万元（日本円 約2,767,800円）","14.18万元（日本円 約2,977,800円）","15.18万元（日本円 約3,187,800円）","15.68万元（日本円 約3,292,800円）","18.38万元（日本円 約3,859,800円）","18.78万元（日本円 約3,943,800円）","22.08万元（日本円 約4,636,800円）","16.28万元（日本円 約3,418,800円）","17.18万元（日本円 約3,607,800円）","17.98万元（日本円 約3,775,800円）","18.68万元（日本円 約3,922,800円）"
基本参数,基本仕様,厂商,メーカー,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2024.12,2024.12,2025.04,2025.04
基本参数,基本仕様,最大功率(kW),最大出力(kW),145,145,145,145,145,145,145,145,127,127,127,127,169,169,169,145,145,169,169
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,206,206,206,206,-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（10速擬似）,CVT無段変速（10速擬似）,CVT無段変速（10速擬似）,CVT無段変速（10速擬似）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 173馬力 L4,2.0L 173馬力 L4,2.0L 173馬力 L4,2.0L 173馬力 L4,2.5L 185馬力 L4,2.5L 185馬力 L4,2.5L 185馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.5L 185馬力 L4,2.5L 185馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),113,113,113,113,113,113,113,113,-,-,-,-,136,136,136,113,113,136,136
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4915×1840×1450mm,4915×1840×1450mm,4915×1840×1450mm,4915×1840×1450mm,4915×1840×1450mm,4915×1840×1450mm,4950×1850×1450mm,4950×1850×1450mm,4915×1840×1450mm,4915×1840×1450mm,4915×1840×1450mm,4915×1840×1450mm,4915×1840×1450mm,4950×1850×1450mm,4915×1840×1450mm,4915×1840×1450mm,4950×1850×1450mm,4915×1840×1450mm,4950×1850×1450mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,205,205,205,205,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),4.2,4.2,4.5,4.5,4.5,4.5,4.5,4.5,5.81,5.81,5.81,6.06,4.55,4.55,4.55,4.2,4.5,4.55,4.55
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1585,1590,1595,1595,1605,1610,1610,1610,1550,1555,1555,1570,1615,1625,1660,1595,1610,1615,1625
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2070,2070,2070,2070,2070,2070,2070,2070,2030,2030,2030,2030,2100,2100,2100,2070,2070,2100,2100
车身,車体,长度(mm),全長(mm),4915,4915,4915,4915,4915,4915,4950,4950,4915,4915,4915,4915,4915,4950,4915,4915,4950,4915,4950
