セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T EcoBoost ファッショナブル,2025年モデル 1.5T EcoBoost エレガント,2025年モデル 1.5T EcoBoost ラグジュアリー,2025年モデル 1.5T EcoBoost E ハイブリッド エレガント,2025年モデル 1.5T EcoBoost E ハイブリッド ラグジュアリー,2025年モデル 2.0T EcoBoost ラグジュアリー,2025年モデル 2.0T EcoBoost プレミアム,2025年モデル 2.0T EcoBoost E ハイブリッド スポーツ,2025年モデル 2.0T EcoBoost E ハイブリッド スポーツ STライン
,nan,厂商指导价(元),メーカー希望小売価格(元),"14.98万元（日本円 約3,145,800円）","15.78万元（日本円 約3,313,800円）","16.98万元（日本円 約3,565,800円）","17.78万元（日本円 約3,733,800円）","18.98万元（日本円 約3,985,800円）","17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）","20.98万元（日本円 約4,405,800円）","22.98万元（日本円 約4,825,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"12.48万元（日本円 約2,620,800円）","13.28万元（日本円 約2,788,800円）","14.48万元（日本円 約3,040,800円）","15.28万元（日本円 約3,208,800円）","16.48万元（日本円 約3,460,800円）","15.48万元（日本円 約3,250,800円）","17.48万元（日本円 約3,670,800円）","18.48万元（日本円 約3,880,800円）","20.48万元（日本円 約4,300,800円）"
基本参数,基本仕様,厂商,メーカー,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード
基本参数,基本仕様,级别,クラス,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),140,140,140,153,153,187,187,227,227
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),258,258,258,-,-,393,393,-,-
基本参数,基本仕様,变速箱,トランスミッション,8速オートマチック,8速オートマチック,8速オートマチック,E-CVT無段変速,E-CVT無段変速,8速オートマチック,8速オートマチック,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,1.5T 190馬力 L4,1.5T 190馬力 L4,1.5T 190馬力 L4,1.5T 190馬力 L4,1.5T 190馬力 L4,2.0T 254馬力 L4,2.0T 254馬力 L4,2.0T 288馬力 L4,2.0T 288馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,-,131,131,-,-,190,190
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4935×1875×1500,4935×1875×1500,4935×1875×1500,4935×1875×1500,4935×1875×1500,4935×1875×1500,4935×1875×1500,4920×1920×1600,4920×1920×1600
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),208,208,208,175,175,220,220,201,201
