セクション,項目,思域 2025款 180TURBO CVT 智趣,思域 2025款 2.0L e:HEV 混动,思域 2025款 2.0L e:HEV 混动Plus,思域 2025款 2.0L e:HEV 混动Pro,思域 2025款 2.0L e:HEV 混动Max,思域 2025款 240TURBO CVT 智趣Plus,思域 2025款 240TURBO CVT 智趣Pro,思域 2025款 240TURBO CVT 智趣Max,思域 2023款 HATCHBACK 240TURBO CVT极跃版,思域 2023款 HATCHBACK 240TURBO CVT极锐版,思域 2023款 HATCHBACK 240TURBO 手动极劲版,思域 2023款 240TURBO CVT劲势版,思域 2023款 240TURBO CVT劲动·C位客特别版,思域 2023款 240TURBO CVT劲控·C位客特别版,思域 2023款 HATCHBACK 240TURBO CVT极锋版,思域 2023款 HATCHBACK 2.0L e:HEV 极曜版,思域 2023款 HATCHBACK 2.0L e:HEV 极控版,思域 2023款 2.0L e:HEV 先锋版,思域 2023款 2.0L e:HEV 锐力版,思域 2023款 2.0L e:HEV 劲速版,思域 2022款 180TURBO CVT尚动版,思域 2022款 180TURBO CVT尚擎版,思域 2022款 240TURBO CVT劲骋版,思域 2022款 240TURBO CVT劲动版,思域 2022款 240TURBO CVT燃动版,思域 2022款 240TURBO CVT劲控版,思域 2022款 240TURBO CVT燃擎版
,厂商指导价(元),12.99万 计算器,13.99万 计算器,14.99万 计算器,16.39万 计算器,17.79万 计算器,13.99万 计算器,14.59万 计算器,15.99万 计算器,14.59万 计算器,15.39万 计算器,15.99万 计算器,14.19万 计算器,14.49万 计算器,16.09万 计算器,16.99万 计算器,16.99万 计算器,17.99万 计算器,15.99万 计算器,17.39万 计算器,18.79万 计算器,12.99万 计算器,13.69万 计算器,13.99万 计算器,14.29万 计算器,14.99万 计算器,15.89万 计算器,16.39万 计算器
,经销商报价,9.19万起 询底价,10.19万起 询底价,11.19万起 询底价,12.59万起 询底价,13.99万起 询底价,10.19万起 询底价,10.79万起 询底价,12.19万起 询底价,9.49万起 询底价,10.29万起 询底价,10.89万起 询底价,10.39万起 询底价,9.39万起 询底价,10.99万起 询底价,13.19万起 询底价,11.89万起 询底价,12.89万起 询底价,10.89万起 询底价,12.29万起 询底价,14.09万起 询底价,9.19万起 询底价,9.89万起 询底价,10.19万起 询底价,10.49万起 询底价,11.19万起 询底价,12.09万起 询底价,12.59万起 询底价
基本参数,厂商,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2022.12,2022.12,2022.12,2023.04,2022.08,2022.08,2022.12,2022.12,2022.12,2022.08,2022.08,2022.08,2021.09,2021.09,2022.11,2021.09,2021.09,2021.09,2021.09
基本参数,最大功率(kW),95,149,149,149,149,134,134,134,134,134,134,134,134,134,134,149,149,149,149,149,95,95,134,134,134,134,134
基本参数,最大扭矩(N·m),180,-,-,-,-,240,240,240,240,240,240,240,240,240,240,-,-,-,-,-,180,180,240,240,240,240,240
基本参数,变速箱,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
