セクション,項目,阿尔法·罗密欧156 2004款 2.0 AT
,厂商指导价(元),35.00万 计算器
,经销商报价,暂无报价 询底价
基本参数,厂商,阿尔法·罗密欧
基本参数,级别,中型车
基本参数,能源类型,汽油
基本参数,环保标准,欧III
基本参数,上市时间,-
基本参数,最大功率(kW),121
基本参数,最大扭矩(N·m),206
基本参数,变速箱,5挡手自一体
基本参数,车身结构,4门5座三厢车
基本参数,发动机,2.0L 165马力 L4
基本参数,长*宽*高(mm),4720*1815*1416
基本参数,官方0-100km/h加速(s),8.8
基本参数,最高车速(km/h),214
基本参数,整车质保,● 两年或6万公里
基本参数,整备质量(kg),1520
基本参数,最大满载质量(kg),-
车身,长度(mm),4720
车身,宽度(mm),1815
车身,高度(mm),1416
车身,轴距(mm),2700
车身,前轮距(mm),1511
车身,后轮距(mm),1498
车身,车身结构,三厢车
车身,车门开启方式,-
车身,车门数(个),● 4
车身,座位数(个),● 5
车身,油箱容积(L),63
车身,后备厢容积(L),378
车身,风阻系数(Cd),-
发动机,发动机型号,AR32310
发动机,排量(mL),1970
发动机,排量(L),2.0
发动机,进气形式,自然吸气
发动机,气缸排列形式,L
发动机,气缸数(个),4
发动机,每缸气门数(个),4
发动机,压缩比,10.3
发动机,配气机构,DOHC
发动机,缸径(mm),83
发动机,行程(mm),91
发动机,最大马力(Ps),165
发动机,最大功率(kW),121
发动机,最大功率转速(rpm),6400
发动机,最大扭矩(N·m),206
发动机,最大扭矩转速(rpm),3250
发动机,最大净功率(kW),-
发动机,发动机特有技术,可变相位
发动机,能源类型,汽油
发动机,燃油标号,92号
发动机,供油方式,多点电喷
发动机,缸盖材料,铝合金
发动机,缸体材料,铝合金
发动机,环保标准,欧III
变速箱,简称,5挡手自一体
变速箱,挡位个数,5
变速箱,变速箱类型,手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱
底盘转向,前悬架类型,● 双横臂式独立悬架
底盘转向,后悬架类型,● 麦弗逊式独立悬架
底盘转向,助力类型,● 机械液压助力
底盘转向,车体结构,承载式
车轮制动,前制动器类型,● 盘式
车轮制动,后制动器类型,● 盘式
车轮制动,驻车制动类型,● 手刹
车轮制动,前轮胎规格,● 205/60 R15
车轮制动,后轮胎规格,● 205/60 R15
车轮制动,备胎规格,● 全尺寸
被动安全,主/副驾驶座安全气囊,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-
主动安全,ABS防抱死,●
主动安全,制动力分配(EBD/CBC等),●
主动安全,刹车辅助(EBA/BAS/BA等),●
主动安全,牵引力控制(ASR/TCS/TRC等),●
主动安全,车身稳定控制(ESC/ESP/DSC等),●
主动安全,胎压监测功能,-
主动安全,安全带未系提醒,-
主动安全,ISOFIX儿童座椅接口,-
主动安全,车道偏离预警系统,-
主动安全,主动刹车/主动安全系统,-
主动安全,疲劳驾驶提示,-
驾驶操控,驾驶模式切换,-
驾驶操控,自动驻车,-
驾驶硬件,前/后驻车雷达,-
驾驶硬件,驾驶辅助影像,-
驾驶功能,巡航系统,● 定速巡航
驾驶功能,卫星导航系统,-
驾驶功能,导航路况信息显示,-
驾驶功能,并线辅助,-
驾驶功能,车道保持辅助系统,-
驾驶功能,辅助泊车入位,-
外观/防盗,轮圈材质,● 铝合金
外观/防盗,发动机电子防盗,●
外观/防盗,车内中控锁,●
外观/防盗,钥匙类型,● 遥控钥匙
外观/防盗,无钥匙启动系统,-
外观/防盗,无钥匙进入功能,-
车外灯光,近光灯光源,-
车外灯光,远光灯光源,-
车外灯光,LED日间行车灯,-
车外灯光,自适应远近光,-
车外灯光,自动头灯,-
车外灯光,车前雾灯,●
车外灯光,大灯高度可调,-
车外灯光,大灯清洗装置,●
车外灯光,大灯延时关闭,-
天窗/玻璃,天窗类型,● 电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后
天窗/玻璃,车窗一键升降功能,-
天窗/玻璃,车窗防夹手功能,-
天窗/玻璃,车内化妆镜,●
天窗/玻璃,后雨刷,-
天窗/玻璃,感应雨刷功能,●
外后视镜,外后视镜功能,● 电动调节 后视镜加热
屏幕/系统,中控彩色屏幕,-
屏幕/系统,中控屏幕尺寸,-
屏幕/系统,蓝牙/车载电话,●
屏幕/系统,手机互联/映射,-
屏幕/系统,语音识别控制系统,-
屏幕/系统,车载CD/DVD,● 多碟CD系统
智能化配置,车联网,-
智能化配置,OTA升级,-
方向盘/内后视镜,方向盘材质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节
方向盘/内后视镜,多功能方向盘,●
方向盘/内后视镜,方向盘加热,-
方向盘/内后视镜,方向盘记忆,-
方向盘/内后视镜,行车电脑显示屏幕,-
方向盘/内后视镜,全液晶仪表盘,-
方向盘/内后视镜,液晶仪表尺寸,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目
车内充电,多媒体/充电接口,-
车内充电,USB/Type-C接口数量,-
车内充电,手机无线充电功能,-
座椅配置,座椅材质,● 真皮
座椅配置,运动风格座椅,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-
座椅配置,前排座椅功能,● 加热
座椅配置,电动座椅记忆功能,-
座椅配置,副驾驶位后排可调节按钮,-
座椅配置,第二排座椅调节,-
座椅配置,后排座椅放倒形式,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-
座椅配置,后排杯架,-
音响/车内灯光,扬声器品牌名称,-
音响/车内灯光,扬声器数量,● 8-9喇叭
音响/车内灯光,车内环境氛围灯,-
空调/冰箱,空调温度控制方式,● 自动空调
空调/冰箱,后排独立空调,-
空调/冰箱,后座出风口,●
空调/冰箱,温度分区控制,●
空调/冰箱,车载空气净化器,-
空调/冰箱,车内PM2.5过滤装置,-
