セクション_ja,項目_ja,阿尔法·罗密欧156 2004款 2.0 AT
nan,メーカー推奨価格(元),35.00万 計算機
,ディーラー販売価格,暂无报价 询底价
基本情報,メーカー,アルファ・ロメオ
基本情報,グレード,中型車
基本情報,エネルギータイプ,ガソリン
基本情報,環境基準,欧III
基本情報,市場投入時期,-
基本情報,最大出力(kW),121
基本情報,最大トルク(N·m),206
基本情報,トランスミッション,5速AT
基本情報,ボディ構造,4ドア5座セダン
基本情報,エンジン,2.0L 165馬力 L4
基本情報,全長×全幅×全高(mm),4720*1815*1416
基本情報,公式0-100km/h加速(s),8.8
基本情報,最高速度(km/h),214
基本情報,車両保証,● 2年または6万キロ
基本情報,車両重量(kg),1520
基本情報,最大積載重量(kg),-
車体,長さ(mm),4720
,幅(mm),1815
,高さ(mm),1416
,ホイールベース(mm),2700
,前輪トレッド(mm),1511
,後輪トレッド(mm),1498
,ボディ構造,セダン
,ドア開閉方式,-
,ドア数(個),● 4
,座席数(個),● 5
,燃料タンク容量(L),63
,トランク容量(L),378
,空気抵抗係数(Cd),-
エンジン,エンジン型式,AR32310
エンジン,排気量(mL),1970
エンジン,排気量(L),2.0
エンジン,吸気形式,自然吸気
エンジン,シリンダー配置形式,L
エンジン,シリンダー数(個),4
エンジン,各シリンダーのバルブ数(個),4
エンジン,圧縮比,10.3
エンジン,バルブ機構,DOHC
エンジン,シリンダー径(mm),83
エンジン,ストローク(mm),91
エンジン,最大馬力(Ps),165
エンジン,最大出力(kW),121
エンジン,最大出力回転数(rpm),6400
エンジン,最大トルク(N·m),206
エンジン,最大トルク回転数(rpm),3250
エンジン,最大純出力(kW),-
エンジン,エンジン特有技術,可変バルブ
エンジン,,ガソリン
エンジン,燃料オクタン価,92オクタン
エンジン,燃料供給方式,マルチポイント燃料噴射
エンジン,シリンダーヘッド材料,アルミ合金
エンジン,シリンダーブロック材料,アルミ合金
エンジン,,欧III
トランスミッション,略称,5速AT
トランスミッション,ギア数,5
トランスミッション,変速機形式,AT
シャシー/ステアリング,駆動方式,● 前置前駆動
シャシー/ステアリング,フロントサスペンション,● ダブルウィッシュボーン独立サスペンション
シャシー/ステアリング,リアサスペンション,● マクファーソン独立サスペンション
シャシー/ステアリング,助力タイプ,● 機械式油圧パワーステアリング
シャシー/ステアリング,車体構造,ボディ構造
ホイール/ブレーキ,前ブレーキタイプ,● ディスクブレーキ
ホイール/ブレーキ,後ブレーキタイプ,● ディスクブレーキ
ホイール/ブレーキ,パーキングブレーキタイプ,● ハンドブレーキ
ホイール/ブレーキ,前タイヤサイズ,● 205/60 R15
ホイール/ブレーキ,後タイヤサイズ,● 205/60 R15
ホイール/ブレーキ,スペアタイヤサイズ,● フルサイズ
受動安全,主/副運転席エアバッグ,● 主 / 副
,前/後側エアバッグ,● 前 / 後
,前/後席カーテンエアバッグ,-
能動安全,ABS防止,●
,制動力配分(EBD/CBC等),●
,ブレーキアシスト(EBA/BAS/BA等),●
,トラクションコントロール(ASR/TCS/TRC等),●
,車両安定制御(ESC/ESP/DSC等),●
,タイヤ圧監視機能,-
,シートベルト未着用警告,-
,ISOFIXチャイルドシートインターフェース,-
,車線逸脱警告システム,-
,自動ブレーキ/安全システム,-
,疲労運転警告,-
運転操作,ドライブモード切替,-
,オートホールド,-
運転ハードウェア,前/後駐車センサー,-
,ドライバー支援カメラ,-
運転機能,クルーズコントロール,● クルーズコントロール
,衛星ナビゲーションシステム,-
,ナビゲーション交通情報表示,-
,ブラインドスポットモニター,-
,レーンキープアシスト,-
,駐車支援機能,-
外観/盗難防止,ホイール素材,● アルミ合金
,エンジン電子盗難防止,●
,集中ドアロック,●
,キータイプ,● リモコンキー
,プッシュスタート,-
,キーレスエントリー機能,-
車外灯,ロービーム光源,-
,ハイビーム光源,-
,LEDデイタイムランニングライト,-
,自動調整ハイビーム,-
,自動ヘッドライト,-
,フォグランプ,●
,ヘッドライト高さ調整,-
,ヘッドライト洗浄装置,●
,ヘッドライト遅延オフ,-
サンルーフ/ガラス,サンルーフタイプ,● 電動サンroof
,前/後電動ウィンドウ,● 前 / 後
,ウィンドウワンタッチ機能,-
,ウィンドウ挟み込み防止機能,-
,車内化粧鏡,●
,後部ワイパー,-
,感応ワイパー機能,●
外部ミラー,外部ミラー機能,● 電動調整 ヒーター付きサイドミラー
スクリーン/システム,中央コントロールカラースクリーン,-
,中央スクリーンサイズ,-
,Bluetooth/車載電話,●
,スマートフォン連携/ミラーリング,-
,音声認識制御システム,-
,車載CD/DVD,● マルチCDシステム
スマート装備,車両ネットワーク,-
,OTAアップグレード,-
ステアリング/内側ミラー,ステアリングホイール素材,● 本革
,ステアリングホイール位置調整,● 手動上下+前後調整
,マルチファンクションステアリング,●
,ステアリングホイール加熱,-
,ステアリングホイールメモリー,-
,行動コンピューターディスプレイ,-
,フル液晶メーター,-
,液晶メーターサイズ,-
,内部ミラー機能,● 手動防眩ミラー
車内充電,マルチメディア/充電ポート,-
,USB/Type-Cポート数,-
,スマートフォン無線充電機能,-
シート,シート素材,● 本革
シート,スポーツスタイルシート,●
シート,主シート調整方式,● 前後調整 背もたれ調整 高さ調整(2方向)
シート,副シート調整方式,● 前後調整 背もたれ調整
シート,主/副運転席電動調整,-
シート,前席機能,● ヒーター付き
シート,電動シートメモリー機能,-
シート,副運転席後部調整ボタン,-
シート,第二列シート調整,-
シート,後部シート倒し方,● 比率倒し
シート,前/後中央アームレスト,● 前 / 後
シート,後部カップホルダー,-
音響/車内灯,スピーカーブランド名,-
,スピーカー数,● 8-9スピーカー
,車内環境ムードライト,-
空調/冷蔵,エアコン温度制御方式,● 自動エアコン
空調/冷蔵,後部独立エアコン,-
空調/冷蔵,後席エアアウトレット,●
空調/冷蔵,温度ゾーン制御,●
空調/冷蔵,車載空気清浄機,-
空調/冷蔵,車内PM2.5フィルター装置,-
