セクション,項目,哈弗H6 2025款 1.5T 国潮都市版,哈弗H6 2025款 1.5T 国潮冠军版,哈弗H6 2024款 1.5T 两驱经典版,哈弗H6 2024款 1.5T 两驱Pro,哈弗H6 2024款 1.5T 两驱Max,哈弗H6 2024款 1.5T 两驱Ultra,哈弗H6 2024款 2.0T 两驱Max,哈弗H6 2024款 2.0T 四驱Max
,厂商指导价(元),9.89万 计算器,10.89万 计算器,12.19万 计算器,11.79万 计算器,12.39万 计算器,13.19万 计算器,13.39万 计算器,14.39万 计算器
,经销商报价,6.99万起,7.99万起,8.19万起,9.59万起,10.19万起,10.99万起,11.19万起,12.19万起
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.03,2025.03,2024.09,2024.06,2024.06,2024.06,2024.06,2024.06
基本参数,最大功率(kW),110,110,135,135,135,135,175,175
基本参数,最大扭矩(N·m),218,218,275,275,275,275,385,385
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,9挡湿式双离合,9挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,2.0T 238马力 L4,2.0T 238马力 L4
基本参数,长*宽*高(mm),4645*1860*1720,4645*1860*1720,4653*1886*1730,4703*1886*1730,4703*1886*1730,4703*1886*1730,4703*1886*1730,4703*1886*1730
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),165,165,190,190,190,190,200,200
基本参数,WLTC综合油耗(L/100km),7.68,7.68,7.13,7.13,7.13,7.13,7.5,8.1
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1580,1580,1560,1560,1560,1560,1620,1695
基本参数,最大满载质量(kg),1980,1980,1990,1990,1990,1990,2040,2115
车身,长度(mm),4645,4645,4653,4703,4703,4703,4703,4703
车身,宽度(mm),1860,1860,1886,1886,1886,1886,1886,1886
车身,高度(mm),1720,1720,1730,1730,1730,1730,1730,1730
车身,轴距(mm),2680,2680,2738,2738,2738,2738,2738,2738
车身,前轮距(mm),1585,1585,1631,1631,1631,1631,1631,1631
车身,后轮距(mm),1585,1585,1640,1640,1640,1640,1640,1640
车身,满载最小离地间隙(mm),145,145,-,-,-,-,-,-
车身,接近角(°),21,21,20,19,19,19,19,19
车身,离去角(°),27,27,27,26,26,26,26,26
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),55,55,61,61,61,61,61,60
车身,后备厢容积(L),347-1296,347-1296,-,560,560,560,560,560
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,GW4G15M,GW4G15M,GW4B15L,GW4B15L,GW4B15L,GW4B15L,GW4N20A,GW4N20A
发动机,排量(mL),1497,1497,1499,1499,1499,1499,1998,1998
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,150,184,184,184,184,238,238
发动机,最大功率(kW),110,110,135,135,135,135,175,175
发动机,最大功率转速(rpm),5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,5500-6000,6000,6000
发动机,最大扭矩(N·m),218,218,275,275,275,275,385,385
发动机,最大扭矩转速(rpm),1800-4400,1800-4400,1500-4000,1500-4000,1500-4000,1500-4000,1700-4000,1700-4000
发动机,最大净功率(kW),105,105,130,130,130,130,170,170
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,9挡湿式双离合,9挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,9,9
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,-,-,-,-,-,-,● 适时四驱
底盘转向,中央差速器结构,-,-,-,-,-,-,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双横臂式独立悬架,● 双横臂式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 通风盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/65 R17,● 235/55 R19,● 225/60 R18,● 225/55 R19,● 225/55 R19,● 225/55 R19,● 225/55 R19,● 225/55 R19
车轮制动,后轮胎规格,● 225/65 R17,● 235/55 R19,● 225/60 R18,● 225/55 R19,● 225/55 R19,● 225/55 R19,● 225/55 R19,● 225/55 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
