セクション,項目,宝马X1 2025款 sDrive25Li X设计套装,宝马X1 2025款 sDrive25Li M运动套装,宝马X1 2025款 xDrive25Li X设计套装,宝马X1 2025款 xDrive25Li M运动曜夜套装,宝马X1 2024款 sDrive20Li X设计套装,宝马X1 2024款 sDrive25Li X设计套装,宝马X1 2024款 sDrive25Li M运动套装,宝马X1 2024款 xDrive25Li X设计套装,宝马X1 2024款 xDrive25Li M运动套装
,厂商指导价(元),31.69万 计算器,31.69万 计算器,34.99万 计算器,34.99万 计算器,28.89万 计算器,31.69万 计算器,31.69万 计算器,34.99万 计算器,34.99万 计算器
,经销商报价,17.75万起,17.75万起,21.17万起,21.17万起,17.89万起,17.69万起,17.69万起,19.99万起,19.99万起
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2024.10,2024.10,2024.10,2024.10,2024.10
基本参数,最大功率(kW),150,150,150,150,115,150,150,150,150
基本参数,最大扭矩(N·m),300,300,300,300,230,300,300,300,300
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,1.5T 156马力 L3,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4
基本参数,长*宽*高(mm),4616*1845 *1641,4616*1845 *1641,4616*1845 *1641,4616*1845 *1641,4616*1845 *1641,4616*1845 *1641,4616*1845 *1641,4616*1845 *1641,4616*1845 *1641
基本参数,官方0-100km/h加速(s),7.9,7.9,7.7,7.7,9.2,7.9,7.9,7.7,7.7
基本参数,最高车速(km/h),229,229,227,227,206,229,229,227,227
基本参数,WLTC综合油耗(L/100km),7.2,7.2,7.6,7.6,6.9,7.2,7.2,7.6,7.6
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1606,1606,1692,1692,1570,1606,1606,1692,1692
基本参数,最大满载质量(kg),2090,2090,2175,2175,2055,2090,2090,2175,2175
车身,长度(mm),4616,4616,4616,4616,4616,4616,4616,4616,4616
车身,宽度(mm),1845,1845,1845,1845,1845,1845,1845,1845,1845
车身,高度(mm),1641,1641,1641,1641,1641,1641,1641,1641,1641
车身,轴距(mm),2802,2802,2802,2802,2802,2802,2802,2802,2802
车身,前轮距(mm),1574,1574,1574,1574,1574,1574,1574,1574,1574
车身,后轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575
车身,接近角(°),21,21,21,21,21,21,21,21,21
车身,离去角(°),27,27,27,27,27,27,27,27,27
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),54,54,54,54,54,54,54,54,54
车身,后备厢容积(L),540-1700,540-1700,540-1700,540-1700,540-1700,540-1700,540-1700,540-1700,540-1700
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,B48A20R,B48A20R,B48A20R,B48A20R,B38A15R,B48A20R,B48A20R,B48A20R,B48A20R
发动机,排量(mL),1998,1998,1998,1998,1499,1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,3,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),204,204,204,204,156,204,204,204,204
发动机,最大功率(kW),150,150,150,150,115,150,150,150,150
发动机,最大功率转速(rpm),5000,5000,5000,5000,5000,5000,5000,5000,5000
发动机,最大扭矩(N·m),300,300,300,300,230,300,300,300,300
发动机,最大扭矩转速(rpm),1450-4500,1450-4500,1450-4500,1450-4500,1500-4600,1450-4500,1450-4500,1450-4500,1450-4500
发动机,最大净功率(kW),150,150,150,150,115,150,150,150,150
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
