セクション,項目,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 进取致雅型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 进取动感型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 时尚致雅型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 时尚动感型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI RS套件燃速型,奥迪Q3 2025款 quattro 45周年典藏版 40TFSI RS套件燃速型,奥迪Q3 2025款 quattro 45周年典藏版 40TFSI 时尚动感型,奥迪Q3 2025款 quattro 45周年典藏版 45TFSI quattro 时尚动感型
,厂商指导价(元),25.18万 计算器,25.18万 计算器,26.68万 计算器,26.68万 计算器,27.33万 计算器,28.23万 计算器,27.58万 计算器,29.68万 计算器
,经销商报价,15.98万起,15.98万起,17.48万起,17.48万起,18.13万起,19.03万起,18.38万起,20.48万起
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04
基本参数,最大功率(kW),118,118,118,118,118,137,137,162
基本参数,最大扭矩(N·m),250,250,250,250,250,320,320,350
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4
