セクション,項目,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智尚版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智享版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智逸版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 四驱智逸版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智睿版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智臻版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱活力版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱锋尚5座版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱锋尚7座版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱智领版,本田CR-V 2026款 全球30年荣耀款 240TURBO 四驱臻享版,本田CR-V 2024款 2.0L e:HEV 两驱智逸版,本田CR-V 2024款 2.0L e:HEV 两驱智睿版,本田CR-V 2024款 240TURBO 两驱活力版 5座,本田CR-V 2024款 240TURBO 两驱锋尚版 5座,本田CR-V 2024款 240TURBO 两驱锋尚版 7座,本田CR-V 2024款 240TURBO 两驱智领版 5座,本田CR-V 2024款 240TURBO 两驱臻享版 7座,本田CR-V 2024款 240TURBO 四驱臻享版 5座,本田CR-V 2024款 240TURBO 四驱尊耀版 5座,本田CR-V 2023款 2.0L e:HEV 两驱智尚版,本田CR-V 2023款 2.0L e:HEV 两驱智享版,本田CR-V 2023款 2.0L e:HEV 四驱智尊版
,厂商指导价(元),19.99万 计算器,20.99万 计算器,21.99万 计算器,22.99万 计算器,22.99万 计算器,24.99万 计算器,18.59万 计算器,20.19万 计算器,20.89万 计算器,21.19万 计算器,23.19万 计算器,21.99万 计算器,23.49万 计算器,18.59万 计算器,20.19万 计算器,20.89万 计算器,21.19万 计算器,23.19万 计算器,23.19万 计算器,24.99万 计算器,19.99万 计算器,20.99万 计算器,26.39万 计算器
,经销商报价,15.99万起 询底价,16.99万起 询底价,17.99万起 询底价,18.99万起 询底价,18.99万起 询底价,20.99万起 询底价,14.59万起 询底价,16.19万起 询底价,16.89万起 询底价,17.19万起 询底价,19.19万起 询底价,16.09万起 询底价,17.59万起 询底价,12.69万起 询底价,14.29万起 询底价,14.99万起 询底价,15.29万起 询底价,17.29万起 询底价,17.29万起 询底价,19.09万起 询底价,13.09万起 询底价,14.09万起 询底价,19.49万起 询底价
基本参数,厂商,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.04,2024.04,2023.10,2023.10,2023.10,2023.10,2023.10,2023.10,2023.10,2023.06,2023.06,2023.06
基本参数,最大功率(kW),-,-,-,-,-,-,142,142,142,142,142,-,-,142,142,142,142,142,142,142,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,243,243,243,243,243,-,-,243,243,243,243,243,243,243,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
