セクション,セクション_ja,項目,項目_ja,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智尚版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智享版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智逸版,2026年モデル グローバル30周年記念 2.0L e HEV 4WD 智逸版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智睿版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智臻版,2026年モデル グローバル30周年記念 240TURBO 2WD 活力版,2026年モデル グローバル30周年記念 240TURBO 2WD 鋭尚 5人乗り,2026年モデル グローバル30周年記念 240TURBO 2WD 鋭尚 7人乗り,2026年モデル グローバル30周年記念 240TURBO 2WD 智領版,2026年モデル グローバル30周年記念 240TURBO 4WD 臻享版,2024年モデル 2.0L e HEV 2WD 智逸版,2024年モデル 2.0L e HEV 2WD 智睿版,2024年モデル 240TURBO 2WD 活力版 5人乗り,2024年モデル 240TURBO 2WD 鋭尚版 5人乗り,2024年モデル 240TURBO 2WD 鋭尚版 7人乗り,2024年モデル 240TURBO 2WD 智領版 5人乗り,2024年モデル 240TURBO 2WD 臻享版 7人乗り,2024年モデル 240TURBO 4WD 臻享版 5人乗り,2024年モデル 240TURBO 4WD 尊耀版 5人乗り,2023年モデル 2.0L e HEV 2WD 智尚版,2023年モデル 2.0L e HEV 2WD 智享版,2023年モデル 2.0L e HEV 4WD 智尊版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"19.99万元（日本円 約4,197,900円）","20.99万元（日本円 約4,407,900円）","21.99万元（日本円 約4,617,900円）","22.99万元（日本円 約4,827,900円）","22.99万元（日本円 約4,827,900円）","24.99万元（日本円 約5,247,900円）","18.59万元（日本円 約3,903,900円）","20.19万元（日本円 約4,239,900円）","20.89万元（日本円 約4,386,900円）","21.19万元（日本円 約4,449,900円）","23.19万元（日本円 約4,869,900円）","21.99万元（日本円 約4,617,900円）","23.49万元（日本円 約4,932,900円）","18.59万元（日本円 約3,903,900円）","20.19万元（日本円 約4,239,900円）","20.89万元（日本円 約4,386,900円）","21.19万元（日本円 約4,449,900円）","23.19万元（日本円 約4,869,900円）","23.19万元（日本円 約4,869,900円）","24.99万元（日本円 約5,247,900円）","19.99万元（日本円 約4,197,900円）","20.99万元（日本円 約4,407,900円）","26.39万元（日本円 約5,541,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"15.99万元（日本円 約3,357,900円）","16.99万元（日本円 約3,567,900円）","17.99万元（日本円 約3,777,900円）","18.99万元（日本円 約3,987,900円）","18.99万元（日本円 約3,987,900円）","20.99万元（日本円 約4,407,900円）","14.59万元（日本円 約3,063,900円）","16.19万元（日本円 約3,399,900円）","16.89万元（日本円 約3,546,900円）","17.19万元（日本円 約3,609,900円）","19.19万元（日本円 約4,029,900円）","16.09万元（日本円 約3,378,900円）","17.59万元（日本円 約3,693,900円）","12.69万元（日本円 約2,664,900円）","14.29万元（日本円 約3,000,900円）","14.99万元（日本円 約3,147,900円）","15.29万元（日本円 約3,210,900円）","17.29万元（日本円 約3,630,900円）","17.29万元（日本円 約3,630,900円）","19.09万元（日本円 約4,008,900円）","13.09万元（日本円 約2,748,900円）","14.09万元（日本円 約2,958,900円）","19.49万元（日本円 約4,092,900円）"
基本参数,基本仕様,厂商,メーカー,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ,東風ホンダ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.04,2024.04,2023.10,2023.10,2023.10,2023.10,2023.10,2023.10,2023.10,2023.06,2023.06,2023.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-,-,142,142,142,142,142,-,-,142,142,142,142,142,142,142,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,243,243,243,243,243,-,-,243,243,243,243,243,243,243,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
