セクション,項目,沃尔沃S60 2026款 B4 智逸豪华版,沃尔沃S60 2026款 B4 智远豪华版,沃尔沃S60 2026款 B4 智远运动版,沃尔沃S60 2026款 B5 智雅运动版,沃尔沃S60 2025款 B4 智逸豪华版,沃尔沃S60 2025款 B4 智远豪华版,沃尔沃S60 2025款 B4 智远运动版,沃尔沃S60 2025款 B5 智雅运动版
,厂商指导价(元),30.69万 计算器,33.98万 计算器,33.98万 计算器,38.49万 计算器,30.69万 计算器,33.98万 计算器,33.98万 计算器,38.49万 计算器
,经销商报价,18.59万起,20.99万起,20.99万起,25.49万起,17.29万起,19.69万起,20.99万起,25.50万起
基本参数,厂商,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2024.06,2024.06,2024.06,2024.06
基本参数,最大功率(kW),145,145,145,184,145,145,145,184
基本参数,最大扭矩(N·m),300,300,300,360,300,300,300,360
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 250马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 250马力 L4
基本参数,长*宽*高(mm),4778*1850*1437,4778*1850*1437,4778*1850*1437,4778*1850*1437,4778*1850*1437,4778*1850*1437,4778*1850*1437,4778*1850*1437
基本参数,官方0-100km/h加速(s),7.9,7.9,7.9,6.9,7.9,7.9,7.9,6.9
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),5.95,5.99,5.99,6.33,5.95,5.99,5.99,6.33
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),1695,1706,1706,1735,1695,1706,1706,1735
基本参数,最大满载质量(kg),2190,2190,2190,2230,2190,2190,2190,2230
车身,长度(mm),4778,4778,4778,4778,4778,4778,4778,4778
车身,宽度(mm),1850,1850,1850,1850,1850,1850,1850,1850
车身,高度(mm),1437,1437,1437,1437,1437,1437,1437,1437
车身,轴距(mm),2872,2872,2872,2872,2872,2872,2872,2872
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600
车身,满载最小离地间隙(mm),147,147,147,147,147,147,147,147
