セクション,項目,奥迪A3 2026款 Sportback 35TFSI 飞驰悦享型,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包(南方版),奥迪A3 2026款 A3L Limousine 35TFSI 飞驰悦享型,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包(南方版),奥迪A3 2025款 Sportback 35TFSI 飞驰悦享型,奥迪A3 2025款 Sportback 35TFSI 飞驰尊享型,奥迪A3 2025款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰悦享型,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰尊享型,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包
,厂商指导价(元),16.59万 计算器,18.99万 计算器,20.59万 计算器,20.59万 计算器,16.99万 计算器,19.39万 计算器,20.99万 计算器,20.99万 计算器,16.59万 计算器,18.99万 计算器,20.59万 计算器,16.99万 计算器,19.39万 计算器,20.99万 计算器
,经销商报价,12.61万起 询底价,14.43万起 询底价,15.65万起 询底价,20.59万起 询底价,12.91万起 询底价,14.74万起 询底价,15.95万起 询底价,20.99万起 询底价,12.28万起 询底价,14.05万起 询底价,15.24万起 询底价,12.40万起 询底价,14.15万起 询底价,15.32万起 询底价
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
基本参数,最大功率(kW),118,118,118,118,118,118,118,118,118,118,118,118,118,118
基本参数,最大扭矩(N·m),250,250,250,250,250,250,250,250,250,250,250,250,250,250
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4
基本参数,长*宽*高(mm),4354*1815*1458,4354*1815*1458,4354*1815*1458,4354*1815*1458,4606*1814*1432,4606*1814*1432,4606*1814*1432,4604*1814*1432,4354*1815*1458,4354*1815*1458,4354*1815*1458,4606*1814*1432,4606*1814*1432,4606*1814*1432
基本参数,官方0-100km/h加速(s),8.6,8.6,8.6,8.6,8.7,8.7,8.7,-,8.6,8.6,8.6,8.7,8.7,8.7
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),5.87,6.04,6.04,6.04,5.75,5.92,5.92,5.92,5.87,6.04,6.04,5.75,5.92,5.92
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1412,1418,1418,1418,1429,1435,1435,1435,1412,1418,1418,1429,1435,1435
基本参数,最大满载质量(kg),1870,1870,1870,1870,1890,1890,1890,1890,1870,1870,1870,1890,1890,1890
车身,长度(mm),4354,4354,4354,4354,4606,4606,4606,4604,4354,4354,4354,4606,4606,4606
车身,宽度(mm),1815,1815,1815,1815,1814,1814,1814,1814,1815,1815,1815,1814,1814,1814
车身,高度(mm),1458,1458,1458,1458,1432,1432,1432,1432,1458,1458,1458,1432,1432,1432
车身,轴距(mm),2630,2630,2630,2630,2730,2730,2730,2730,2630,2630,2630,2730,2730,2730
车身,前轮距(mm),1542,1542,1542,1542,1543,1543,1543,1543,1542,1542,1542,1543,1543,1543
车身,后轮距(mm),1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514
车身,接近角(°),14,14,14,14,15,15,15,15,14,14,14,15,15,15
车身,离去角(°),18,18,18,18,14,14,14,14,18,18,18,14,14,14
车身,车身结构,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 4,● 4,● 4,● 4,● 5,● 5,● 5,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,51,51,-,51,51,51,51,51,51
车身,后备厢容积(L),356-1100,356-1100,356-1100,356-1100,388,388,388,-,356-1100,356-1100,356-1100,388,388,388
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DYZ,DYZ,DYZ,DSV,DYZ,DYZ,DYZ,DSV,DSV,DSV,DSV,DSV,DSV,DSV
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,160,160,160,160,160,160,160,160,160,160,160
发动机,最大功率(kW),118,118,118,118,118,118,118,118,118,118,118,118,118,118
发动机,最大功率转速(rpm),5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000
发动机,最大扭矩(N·m),250,250,250,250,250,250,250,250,250,250,250,250,250,250
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),118,118,118,118,118,118,118,118,118,118,118,118,118,118
发动机,发动机特有技术,米勒循环,米勒循环,米勒循环,-,米勒循环,米勒循环,米勒循环,-,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,95号,92号,92号,92号,95号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
