セクション,項目,马自达3 昂克赛拉 2025款 1.5L 手动质美版,马自达3 昂克赛拉 2025款 1.5L 自动质悦版,马自达3 昂克赛拉 2025款 2.0L 自动质擎版,马自达3 昂克赛拉 2025款 2.0L 自动质炫版,马自达3 昂克赛拉 2025款 2.0L 自动质雅版,马自达3 昂克赛拉 2025款 2.0L 自动质耀版,马自达3 昂克赛拉 2025款 2.0L 自动质臻版,马自达3 昂克赛拉 2025款 2.0L 自动质尊版,马自达3 昂克赛拉 2023款 1.5L 手动质美版,马自达3 昂克赛拉 2023款 1.5L 自动质悦版,马自达3 昂克赛拉 2023款 2.0L 自动质擎版,马自达3 昂克赛拉 2023款 2.0L 自动质炫版,马自达3 昂克赛拉 2023款 2.0L 自动质雅版,马自达3 昂克赛拉 2023款 2.0L 自动质耀版,马自达3 昂克赛拉 2023款 2.0L 自动质臻版,马自达3 昂克赛拉 2023款 2.0L 自动质尊版,马自达3 昂克赛拉 2020款 2.0L X压燃尊荣型
,厂商指导价(元),8.99万 计算器,9.99万 计算器,9.99万 计算器,11.29万 计算器,11.59万 计算器,11.99万 计算器,12.29万 计算器,14.19万 计算器,8.99万 计算器,9.99万 计算器,9.99万 计算器,11.29万 计算器,11.59万 计算器,11.99万 计算器,12.29万 计算器,14.19万 计算器,18.99万 计算器
,经销商报价,8.79万起,9.79万起,9.79万起,10.29万起,10.59万起,10.99万起,11.29万起,13.19万起,8.94万起,9.94万起,9.94万起,10.79万起,11.09万起,11.49万起,11.79万起,13.69万起,17.99万起
基本参数,厂商,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+24V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2020.09
基本参数,最大功率(kW),86,86,116,116,116,116,116,116,86,86,116,116,116,116,116,116,132
基本参数,最大扭矩(N·m),148,148,202,202,202,202,202,202,148,148,202,202,202,202,202,202,230
基本参数,变速箱,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 117马力 L4,1.5L 117马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,1.5L 117马力 L4,1.5L 117马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 180马力 L4
基本参数,长*宽*高(mm),4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445,4662*1797*1445
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),196,197,213,213,213,213,213,213,196,197,213,213,213,213,213,213,216
基本参数,NEDC综合油耗(L/100km),5.8,5.6,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.6,5.8,5.8,5.8,5.8,5.8,5.8,5.2
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1297,1337,1385,1385,1385,1385,1385,1385,1297,1337,1385,1385,1385,1385,1385,1385,1468
基本参数,最大满载质量(kg),1765,1805,1853,1853,1853,1853,1853,1853,1765,1805,1853,1853,1853,1853,1853,1853,1936
车身,长度(mm),4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662
车身,宽度(mm),1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797
车身,高度(mm),1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
车身,轴距(mm),2726,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726
车身,前轮距(mm),1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568
车身,后轮距(mm),1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,最小转弯半径(m),5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,P5,P5,PE,PE,PE,PE,PE,PE,P5,P5,PE,PE,PE,PE,PE,PE,HF
发动机,排量(mL),1496,1496,1998,1998,1998,1998,1998,1998,1496,1496,1998,1998,1998,1998,1998,1998,1998
发动机,排量(L),1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),117,117,158,158,158,158,158,158,117,117,158,158,158,158,158,158,180
发动机,最大功率(kW),86,86,116,116,116,116,116,116,86,86,116,116,116,116,116,116,132
