セクション,項目,凌渡 2026款 凌渡L 300TSI 凌感版,凌渡 2026款 凌渡L 300TSI 凌动版,凌渡 2026款 凌渡L 300TSI 凌风版,凌渡 2026款 凌渡L GTS 380TSI 凌动版,凌渡 2026款 凌渡L GTS 380TSI 凌风版,凌渡 2026款 凌渡L GTS 380TSI 凌风百万纪念版,凌渡 2025款 凌渡L 280TSI DSG潮辣版,凌渡 2025款 凌渡L 280TSI DSG炫辣版,凌渡 2025款 凌渡L 280TSI DSG酷辣版,凌渡 2025款 凌渡L 280TSI DSG酷辣PLUS版,凌渡 2025款 凌渡L 280TSI DSG超辣旗舰版
,厂商指导价(元),15.09万 计算器,16.09万 计算器,17.09万 计算器,17.39万 计算器,18.39万 计算器,19.59万 计算器,15.39万 计算器,16.09万 计算器,17.09万 计算器,17.39万 计算器,19.09万 计算器
,经销商报价,11.99万起,12.99万起,13.59万起,13.99万起,14.59万起,15.59万起,11.39万起,12.09万起,13.09万起,13.39万起,15.09万起
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.10,2024.10,2024.10,2025.05,2024.10
基本参数,最大功率(kW),118,118,118,162,162,162,110,110,110,110,110
基本参数,最大扭矩(N·m),250,250,250,350,350,350,250,250,250,250,250
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4
基本参数,长*宽*高(mm),4791*1831*1469,4791*1831*1469,4791*1831*1469,4791*1831*1469,4791*1831*1469,4791*1831*1469,4784*1831*1469,4784*1831*1469,4784*1831*1469,4784*1831*1469,4784*1831*1469
基本参数,官方0-100km/h加速(s),-,-,-,6.98,6.98,6.98,8.9,8.9,8.9,8.9,8.9
基本参数,最高车速(km/h),200,200,200,240,240,240,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),5.45,5.45,5.45,6.51,6.51,6.51,5.88,5.88,5.88,5.88,5.88
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1435,1435,1435,1540,1540,1540,1450,1450,1450,1450,1450
基本参数,最大满载质量(kg),1895,1895,1895,2000,2000,2000,1910,1910,1910,1910,1910
车身,长度(mm),4791,4791,4791,4791,4791,4791,4784,4784,4784,4784,4784
车身,宽度(mm),1831,1831,1831,1831,1831,1831,1831,1831,1831,1831,1831
车身,高度(mm),1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
车身,轴距(mm),2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731
车身,前轮距(mm),1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
车身,后轮距(mm),1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
车身,接近角(°),14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),13,13,13,13,13,13,13,13,13,13,13
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,51,51,51,51,51,51
车身,后备厢容积(L),509-1432,509-1432,509-1432,509-1432,509-1432,509-1432,523-1446,523-1446,523-1446,523-1446,523-1446
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DYZ,DYZ,DYZ,DTJ,DTJ,DTJ,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE
发动机,排量(mL),1498,1498,1498,1984,1984,1984,1395,1395,1395,1395,1395
发动机,排量(L),1.5,1.5,1.5,2.0,2.0,2.0,1.4,1.4,1.4,1.4,1.4
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,220,220,220,150,150,150,150,150
发动机,最大功率(kW),118,118,118,162,162,162,110,110,110,110,110
发动机,最大功率转速(rpm),5500,5500,5500,4900-6700,4900-6700,4900-6700,4800-5200,4800-5200,4800-5200,4800-5200,4800-5200
发动机,最大扭矩(N·m),250,250,250,350,350,350,250,250,250,250,250
