セクション,項目,雷凌 2024款 智能电混双擎 1.8L 领先版,雷凌 2024款 智能电混双擎 1.8L 豪华版,雷凌 2024款 智能电混双擎 1.8L 骑士版,雷凌 2024款 智能电混双擎 1.8L 运动版,雷凌 2024款 185T CVT豪华版,雷凌 2024款 185T CVT运动版,雷凌 2023款 TNGA 1.5L CVT进取版,雷凌 2023款 TNGA 1.5L CVT领先版,雷凌 2023款 TNGA 1.5L CVT豪华版,雷凌 2023款 TNGA 1.5L CVT运动版,雷凌 2023款 智能电混双擎 1.8L 领先版,雷凌 2023款 智能电混双擎 1.8L 豪华版,雷凌 2023款 智能电混双擎 1.8L 运动版
,厂商指导价(元),12.98万 计算器,13.58万 计算器,13.78万 计算器,14.88万 计算器,12.98万 计算器,13.58万 计算器,11.38万 计算器,11.88万 计算器,12.78万 计算器,13.38万 计算器,13.38万 计算器,13.98万 计算器,14.88万 计算器
,经销商报价,8.68万起 询底价,9.28万起 询底价,9.48万起 询底价,10.58万起 询底价,8.48万起 询底价,9.08万起 询底价,6.88万起 询底价,7.38万起 询底价,8.28万起 询底价,8.88万起 询底价,9.08万起 询底价,9.68万起 询底价,10.58万起 询底价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.07,2024.07,2024.07,2024.07,2024.03,2024.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03
基本参数,最大功率(kW),101,101,101,101,85,85,89,89,89,89,101,101,101
基本参数,最大扭矩(N·m),-,-,-,-,185,185,148,148,148,148,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.8L 98马力 L4,1.8L 98马力 L4,1.8L 98马力 L4,1.8L 98马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.5L 121马力 L3,1.5L 121马力 L3,1.5L 121马力 L3,1.5L 121马力 L3,1.8L 98马力 L4,1.8L 98马力 L4,1.8L 98马力 L4
基本参数,电动机(Ps),95,95,95,95,-,-,-,-,-,-,95,95,95
基本参数,长*宽*高(mm),4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1455,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),160,160,160,160,180,180,180,180,180,180,160,160,160
基本参数,WLTC综合油耗(L/100km),4.07,4.07,4.32,4.32,5.95,5.95,5.43,5.43,5.43,5.43,4.07,4.07,4.32
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1405,1420,1420,1430,1360,1370,1325,1325,1340,1345,1405,1420,1430
基本参数,最大满载质量(kg),1845,1845,1845,1845,1770,1770,1740,1740,1740,1740,1845,1845,1845
车身,长度(mm),4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640
车身,宽度(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
车身,高度(mm),1435,1435,1435,1435,1455,1435,1435,1435,1435,1435,1435,1435,1435
车身,轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
车身,前轮距(mm),1531,1531,1531,1531,1527,1531,1531,1531,1531,1531,1531,1531,1531
车身,后轮距(mm),1537,1535,1535,1535,1526,1535,1519,1519,1519,1519,1537,1535,1535
车身,接近角(°),12,12,12,12,13,13,12,12,12,12,12,12,12
车身,离去角(°),16,16,16,16,16,16,16,16,16,16,16,16,16
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),43,43,43,43,50,50,47,47,47,47,43,43,43
车身,后备厢容积(L),471,471,471,471,471,471,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,8ZR,8ZR,8ZR,8ZR,9NR,9NR,M15C,M15C,M15C,M15C,8ZR,8ZR,8ZR
发动机,排量(mL),1798,1798,1798,1798,1197,1197,1490,1490,1490,1490,1798,1798,1798
发动机,排量(L),1.8,1.8,1.8,1.8,1.2,1.2,1.5,1.5,1.5,1.5,1.8,1.8,1.8
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,3,3,3,3,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,13,13,13,13,10,10,-,-,-,-,13,13,13
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),80.5,80.5,80.5,80.5,71.5,71.5,-,-,-,-,80.5,80.5,80.5
发动机,行程(mm),88.3,88.3,88.3,88.3,74.5,74.5,-,-,-,-,88.3,88.3,88.3
发动机,最大马力(Ps),98,98,98,98,116,116,121,121,121,121,98,98,98
发动机,最大功率(kW),72,72,72,72,85,85,89,89,89,89,72,72,72
发动机,最大功率转速(rpm),5200,5200,5200,5200,5200-5600,5200-5600,6500-6600,6500-6600,6500-6600,6500-6600,5200,5200,5200
发动机,最大扭矩(N·m),142,142,142,142,185,185,148,148,148,148,142,142,142
发动机,最大扭矩转速(rpm),3600,3600,3600,3600,1500-4000,1500-4000,4600-5000,4600-5000,4600-5000,4600-5000,3600,3600,3600
发动机,最大净功率(kW),72,72,72,72,85,85,89,89,89,89,72,72,72
发动机,发动机特有技术,VVT-i,VVT-i,VVT-i,VVT-i,VVT-iW,VVT-iW,VVT-iW,VVT-iW,VVT-iW,VVT-iW,VVT-i,VVT-i,VVT-i
发动机,能源类型,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),70,70,70,70,-,-,-,-,-,-,70,70,70
电动机,电动机总马力(Ps),95,95,95,95,-,-,-,-,-,-,95,95,95
电动机,电动机总扭矩(N·m),185,185,185,185,-,-,-,-,-,-,185,185,185
电动机,前电动机最大功率(kW),70,70,70,70,-,-,-,-,-,-,70,70,70
电动机,前电动机最大扭矩(N·m),185,185,185,185,-,-,-,-,-,-,185,185,185
电动机,系统综合功率(kW),101,101,101,101,-,-,-,-,-,-,101,101,101
电动机,系统综合功率(Ps),137,137,137,137,-,-,-,-,-,-,137,137,137
电动机,驱动电机数,单电机,单电机,单电机,单电机,-,-,-,-,-,-,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,-,-,-,-,-,-,前置,前置,前置
电池/充电,电池类型,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,-,-,-,-,-,-,● 锂离子电池,● 锂离子电池,● 锂离子电池
电池/充电,电芯品牌,● 比亚迪,● 比亚迪,● 比亚迪,● 比亚迪,-,-,-,-,-,-,● 比亚迪,● 比亚迪,● 比亚迪
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-,-,● 八年或20万公里,● 八年或20万公里,● 八年或20万公里
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,10,10,10,10,10,10,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● E型多连杆式独立悬架,● E型多连杆式独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● E型多连杆式独立悬架,● E型多连杆式独立悬架,● E型多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/55 R16,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 205/55 R16,● 225/45 R17,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 225/45 R17
车轮制动,后轮胎规格,● 205/55 R16,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 205/55 R16,● 225/45 R17,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 225/45 R17
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-,-,-,-,-,-,-
