セクション,項目,锐界 2026款 锐界L 2.0T EcoBoost 两驱七座时尚型,锐界 2026款 锐界L 2.0T EcoBoost 四驱七座时尚型,锐界 2026款 锐界L 2.0T EcoBoost 两驱七座豪华型,锐界 2026款 锐界L 2.0T EcoBoost 四驱七座至尊型,锐界 2026款 锐界L 2.0T EcoBoost E混动两驱七座豪华型,锐界 2026款 锐界L 2.0T EcoBoost E混动四驱七座至尊型,锐界 2026款 锐界L 2.0T EcoBoost E混动四驱七座旗舰型,锐界 2025款 锐界L 2.0T EcoBoost 两驱七座时尚型,锐界 2025款 锐界L 2.0T EcoBoost 四驱七座时尚型,锐界 2025款 锐界L 2.0T EcoBoost 两驱七座豪华型,锐界 2025款 锐界L 2.0T EcoBoost 四驱七座至尊型,锐界 2025款 锐界L 2.0T EcoBoost E混动两驱七座时尚型,锐界 2025款 锐界L 2.0T EcoBoost E混动两驱七座豪华型,锐界 2025款 锐界L 2.0T EcoBoost E混动四驱七座至尊型,锐界 2025款 锐界L 2.0T EcoBoost E混动四驱七座 STLine,锐界 2024款 锐界L 2.0T EcoBoost 两驱七座时尚型,锐界 2024款 锐界L 2.0T EcoBoost 四驱七座时尚型
,厂商指导价(元),22.98万 计算器,24.98万 计算器,24.98万 计算器,27.98万 计算器,26.98万 计算器,29.98万 计算器,30.98万 计算器,22.68万 计算器,24.98万 计算器,24.98万 计算器,27.98万 计算器,24.68万 计算器,26.98万 计算器,29.98万 计算器,30.98万 计算器,22.98万 计算器,24.98万 计算器
,经销商报价,20.48万起,22.48万起,22.48万起,26.18万起,24.48万起,27.48万起,28.48万起,20.18万起,22.48万起,22.48万起,26.18万起,22.18万起,24.48万起,27.48万起,28.48万起,20.48万起,22.48万起
基本参数,厂商,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.08,2024.04
基本参数,最大功率(kW),185,185,185,185,-,-,-,185,185,185,185,-,-,-,-,185,185
基本参数,最大扭矩(N·m),378,378,378,378,-,-,-,378,378,378,378,-,-,-,-,378,378
基本参数,变速箱,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡自动,8挡自动
基本参数,车身结构,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
基本参数,发动机,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 275马力 L4,2.0T 275马力 L4,2.0T 275马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 275马力 L4,2.0T 275马力 L4,2.0T 275马力 L4,2.0T 275马力 L4,2.0T 252马力 L4,2.0T 252马力 L4
基本参数,电动机(Ps),-,-,-,-,190,190,190,-,-,-,-,190,190,190,190,-,-
基本参数,长*宽*高(mm),5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773,5000*1961*1773
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
基本参数,WLTC综合油耗(L/100km),8.44,8.91,8.44,8.91,6.43,6.82,6.82,8.44,8.91,8.44,8.91,6.31,6.43,6.82,6.82,8.44,8.91
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1949,2003,1949,2036,2011,2113,2113,1949,2003,1949,2036,2010,2011,2113,2113,1990,2030
基本参数,最大满载质量(kg),2530,2675,2530,2675,2660,2750,2750,2530,2675,2530,2675,2660,2660,2750,2750,2530,2675
车身,长度(mm),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
车身,宽度(mm),1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961
车身,高度(mm),1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773
车身,轴距(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车身,前轮距(mm),1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
车身,后轮距(mm),1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
车身,接近角(°),21,21,21,21,19,19,19,21,21,21,21,19,19,19,19,21,21
车身,离去角(°),22,22,22,22,21,21,21,22,22,22,22,21,21,21,21,22,22
车身,最小转弯半径(m),5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
车身,后备厢容积(L),309-2876,309-2876,309-2876,309-2876,309-2876,309-2876,309-969,309-2876,309-2876,309-2876,309-2876,309-2876,309-2876,309-2876,309-969,309-2876,309-2876
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQC4,CAF484WQC4
发动机,排量(mL),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,10.8,10.8,10.8,10.8,9.5,9.5,9.5,10.8,10.8,10.8,10.8,9.5,9.5,9.5,9.5,10.8,10.8
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),252,252,252,252,275,275,275,252,252,252,252,275,275,275,275,252,252
发动机,最大功率(kW),185,185,185,185,202,202,202,185,185,185,185,202,202,202,202,185,185
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),378,378,378,378,405,405,405,378,378,378,378,405,405,405,405,378,378
发动机,最大扭矩转速(rpm),2000-4500,2000-4500,2000-4500,2000-4500,3000-4000,3000-4000,3000-4000,2000-4500,2000-4500,2000-4500,2000-4500,3000-4000,3000-4000,3000-4000,3000-4000,2000-4500,2000-4500
发动机,最大净功率(kW),183,183,183,183,200,200,200,183,183,183,183,200,200,200,200,183,183
