セクション,セクション_ja,項目,項目_ja,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り フラッグシップ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り STライン,2024年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2024年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"22.98万元（日本円 約4,825,800円）","24.98万元（日本円 約5,245,800円）","24.98万元（日本円 約5,245,800円）","27.98万元（日本円 約5,875,800円）","26.98万元（日本円 約5,665,800円）","29.98万元（日本円 約6,295,800円）","30.98万元（日本円 約6,505,800円）","22.68万元（日本円 約4,762,800円）","24.98万元（日本円 約5,245,800円）","24.98万元（日本円 約5,245,800円）","27.98万元（日本円 約5,875,800円）","24.68万元（日本円 約5,182,800円）","26.98万元（日本円 約5,665,800円）","29.98万元（日本円 約6,295,800円）","30.98万元（日本円 約6,505,800円）","22.98万元（日本円 約4,825,800円）","24.98万元（日本円 約5,245,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"20.48万元（日本円 約4,300,800円）","22.48万元（日本円 約4,720,800円）","22.48万元（日本円 約4,720,800円）","26.18万元（日本円 約5,497,800円）","24.48万元（日本円 約5,140,800円）","27.48万元（日本円 約5,770,800円）","28.48万元（日本円 約5,980,800円）","20.18万元（日本円 約4,237,800円）","22.48万元（日本円 約4,720,800円）","22.48万元（日本円 約4,720,800円）","26.18万元（日本円 約5,497,800円）","22.18万元（日本円 約4,657,800円）","24.48万元（日本円 約5,140,800円）","27.48万元（日本円 約5,770,800円）","28.48万元（日本円 約5,980,800円）","20.48万元（日本円 約4,300,800円）","22.48万元（日本円 約4,720,800円）"
基本参数,基本仕様,厂商,メーカー,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード,長安フォード
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.08,2024.04
基本参数,基本仕様,最大功率(kW),最大出力(kW),185,185,185,185,-,-,-,185,185,185,185,-,-,-,-,185,185
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),378,378,378,378,-,-,-,378,378,378,378,-,-,-,-,378,378
基本参数,基本仕様,变速箱,トランスミッション,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT
