セクション,項目,威朗 2023款 Pro 乐逸版,威朗 2023款 Pro 乐享版,威朗 2023款 Pro GS 猎风版,威朗 2023款 Pro GS 疾风版
,厂商指导价(元),12.89万 计算器,13.99万 计算器,14.79万 计算器,15.89万 计算器
,经销商报价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2022.10,2022.10,2022.10,2022.10
基本参数,最大功率(kW),135,135,135,135
基本参数,最大扭矩(N·m),250,250,250,250
基本参数,变速箱,CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡)
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4
基本参数,长*宽*高(mm),4664*1786*1472,4664*1786*1472,4688*1786*1472,4688*1786*1472
基本参数,官方0-100km/h加速(s),7.7,7.7,7.7,7.7
基本参数,最高车速(km/h),210,210,210,210
基本参数,WLTC综合油耗(L/100km),6.05,6.05,5.95,5.95
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1315,1315,1335,1335
基本参数,最大满载质量(kg),1747,1747,1771,1771
车身,长度(mm),4664,4664,4688,4688
车身,宽度(mm),1786,1786,1786,1786
车身,高度(mm),1472,1472,1472,1472
车身,轴距(mm),2700,2700,2700,2700
车身,前轮距(mm),1543,1543,1543,1543
车身,后轮距(mm),1545,1545,1545,1545
车身,接近角(°),13,13,13,13
车身,离去角(°),14,14,14,14
车身,车身结构,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),44,44,44,44
车身,后备厢容积(L),480,480,480-1150,480-1150
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,LJV,LJV,LJV,LJV
发动机,排量(mL),1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),184,184,184,184
发动机,最大功率(kW),135,135,135,135
发动机,最大功率转速(rpm),5500,5500,5500,5500
发动机,最大扭矩(N·m),250,250,250,250
发动机,最大扭矩转速(rpm),1500-5000,1500-5000,1500-5000,1500-5000
发动机,最大净功率(kW),132,132,132,132
发动机,能源类型,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
变速箱,简称,CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡)
变速箱,挡位个数,7,7,7,7
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16
车轮制动,后轮胎规格,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,前方碰撞预警,-,●,●,●
主动安全,道路救援呼叫,-,●,●,●
驾驶操控,驾驶模式切换,-,-,-,-
驾驶操控,发动机启停技术,-,-,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前- / 后,● 前- / 后,● 前 / 后
