セクション,セクション_ja,項目,項目_ja,2023年モデル Pro 楽逸版,2023年モデル Pro 楽享版,2023年モデル Pro GS 猟風版,2023年モデル Pro GS 疾風版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.89万元（日本円 約2,706,900円）","13.99万元（日本円 約2,937,900円）","14.79万元（日本円 約3,105,900円）","15.89万元（日本円 約3,336,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2022.10,2022.10,2022.10,2022.10
基本参数,基本仕様,最大功率(kW),最大出力(kW),135,135,135,135
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5T 184馬力 L4,1.5T 184馬力 L4,1.5T 184馬力 L4,1.5T 184馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4664×1786×1472mm,4664×1786×1472mm,4688×1786×1472mm,4688×1786×1472mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.7,7.7,7.7,7.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,210,210
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.05,6.05,5.95,5.95
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1315,1315,1335,1335
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1747,1747,1771,1771
车身,車体,长度(mm),全長(mm),4664,4664,4688,4688
车身,車体,宽度(mm),全幅(mm),1786,1786,1786,1786
车身,車体,高度(mm),全高(mm),1472,1472,1472,1472
车身,車体,轴距(mm),ホイールベース(mm),2700,2700,2700,2700
车身,車体,前轮距(mm),前トレッド(mm),1543,1543,1543,1543
车身,車体,后轮距(mm),後トレッド(mm),1545,1545,1545,1545
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),14,14,14,14
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4個,● 4個,● 4個,● 4個
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
