セクション,項目,途昂 2026款 途昂 Pro 380TSI 两驱越境版,途昂 2026款 途昂 Pro 380TSI 两驱纵横版,途昂 2026款 途昂 Pro 450TSI 四驱越境版,途昂 2026款 途昂 Pro 450TSI 四驱纵横版,途昂 2026款 途昂 Pro 450TSI 四驱登峰版,途昂 2025款 途昂X 380TSI 四驱出众版,途昂 2025款 380TSI 四驱出众版,途昂 2025款 途昂 Pro 450TSI 四驱探索版,途昂 2025款 途昂 Pro 450TSI 四驱纵横版,途昂 2025款 途昂 Pro 450TSI 四驱登峰版
,厂商指导价(元),29.99万 计算器,30.99万 计算器,31.99万 计算器,33.99万 计算器,35.99万 计算器,28.90万 计算器,29.90万 计算器,30.99万 计算器,33.99万 计算器,35.99万 计算器
,经销商报价,25.99万起 询底价,26.99万起 询底价,27.99万起 询底价,29.99万起 询底价,31.99万起 询底价,24.99万起 询底价,25.99万起 询底价,26.99万起 询底价,29.99万起 询底价,31.99万起 询底价
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.03,2025.03,2025.03,2025.03,2025.03
基本参数,最大功率(kW),157,157,200,200,200,162,162,200,200,200
基本参数,最大扭矩(N·m),340,340,400,400,400,350,350,400,400,400
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV跨界车,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
基本参数,发动机,2.0T 214马力 L4,2.0T 214马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 272马力 L4
基本参数,长*宽*高(mm),5158*1991*1788,5158*1991*1788,5158*1991*1788,5158*1991*1788,5158*1991*1788,4917*1989*1729,5052*1989*1773,5158*1991*1788,5158*1991*1788,5158*1991*1788
基本参数,官方0-100km/h加速(s),9.1,9.1,7.6,7.6,7.6,8.4,8.4,7.6,7.6,7.6
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),7.57,7.57,8.35,8.35,8.35,8.64,8.65,8.35,8.35,8.35
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2060,2060,2155,2155,2155,2055,2090,2155,2155,2155
