セクション,セクション_ja,項目,項目_ja,2026年モデル トゥアング Pro 380TSI 2WD 越境版,2026年モデル トゥアング Pro 380TSI 2WD 縦横版,2026年モデル トゥアング Pro 450TSI 4WD 越境版,2026年モデル トゥアング Pro 450TSI 4WD 縦横版,2026年モデル トゥアング Pro 450TSI 4WD 登峰版,2025年モデル トゥアングX 380TSI 4WD 出衆版,2025年モデル 380TSI 4WD 出衆版,2025年モデル トゥアング Pro 450TSI 4WD 探索版,2025年モデル トゥアング Pro 450TSI 4WD 縦横版,2025年モデル トゥアング Pro 450TSI 4WD 登峰版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.99万元（日本円 約6,297,900円）","30.99万元（日本円 約6,507,900円）","31.99万元（日本円 約6,717,900円）","33.99万元（日本円 約7,137,900円）","35.99万元（日本円 約7,557,900円）","28.90万元（日本円 約6,069,000円）","29.90万元（日本円 約6,279,000円）","30.99万元（日本円 約6,507,900円）","33.99万元（日本円 約7,137,900円）","35.99万元（日本円 約7,557,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"25.99万元（日本円 約5,457,900円）","26.99万元（日本円 約5,667,900円）","27.99万元（日本円 約5,877,900円）","29.99万元（日本円 約6,297,900円）","31.99万元（日本円 約6,717,900円）","24.99万元（日本円 約5,247,900円）","25.99万元（日本円 約5,457,900円）","26.99万元（日本円 約5,667,900円）","29.99万元（日本円 約6,297,900円）","31.99万元（日本円 約6,717,900円）"
基本参数,基本仕様,厂商,メーカー,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.03,2025.03,2025.03,2025.03,2025.03
基本参数,基本仕様,最大功率(kW),最大出力(kW),157,157,200,200,200,162,162,200,200,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),340,340,400,400,400,350,350,400,400,400
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
