セクション,セクション_ja,項目,項目_ja,2026年モデル PRO 380TSI 2WD 智行版,2026年モデル PRO 380TSI 2WD R Line 智領版,2026年モデル PRO 380TSI 4WD R Line 智尊版,2025年モデル 出众款 300TSI 自動2WD 龍騰版,2025年モデル 出众款 330TSI 自動2WD 龍騰版,2025年モデル 出众款 330TSI 自動2WD R Line 龍耀版,2025年モデル PRO 380TSI 2WD 智行版,2025年モデル PRO 380TSI 2WD R Line 智領版,2025年モデル PRO 380TSI 4WD R Line 智尊版,2024年モデル PRO 380TSI 4WD R Line 智領版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"23.68万元（日本円 約4,972,800円）","24.68万元（日本円 約5,182,800円）","26.68万元（日本円 約5,602,800円）","18.68万元（日本円 約3,922,800円）","20.97万元（日本円 約4,403,700円）","21.70万元（日本円 約4,557,000円）","23.68万元（日本円 約4,972,800円）","24.68万元（日本円 約5,182,800円）","26.68万元（日本円 約5,602,800円）","25.68万元（日本円 約5,392,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"18.78万元（日本円 約3,943,800円）","19.78万元（日本円 約4,153,800円）","21.78万元（日本円 約4,573,800円）","13.78万元（日本円 約2,893,800円）","16.07万元（日本円 約3,374,700円）","16.80万元（日本円 約3,528,000円）","18.78万元（日本円 約3,943,800円）","19.78万元（日本円 約4,153,800円）","21.78万元（日本円 約4,573,800円）","22.58万元（日本円 約4,741,800円）"
基本参数,基本仕様,厂商,メーカー,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン,SAICフォルクスワーゲン
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.08,2025.08,2025.08,2025.05,2025.05,2025.05,2024.05
基本参数,基本仕様,最大功率(kW),最大出力(kW),162,162,162,118,137,137,162,162,162,162
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),350,350,350,250,320,320,350,350,350,350
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,1.5T 160馬力 L4,2.0T 186馬力 L4,2.0T 186馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4735×1842×1682mm,4735×1859×1682mm,4735×1859×1682mm,4733×1839×1673mm,4733×1839×1673mm,4735×1859×1677mm,4735×1842×1682mm,4735×1859×1682mm,4735×1859×1682mm,4735×1859×1682mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.6,7.7,7.5,9.9,8.7,8.8,7.6,7.7,7.5,7.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.27,7.37,7.80,6.6,7,6.99,7.27,7.37,7.80,7.69
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1680,1700,1790,1620,1665,1700,1680,1700,1790,1790
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2150,2170,2260,2090,2135,2170,2150,2170,2260,2260
车身,車体,长度(mm),全長(mm),4735,4735,4735,4733,4733,4735,4735,4735,4735,4735
车身,車体,宽度(mm),全幅(mm),1842,1859,1859,1839,1839,1859,1842,1859,1859,1859
车身,車体,高度(mm),全高(mm),1682,1682,1682,1673,1673,1677,1682,1682,1682,1682
车身,車体,轴距(mm),ホイールベース(mm),2791,2791,2791,2791,2791,2791,2791,2791,2791,2791
车身,車体,前轮距(mm),前トレッド(mm),1582,1582,1582,1582,1582,1582,1582,1582,1582,1582
车身,車体,后轮距(mm),後トレッド(mm),1572,1572,1572,1572,1572,1572,1572,1572,1572,1572
车身,車体,接近角(°),アプローチアングル(°),18,18,18,16,16,16,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,16,16,16,19,19,19,19
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
