セクション,項目,红旗H5 2025款 1.5T DCT旗悦版,红旗H5 2025款 1.5T DCT旗韵版,红旗H5 2025款 2.0T 自动旗享版,红旗H5 2025款 2.0T 自动旗畅版,红旗H5 2025款 2.0T 自动旗领版,红旗H5 2025款 1.5T DCT玄影200万辆纪念版,红旗H5 2025款 2.0T 自动玄影200万辆纪念版
,厂商指导价(元),15.98万 计算器,16.98万 计算器,17.98万 计算器,18.98万 计算器,21.58万 计算器,17.28万 计算器,19.28万 计算器
,经销商报价,11.48万起 询底价,12.48万起 询底价,13.48万起 询底价,14.48万起 询底价,17.08万起 询底价,12.78万起 询底价,14.78万起 询底价
基本参数,厂商,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.09,2024.09,2024.09,2024.09,2024.09,2025.08,2025.08
基本参数,最大功率(kW),124,124,165,165,165,124,165
基本参数,最大扭矩(N·m),258,258,340,340,340,258,340
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,8挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 169马力 L4,1.5T 169马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,1.5T 169马力 L4,2.0T 224马力 L4
基本参数,长*宽*高(mm),4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470,4988*1875*1470
基本参数,官方0-100km/h加速(s),9.5,9.5,7.8,7.8,7.8,9.5,7.8
基本参数,最高车速(km/h),215,215,230,230,230,215,230
基本参数,WLTC综合油耗(L/100km),6.1,6.1,6.4,6.4,6.4,6.1,6.4
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1565,1565,1635,1635,1635,1565,1635
基本参数,最大满载质量(kg),2015,2015,2085,2085,2085,2015,2085
车身,长度(mm),4988,4988,4988,4988,4988,4988,4988
车身,宽度(mm),1875,1875,1875,1875,1875,1875,1875
车身,高度(mm),1470,1470,1470,1470,1470,1470,1470
车身,轴距(mm),2920,2920,2920,2920,2920,2920,2920
车身,前轮距(mm),1615,1615,1615,1615,1615,1615,1615
车身,后轮距(mm),1607,1607,1607,1607,1607,1607,1607
车身,接近角(°),13,13,13,13,13,13,13
车身,离去角(°),16,16,16,16,16,16,16
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),58,58,58,58,58,58,58
车身,后备厢容积(L),-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,CA4GB15TD-30,CA4GB15TD-30,CA4GC20TD-33,CA4GC20TD-33,CA4GC20TD-33,CA4GB15TD-30,CA4GC20TD-33
发动机,排量(mL),1498,1498,1989,1989,1989,1498,1989
发动机,排量(L),1.5,1.5,2.0,2.0,2.0,1.5,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),169,169,224,224,224,169,224
发动机,最大功率(kW),124,124,165,165,165,124,165
发动机,最大功率转速(rpm),-,-,-,-,-,-,-
发动机,最大扭矩(N·m),258,258,340,340,340,258,340
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-
发动机,最大净功率(kW),118,118,160,160,160,118,160
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,95号,95号,95号,92号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,8挡手自一体
变速箱,挡位个数,7,7,8,8,8,7,8
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
