セクション,項目,捷豹XEL 2025款 2.0T 250PS R-DYNAMIC 90周年典藏版,捷豹XEL 2024款 2.0T 250PS R-DYNAMIC S进取运动版,捷豹XEL 2024款 2.0T 250PS R-DYNAMIC S耀黑运动版
,厂商指导价(元),33.46万 计算器,32.98万 计算器,34.18万 计算器
,经销商报价,16.73万起 询底价,16.50万起 询底价,17.09万起 询底价
基本参数,厂商,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎
基本参数,级别,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI
基本参数,上市时间,2025.05,2023.10,2023.10
基本参数,最大功率(kW),184,184,184
基本参数,最大扭矩(N·m),365,365,365
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 250马力 L4,2.0T 250马力 L4,2.0T 250马力 L4
基本参数,长*宽*高(mm),4778*1850*1429,4778*1850*1429,4778*1850*1429
基本参数,官方0-100km/h加速(s),7.3,7.3,7.3
基本参数,最高车速(km/h),240,240,240
基本参数,WLTC综合油耗(L/100km),8.01,8.01,8.01
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1730,1730,1730
基本参数,最大满载质量(kg),2180,2180,2180
车身,长度(mm),4778,4778,4778
车身,宽度(mm),1850,1850,1850
车身,高度(mm),1429,1429,1429
车身,轴距(mm),2935,2935,2935
车身,前轮距(mm),1598,1598,1598
车身,后轮距(mm),1582,1582,1582
车身,接近角(°),12,12,12
车身,离去角(°),15,15,15
车身,最小转弯半径(m),5.9,5.9,5.9
车身,车身结构,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5
车身,油箱容积(L),62,62,62
车身,后备厢容积(L),343,343,343
车身,风阻系数(Cd),-,-,-
发动机,发动机型号,PT204,PT204,PT204
发动机,排量(mL),1997,1997,1997
发动机,排量(L),2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L
发动机,气缸数(个),4,4,4
发动机,每缸气门数(个),4,4,4
发动机,压缩比,10.5,10.5,10.5
发动机,配气机构,DOHC,DOHC,DOHC
发动机,最大马力(Ps),250,250,250
发动机,最大功率(kW),184,184,184
发动机,最大功率转速(rpm),5500,5500,5500
发动机,最大扭矩(N·m),365,365,365
发动机,最大扭矩转速(rpm),1300-4500,1300-4500,1300-4500
发动机,最大净功率(kW),184,184,184
发动机,能源类型,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/45 R18,● 225/45 R18,● 225/45 R18
车轮制动,后轮胎规格,● 225/45 R18,● 225/45 R18,● 225/45 R18
车轮制动,备胎规格,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后
被动安全,缺气保用轮胎,●,●,●
主动安全,ABS防抱死,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●
主动安全,车道偏离预警系统,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●
主动安全,疲劳驾驶提示,●,●,●
主动安全,前方碰撞预警,●,●,●
主动安全,道路救援呼叫,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地
驾驶操控,发动机启停技术,●,●,●
驾驶操控,自动驻车,●,●,●
驾驶操控,上坡辅助,●,●,●
驾驶操控,陡坡缓降,●,●,●
驾驶操控,可变悬架功能,○ 悬架软硬调节,○ 悬架软硬调节,○ 悬架软硬调节
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,摄像头数量,● 2个,2个 3个,● 2个
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 自适应巡航,● 自适应巡航,● 自适应巡航
驾驶功能,卫星导航系统,●,●,●
驾驶功能,导航路况信息显示,●,●,●
驾驶功能,并线辅助,-,-,-
驾驶功能,车道保持辅助系统,●,●,●
驾驶功能,道路交通标识识别,●,●,●
驾驶功能,辅助泊车入位,-,-,-
外观/防盗,外观套件,● 运动风格,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●
外观/防盗,车内中控锁,●,●,●
