セクション,項目,轩逸 2026款 1.6L CVT省心版,轩逸 2026款 1.6L CVT真心版,轩逸 2026款 1.6L CVT悦享版,轩逸 2026款 1.6L CVT黑金版,轩逸 2026款 1.6L CVT智驾版,轩逸 2025款 1.6L CVT真心版,轩逸 2024款 改款三 经典 1.6XE CVT舒适版,轩逸 2024款 改款 经典 1.6XE+ CVT大屏版,轩逸 2024款 改款二 经典 1.6XL CVT豪华版,轩逸 2024款 改款二 经典 1.6XV CVT尊享版,轩逸 2023款 超混电驱 全电驱Pro,轩逸 2023款 超混电驱 全电驱大屏版,轩逸 2023款 超混电驱 超智联Plus,轩逸 2023款 超混电驱 超智驾Max,轩逸 2023款 超混电驱 超豪华Ultra,轩逸 2023款 1.6L CVT舒享版,轩逸 2023款 改款 1.6L CVT悦享版,轩逸 2023款 1.6L CVT黑金版,轩逸 2023款 改款 1.6L CVT智驾版,轩逸 2021款 经典 1.6XE CVT专享版,轩逸 2026款 基本型
,厂商指导价(元),11.39万 计算器,12.39万 计算器,12.99万 计算器,13.11万 计算器,13.39万 计算器,12.39万 计算器,7.99万 计算器,11.11万 计算器,11.86万 计算器,12.26万 计算器,13.89万 计算器,14.29万 计算器,14.99万 计算器,15.59万 计算器,17.49万 计算器,11.90万 计算器,12.99万 计算器,13.11万 计算器,13.39万 计算器,14.08万 计算器,预售 暂无报价 计算器
,经销商报价,7.13万起 询底价,8.13万起 询底价,8.73万起 询底价,8.85万起 询底价,9.13万起 询底价,8.23万起 询底价,5.98万起 询底价,6.58万起 询底价,7.33万起 询底价,7.73万起 询底价,10.59万起 询底价,10.99万起 询底价,11.69万起 询底价,12.29万起 询底价,14.19万起 询底价,7.64万起 询底价,8.73万起 询底价,8.85万起 询底价,9.13万起 询底价,9.55万起 询底价,暂无报价 询底价
基本参数,厂商,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油电驱,汽油电驱,汽油电驱,汽油电驱,汽油电驱,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08,2025.02,2025.07,2024.12,2024.12,2024.12,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2024.10,2024.08,2024.10,2022.05,-
基本参数,最大功率(kW),99,99,99,99,99,99,90,90,90,90,100,100,100,100,100,99,99,99,99,90,99
基本参数,最大扭矩(N·m),159,159,159,159,159,159,155,155,155,155,300,300,300,300,300,159,159,159,159,155,159
基本参数,变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.2L 72马力 L3,1.2L 72马力 L3,1.2L 72马力 L3,1.2L 72马力 L3,1.2L 72马力 L3,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 122马力 L4,1.6L 135马力 L4
基本参数,电动机(Ps),-,-,-,-,-,-,-,-,-,-,136,136,136,136,136,-,-,-,-,-,-
基本参数,长*宽*高(mm),4652*1815*1450,4652*1815*1450,4652*1815*1450,4652*1815*1450,4652*1815*1450,4652*1815*1450,4631*1760*1503,4631*1760*1503,4631*1760*1503,4631*1760*1503,4652*1815*1447,4652*1815*1447,4652*1815*1445,4652*1815*1445,4652*1815*1445,4652*1815*1450,4652*1815*1450,4652*1815*1450,4652*1815*1450,4631*1760*1503,4656*1825*1448
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,12.1,12.1,12.1,12.1,-,-,-,-,-,-,-,-,-,12.1,-
基本参数,最高车速(km/h),186,186,186,186,186,186,180,180,180,180,165,165,165,165,165,186,186,186,186,182,186
基本参数,NEDC综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,-
基本参数,WLTC综合油耗(L/100km),5.94,5.87,5.57,5.57,5.57,5.87,5.99,5.99,5.99,5.99,3.73,3.73,4.13,4.13,4.13,5.94,5.57,5.57,5.57,-,5.88
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-
基本参数,整备质量(kg),1258,1275,1287,1287,1287,1275,1210,1210,1230,1230,1429,1429,1457,1457,1473,1258,1287,1287,1287,1230,1304
基本参数,最大满载质量(kg),1720,1720,1720,1720,1720,1720,1650,1650,1650,1650,1900,1900,1900,1900,1900,1720,1720,1720,1720,1650,1760
车身,长度(mm),4652,4652,4652,4652,4652,4652,4631,4631,4631,4631,4652,4652,4652,4652,4652,4652,4652,4652,4652,4631,4656
车身,宽度(mm),1815,1815,1815,1815,1815,1815,1760,1760,1760,1760,1815,1815,1815,1815,1815,1815,1815,1815,1815,1760,1825
车身,高度(mm),1450,1450,1450,1450,1450,1450,1503,1503,1503,1503,1447,1447,1445,1445,1445,1450,1450,1450,1450,1503,1448
车身,轴距(mm),2712,2712,2712,2712,2712,2712,2700,2700,2700,2700,2712,2712,2712,2712,2712,2712,2712,2712,2712,2700,2712
车身,前轮距(mm),1588,1588,1588,1588,1588,1588,1540,1540,1540,1540,1587,1587,1571,1571,1571,1588,1588,1588,1588,1540,1588
车身,后轮距(mm),1594,1594,1594,1594,1594,1594,1540,1540,1540,1540,1593,1593,1577,1577,1577,1594,1594,1594,1594,1540,1593
车身,满载最小离地间隙(mm),-,-,-,-,-,-,165,165,165,165,-,-,-,-,-,-,-,-,-,165,-
车身,空载最小离地间隙(mm),128,125,125,125,125,125,-,-,-,-,132,132,131,131,131,128,125,125,125,-,-
车身,接近角(°),15,15,15,15,15,15,11,11,11,11,14,14,14,14,14,15,15,15,15,11,16
车身,离去角(°),16,16,16,16,16,16,13,13,13,13,15,15,15,15,15,16,16,16,16,13,21
车身,最小转弯半径(m),5.25,5.25,5.25,5.25,5.25,5.3,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,-
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,47,47,47,47,47,50,50,50,50,41,41,41,41,41,47,47,47,47,50,-
车身,后备厢容积(L),560,560,560,560,560,560,510,510,510,510,546,546,546,546,546,560,560,560,560,510,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR12,HR12,HR12,HR12,HR12,HR16,HR16,HR16,HR16,HR16,HR16
发动机,排量(mL),1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1198,1198,1198,1198,1198,1598,1598,1598,1598,1598,1598
发动机,排量(L),1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.6,1.6,1.6,1.6,1.6,1.6
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,10.8,10.8,10.8,10.8,10.8,10.8,9.8,9.8,9.8,9.8,-,-,-,-,-,10.8,10.8,10.8,10.8,9.8,10.8
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),135,135,135,135,135,135,122,122,122,122,72,72,72,72,72,135,135,135,135,122,135
发动机,最大功率(kW),99,99,99,99,99,99,90,90,90,90,53,53,53,53,53,99,99,99,99,90,99
发动机,最大功率转速(rpm),6300,6300,6300,6300,6300,6300,6000,6000,6000,6000,-,-,-,-,-,6300,6300,6300,6300,6000,6300
发动机,最大扭矩(N·m),159,159,159,159,159,159,155,155,155,155,-,-,-,-,-,159,159,159,159,155,159
发动机,最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,-,-,-,-,-,4000,4000,4000,4000,4000,4000
发动机,最大净功率(kW),88,88,88,88,88,88,82,82,82,82,53,53,53,53,53,88,88,88,88,82,88
发动机,发动机特有技术,e-VTC,e-VTC,e-VTC,e-VTC,e-VTC,e-VTC,双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,双C-VTC连续可变气门正时,-,-,-,-,-,e-VTC,e-VTC,e-VTC,e-VTC,双C-VTC连续可变气门正时,e-VTC
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油电驱,汽油电驱,汽油电驱,汽油电驱,汽油电驱,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-
电动机,电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,-,-,-
电动机,电动机总马力(Ps),-,-,-,-,-,-,-,-,-,-,136,136,136,136,136,-,-,-,-,-,-
电动机,电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,300,300,300,300,300,-,-,-,-,-,-
电动机,前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,-,-,-
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,300,300,300,300,300,-,-,-,-,-,-
