セクション,セクション_ja,項目,項目_ja,2026年モデル 1.6L CVT省エネ版,2026年モデル 1.6L CVT真心版,2026年モデル 1.6L CVT悦楽版,2026年モデル 1.6L CVTブラックゴールド版,2026年モデル 1.6L CVTスマートドライブ版,2025年モデル 1.6L CVT真心版,2024年モデル 改良版3 经典 1.6XE CVT快適版,2024年モデル 改良版 经典 1.6XE+ CVT大画面版,2024年モデル 改良版2 经典 1.6XL CVT豪華版,2024年モデル 改良版2 经典 1.6XV CVT特別版,2023年モデル 超ハイブリッド 全電動駆動Pro,2023年モデル 超ハイブリッド 全電動駆動大画面版,2023年モデル 超ハイブリッド 超スマートコネクトPlus,2023年モデル 超ハイブリッド 超スマートドライブMax,2023年モデル 超ハイブリッド 超豪華Ultra,2023年モデル 1.6L CVT快適享受版,2023年モデル 改良版 1.6L CVT悦楽享受版,2023年モデル 1.6L CVTブラックゴールド版,2023年モデル 改良版 1.6L CVTスマートドライブ版,2021年モデル 经典 1.6XE CVT専用版,2026年モデル ベーシックタイプ
,nan,厂商指导价(元),メーカー希望小売価格(元),"11.39万元（日本円 約2,391,900円）","12.39万元（日本円 約2,601,900円）","12.99万元（日本円 約2,727,900円）","13.11万元（日本円 約2,753,100円）","13.39万元（日本円 約2,811,900円）","12.39万元（日本円 約2,601,900円）","7.99万元（日本円 約1,677,900円）","11.11万元（日本円 約2,333,100円）","11.86万元（日本円 約2,490,600円）","12.26万元（日本円 約2,574,600円）","13.89万元（日本円 約2,916,900円）","14.29万元（日本円 約3,000,900円）","14.99万元（日本円 約3,147,900円）","15.59万元（日本円 約3,273,900円）","17.49万元（日本円 約3,672,900円）","11.90万元（日本円 約2,499,000円）","12.99万元（日本円 約2,727,900円）","13.11万元（日本円 約2,753,100円）","13.39万元（日本円 約2,811,900円）","14.08万元（日本円 約2,956,800円）",预售 暂无
,nan,经销商报价,ディーラー販売価格（元）,"7.13万元（日本円 約1,497,300円）","8.13万元（日本円 約1,707,300円）","8.73万元（日本円 約1,833,300円）","8.85万元（日本円 約1,858,500円）","9.13万元（日本円 約1,917,300円）","8.23万元（日本円 約1,728,300円）","5.98万元（日本円 約1,255,800円）","6.58万元（日本円 約1,381,800円）","7.33万元（日本円 約1,539,300円）","7.73万元（日本円 約1,623,300円）","10.59万元（日本円 約2,223,900円）","10.99万元（日本円 約2,307,900円）","11.69万元（日本円 約2,454,900円）","12.29万元（日本円 約2,580,900円）","14.19万元（日本円 約2,979,900円）","7.64万元（日本円 約1,604,400円）","8.73万元（日本円 約1,833,300円）","8.85万元（日本円 約1,858,500円）","9.13万元（日本円 約1,917,300円）","9.55万元（日本円 約2,005,500円）",暂无
基本参数,基本仕様,厂商,メーカー,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリンハイブリッド,ガソリンハイブリッド,ガソリンハイブリッド,ガソリンハイブリッド,ガソリンハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.08,2025.02,2025.07,2024.12,2024.12,2024.12,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2024.10,2024.08,2024.10,2022.05,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),99,99,99,99,99,99,90,90,90,90,100,100,100,100,100,99,99,99,99,90,99
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),159,159,159,159,159,159,155,155,155,155,300,300,300,300,300,159,159,159,159,155,159
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 122馬力 L4,1.6L 122馬力 L4,1.6L 122馬力 L4,1.6L 122馬力 L4,1.2L 72馬力 L3,1.2L 72馬力 L3,1.2L 72馬力 L3,1.2L 72馬力 L3,1.2L 72馬力 L3,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 135馬力 L4,1.6L 122馬力 L4,1.6L 135馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,-,-,-,-,-,-,-,-,136,136,136,136,136,-,-,-,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4652×1815×1450mm,4652×1815×1450mm,4652×1815×1450mm,4652×1815×1450mm,4652×1815×1450mm,4652×1815×1450mm,4631×1760×1503mm,4631×1760×1503mm,4631×1760×1503mm,4631×1760×1503mm,4652×1815×1447mm,4652×1815×1447mm,4652×1815×1445mm,4652×1815×1445mm,4652×1815×1445mm,4652×1815×1450mm,4652×1815×1450mm,4652×1815×1450mm,4652×1815×1450mm,4631×1760×1503mm,4656×1825×1448mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,12.1,12.1,12.1,12.1,-,-,-,-,-,-,-,-,-,12.1,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),186,186,186,186,186,186,180,180,180,180,165,165,165,165,165,186,186,186,186,182,186
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,-
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.94,5.87,5.57,5.57,5.57,5.87,5.99,5.99,5.99,5.99,3.73,3.73,4.13,4.13,4.13,5.94,5.57,5.57,5.57,-,5.88
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1258,1275,1287,1287,1287,1275,1210,1210,1230,1230,1429,1429,1457,1457,1473,1258,1287,1287,1287,1230,1304
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1720,1720,1720,1720,1720,1720,1650,1650,1650,1650,1900,1900,1900,1900,1900,1720,1720,1720,1720,1650,1760
车身,車体,长度(mm),全長(mm),4652,4652,4652,4652,4652,4652,4631,4631,4631,4631,4652,4652,4652,4652,4652,4652,4652,4652,4652,4631,4656
车身,車体,宽度(mm),全幅(mm),1815,1815,1815,1815,1815,1815,1760,1760,1760,1760,1815,1815,1815,1815,1815,1815,1815,1815,1815,1760,1825
车身,車体,高度(mm),全高(mm),1450,1450,1450,1450,1450,1450,1503,1503,1503,1503,1447,1447,1445,1445,1445,1450,1450,1450,1450,1503,1448
车身,車体,轴距(mm),ホイールベース(mm),2712,2712,2712,2712,2712,2712,2700,2700,2700,2700,2712,2712,2712,2712,2712,2712,2712,2712,2712,2700,2712
车身,車体,前轮距(mm),前トレッド(mm),1588,1588,1588,1588,1588,1588,1540,1540,1540,1540,1587,1587,1571,1571,1571,1588,1588,1588,1588,1540,1588
车身,車体,后轮距(mm),後トレッド(mm),1594,1594,1594,1594,1594,1594,1540,1540,1540,1540,1593,1593,1577,1577,1577,1594,1594,1594,1594,1540,1593
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),-,-,-,-,-,-,165,165,165,165,-,-,-,-,-,-,-,-,-,165,-
车身,車体,空载最小离地间隙(mm),空車時最低地上高(mm),128,125,125,125,125,125,-,-,-,-,132,132,131,131,131,128,125,125,125,-,-
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,11,11,11,11,14,14,14,14,14,15,15,15,15,11,16
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16,16,13,13,13,13,15,15,15,15,15,16,16,16,16,13,21
车身,車体,最小转弯半径(m),最小回転半径(m),5.25,5.25,5.25,5.25,5.25,5.3,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,-
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),47,47,47,47,47,47,50,50,50,50,41,41,41,41,41,47,47,47,47,50,-
车身,車体,后备厢容积(L),トランク容量(L),560,560,560,560,560,560,510,510,510,510,546,546,546,546,546,560,560,560,560,510,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR16,HR12,HR12,HR12,HR12,HR12,HR16,HR16,HR16,HR16,HR16,HR16
发动机,エンジン,排量(mL),排気量(mL),1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1198,1198,1198,1198,1198,1598,1598,1598,1598,1598,1598
发动机,エンジン,排量(L),排気量(L),1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.6,1.6,1.6,1.6,1.6,1.6
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,10.8,10.8,10.8,10.8,10.8,10.8,9.8,9.8,9.8,9.8,-,-,-,-,-,10.8,10.8,10.8,10.8,9.8,10.8
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),135,135,135,135,135,135,122,122,122,122,72,72,72,72,72,135,135,135,135,122,135
发动机,エンジン,最大功率(kW),最大出力(kW),99,99,99,99,99,99,90,90,90,90,53,53,53,53,53,99,99,99,99,90,99
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6300,6300,6300,6300,6300,6300,6000,6000,6000,6000,-,-,-,-,-,6300,6300,6300,6300,6000,6300
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),159,159,159,159,159,159,155,155,155,155,-,-,-,-,-,159,159,159,159,155,159
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,-,-,-,-,-,4000,4000,4000,4000,4000,4000
发动机,エンジン,最大净功率(kW),最大出力(kW),88,88,88,88,88,88,82,82,82,82,53,53,53,53,53,88,88,88,88,82,88
发动机,エンジン,发动机特有技术,エンジン独自技術,e-VTC,e-VTC,e-VTC,e-VTC,e-VTC,e-VTC,デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング,-,-,-,-,-,e-VTC,e-VTC,e-VTC,e-VTC,デュアルC-VTC連続可変バルブタイミング,e-VTC
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリンハイブリッド,ガソリンハイブリッド,ガソリンハイブリッド,ガソリンハイブリッド,ガソリンハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,-,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-,-,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,-,-,-,-,-,-,-,136,136,136,136,136,-,-,-,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,-,-,-,-,-,300,300,300,300,300,-,-,-,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,300,300,300,300,300,-,-,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,-,-,-,-,-,-,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,-,-
电动机,モーター,电机布局,モーター配置,-,-,-,-,-,-,-,-,-,-,前置き,前置き,前置き,前置き,前置き,-,-,-,-,-,-
电动机,モーター,三电系统质保,三電システム保証,-,-,-,-,-,-,-,-,-,-,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,● 8年または12万km,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,-,-,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,-,-,-,-,-,-,-,● シンワンダ製,● シンワンダ製,● シンワンダ製,● シンワンダ製,● シンワンダ製,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,-,-,-,-,-,-,-,-,-,-,空冷,空冷,空冷,空冷,空冷,-,-,-,-,-,-
