セクション,項目,宝马X3 2025款 改款 xDrive25L 豪华套装,宝马X3 2025款 xDrive30L 领先型 M运动曜夜套装,宝马X3 2025款 xDrive30L 尊享型 M运动曜夜套装,宝马X3 2025款 xDrive25L 豪华套装,宝马X3 2025款 xDrive30L 领先型 M运动套装,宝马X3 2025款 xDrive30L 尊享型 M运动套装
,厂商指导价(元),34.99万 计算器,39.99万 计算器,44.99万 计算器,34.99万 计算器,39.99万 计算器,44.99万 计算器
,经销商报价,34.99万起 询底价,34.99万起 询底价,39.99万起 询底价,29.99万起 询底价,34.99万起 询底价,39.99万起 询底价
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.04,2025.02,2025.02
基本参数,最大功率(kW),140,190,190,140,190,190
基本参数,最大扭矩(N·m),310,400,400,310,400,400
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 190马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 190马力 L4,2.0T 258马力 L4,2.0T 258马力 L4
基本参数,长*宽*高(mm),4865*1920*1664,4865*1920*1664,4865*1920*1664,4865*1920*1664,4865*1920*1664,4865*1920*1664
基本参数,官方0-100km/h加速(s),8.9,6.6,6.6,8.9,6.6,6.6
基本参数,最高车速(km/h),214,235,235,214,235,235
基本参数,WLTC综合油耗(L/100km),8.1,8.3,8.3,8.1,8.3,8.3
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1885,1915,1915,1885,1915,1915
基本参数,最大满载质量(kg),2460,2450,2450,2460,2450,2450
车身,长度(mm),4865,4865,4865,4865,4865,4865
车身,宽度(mm),1920,1920,1920,1920,1920,1920
车身,高度(mm),1664,1664,1664,1664,1664,1664
车身,轴距(mm),2975,2975,2975,2975,2975,2975
车身,前轮距(mm),1614,1618,1618,1614,1618,1618
车身,后轮距(mm),1659,1623,1623,1659,1623,1623
车身,接近角(°),20,20,20,20,20,20
车身,离去角(°),22,21,21,22,21,21
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),65,65,65,65,65,65
车身,后备厢容积(L),-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,B48B20H,B48B20W,B48B20W,B48B20H,B48B20W,B48B20W
发动机,排量(mL),1998,1998,1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),190,258,258,190,258,258
发动机,最大功率(kW),140,190,190,140,190,190
发动机,最大功率转速(rpm),5000,5000,5000,5000,5000,5000
发动机,最大扭矩(N·m),310,400,400,310,400,400
发动机,最大扭矩转速(rpm),1500-4000,1600-4500,1600-4500,1500-4000,1600-4500,1600-4500
发动机,最大净功率(kW),140,190,190,140,190,190
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,245/50 R19 255/40 R21 (2.50万元) 255/45 R20 (1.25万元),255/45 R20 255/40 R21 (1.50万元),255/45 R20 255/40 R21 (1.50万元),245/50 R19 255/40 R21 (2.50万元) 255/45 R20 (1.25万元),255/45 R20 255/40 R21 (1.50万元),255/45 R20 255/40 R21 (1.50万元)
车轮制动,后轮胎规格,245/50 R19 285/35 R21 285/40 R20,285/40 R20 285/35 R21,285/40 R20 285/35 R21,245/50 R19 285/35 R21 285/40 R20,285/40 R20 285/35 R21,285/40 R20 285/35 R21
车轮制动,备胎规格,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,○,○,●,○,○,●
主动安全,DOW开门预警,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
