セクション,項目,捷途X70 2025款 1.5T 手动超越版 5座,捷途X70 2025款 1.5T 手动超越版 7座,捷途X70 2025款 1.5T DCT超越PRO 5座,捷途X70 2025款 1.5T DCT超越PRO 7座,捷途X70 2025款 1.5T DCT臻享版 5座,捷途X70 2025款 1.5T DCT臻享版 7座,捷途X70 2025款 1.5T DCT经典版 5座,捷途X70 2025款 1.5T DCT经典版 7座,捷途X70 2024款 1.5T DCT跃享版 5座,捷途X70 2024款 1.5T DCT跃享版 7座,捷途X70 2024款 1.5T 手动发现版 7座,捷途X70 2024款 1.5T 手动荣耀版 5座,捷途X70 2024款 1.5T 手动荣耀版 7座,捷途X70 2024款 1.5T DCT荣耀PRO 5座,捷途X70 2024款 1.5T DCT荣耀PRO 7座,捷途X70 2023款 1.5T DCT陆冠版 5座,捷途X70 2023款 1.5T DCT陆冠版 7座,捷途X70 2023款 1.5T DCT旗舰版 5座,捷途X70 2023款 1.5T DCT旗舰版 7座
,厂商指导价(元),10.69万 计算器,10.99万 计算器,11.39万 计算器,11.69万 计算器,13.28万 计算器,13.58万 计算器,14.69万 计算器,14.99万 计算器,11.98万 计算器,12.28万 计算器,11.98万 计算器,10.89万 计算器,11.19万 计算器,11.89万 计算器,12.19万 计算器,14.18万 计算器,14.48万 计算器,14.69万 计算器,14.99万 计算器
,经销商报价,8.69万起,8.99万起,9.39万起,9.69万起,13.28万起,13.58万起,14.69万起,14.99万起,11.98万起,12.28万起,11.98万起,10.89万起,11.19万起,11.89万起,12.19万起,14.18万起,14.48万起,14.69万起,14.99万起
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.01,2025.01,2025.01,2025.01,2025.05,2025.05,2025.05,2025.05,2024.03,2024.03,2023.11,2024.04,2024.04,2024.04,2024.04,2023.06,2023.06,2023.08,2023.08
基本参数,最大功率(kW),115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
基本参数,最大扭矩(N·m),230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
基本参数,变速箱,6挡手动,6挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡手动,6挡手动,6挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合
基本参数,车身结构,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
基本参数,长*宽*高(mm),4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),7.85,7.85,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.85,7.85,7.85,7.92,7.92,7.92,7.92,7.92,7.92
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1481,1505,1512,1536,1512,1536,1512,1536,1512,1536,1505,1481,1505,1512,1536,1512,1536,1512,1536
基本参数,最大满载质量(kg),2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
车身,长度(mm),4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749,4749
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,高度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
车身,轴距(mm),2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745
车身,前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,后轮距(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
车身,接近角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,离去角(°),18,16,18,16,18,16,18,16,18,16,16,18,16,18,16,18,16,18,16
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 7,● 5,● 7,● 5,● 7,● 5,● 7,● 5,● 7,● 7,● 5,● 7,● 5,● 7,● 5,● 7,● 5,● 7
车身,油箱容积(L),57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
发动机,最大功率(kW),115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
发动机,发动机特有技术,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
