セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T MT 超越版 5人乗り,2025年モデル 1.5T MT 超越版 7人乗り,2025年モデル 1.5T DCT 超越PRO 5人乗り,2025年モデル 1.5T DCT 超越PRO 7人乗り,2025年モデル 1.5T DCT 臻享版 5人乗り,2025年モデル 1.5T DCT 臻享版 7人乗り,2025年モデル 1.5T DCT 经典版 5人乗り,2025年モデル 1.5T DCT 经典版 7人乗り,2024年モデル 1.5T DCT 跃享版 5人乗り,2024年モデル 1.5T DCT 跃享版 7人乗り,2024年モデル 1.5T MT 发现版 7人乗り,2024年モデル 1.5T MT 荣耀版 5人乗り,2024年モデル 1.5T MT 荣耀版 7人乗り,2024年モデル 1.5T DCT 荣耀PRO 5人乗り,2024年モデル 1.5T DCT 荣耀PRO 7人乗り,2023年モデル 1.5T DCT 陆冠版 5人乗り,2023年モデル 1.5T DCT 陆冠版 7人乗り,2023年モデル 1.5T DCT 旗舰版 5人乗り,2023年モデル 1.5T DCT 旗舰版 7人乗り
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"10.69万元（日本円 約2,244,900円）","10.99万元（日本円 約2,307,900円）","11.39万元（日本円 約2,391,900円）","11.69万元（日本円 約2,454,900円）","13.28万元（日本円 約2,788,800円）","13.58万元（日本円 約2,851,800円）","14.69万元（日本円 約3,084,900円）","14.99万元（日本円 約3,147,900円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","11.98万元（日本円 約2,515,800円）","10.89万元（日本円 約2,286,900円）","11.19万元（日本円 約2,349,900円）","11.89万元（日本円 約2,496,900円）","12.19万元（日本円 約2,559,900円）","14.18万元（日本円 約2,977,800円）","14.48万元（日本円 約3,040,800円）","14.69万元（日本円 約3,084,900円）","14.99万元（日本円 約3,147,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"8.69万元（日本円 約1,824,900円）","8.99万元（日本円 約1,887,900円）","9.39万元（日本円 約1,971,900円）","9.69万元（日本円 約2,034,900円）","13.28万元（日本円 約2,788,800円）","13.58万元（日本円 約2,851,800円）","14.69万元（日本円 約3,084,900円）","14.99万元（日本円 約3,147,900円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","11.98万元（日本円 約2,515,800円）","10.89万元（日本円 約2,286,900円）","11.19万元（日本円 約2,349,900円）","11.89万元（日本円 約2,496,900円）","12.19万元（日本円 約2,559,900円）","14.18万元（日本円 約2,977,800円）","14.48万元（日本円 約3,040,800円）","14.69万元（日本円 約3,084,900円）","14.99万元（日本円 約3,147,900円）"
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.01,2025.01,2025.01,2025.01,2025.05,2025.05,2025.05,2025.05,2024.03,2024.03,2023.11,2024.04,2024.04,2024.04,2024.04,2023.06,2023.06,2023.08,2023.08
基本参数,基本仕様,最大功率(kW),最大出力(kW),115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
基本参数,基本仕様,变速箱,トランスミッション,6速マニュアル,6速マニュアル,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速マニュアル,6速マニュアル,6速マニュアル,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ,6速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720,4749×1900×1720
