セクション,項目,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动舒适型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动豪华型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动舒适型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动尊贵型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动旗舰型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动豪华型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动尊贵型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动旗舰型,瑞虎8 2025款 卓越版 230TCI 手动舒适版 5座,瑞虎8 2025款 卓越版 230TCI 手动舒适版 7座,瑞虎8 2025款 卓越版 230TCI 自动豪华版 5座,瑞虎8 2025款 卓越版 230TCI 自动豪华版 7座
,厂商指导价(元),9.99万 计算器,10.99万 计算器,9.99万 计算器,11.99万 计算器,12.99万 计算器,10.99万 计算器,11.99万 计算器,12.99万 计算器,10.99万 计算器,11.29万 计算器,11.99万 计算器,12.29万 计算器
,经销商报价,9.29万起,10.29万起,9.29万起,11.29万起,12.29万起,10.29万起,11.29万起,12.29万起,7.99万起,8.29万起,8.99万起,9.29万起
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2024.09,2024.09,2024.09,2024.09
基本参数,最大功率(kW),147,147,147,147,147,147,147,147,115,115,115,115
基本参数,最大扭矩(N·m),310,310,310,310,310,310,310,310,230,230,230,230
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡手动,6挡手动,6挡湿式双离合,6挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
基本参数,发动机,1.6T 200马力 L4,1.6T 200马力 L4,1.6T 200马力 L4,1.6T 200马力 L4,1.6T 200马力 L4,1.6T 200马力 L4,1.6T 200马力 L4,1.6T 200马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
基本参数,长*宽*高(mm),4749*1880*1710,4749*1880*1710,4725*1880*1705,4749*1880*1710,4749*1880*1710,4725*1880*1705,4725*1880*1705,4725*1880*1705,4722*1860*1745,4722*1860*1745,4722*1860*1745,4722*1860*1745
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),190,190,190,190,190,190,190,190,180,180,180,180
基本参数,WLTC综合油耗(L/100km),7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.49,7.49,7.59,7.59
