セクション,セクション_ja,項目,項目_ja,2025年モデル 卓越版 230TCI MT快適仕様 5人乗り,2025年モデル 卓越版 230TCI MT快適仕様 7人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 5人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 7人乗り,2025年モデル 290TGDI AT快適仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 7人乗り,2024年モデル 230TCI ATトレンド仕様 5人乗り,2024年モデル 230TCI ATトレンド仕様 7人乗り,2024年モデル 230TCI AT新鋭仕様 5人乗り,2024年モデル 230TCI AT新鋭仕様 7人乗り,2026年モデル 虎型 鯤鵬310TGDI AT快適タイプ,2026年モデル 虎型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 虎型 鯤鵬310TGDI AT上級タイプ,2026年モデル 虎型 鯤鵬310TGDI ATフラッグシップタイプ,2026年モデル 豹型 鯤鵬310TGDI AT快適タイプ,2026年モデル 豹型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 豹型 鯤鵬310TGDI AT上級タイプ,2026年モデル 豹型 鯤鵬310TGDI ATフラッグシップタイプ
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"10.99万元（日本円 約2,307,900円）","11.29万元（日本円 約2,370,900円）","11.99万元（日本円 約2,517,900円）","12.29万元（日本円 約2,580,900円）","15.39万元（日本円 約3,231,900円）","13.59万元（日本円 約2,853,900円）","13.89万元（日本円 約2,916,900円）","15.28万元（日本円 約3,208,800円）","15.58万元（日本円 約3,271,800円）","15.38万元（日本円 約3,229,800円）","15.68万元（日本円 約3,292,800円）","10.59万元（日本円 約2,223,900円）","11.59万元（日本円 約2,433,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）","10.59万元（日本円 約2,223,900円）","11.59万元（日本円 約2,433,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"7.99万元（日本円 約1,677,900円）","8.29万元（日本円 約1,740,900円）","8.99万元（日本円 約1,887,900円）","9.29万元（日本円 約1,950,900円）","12.39万元（日本円 約2,601,900円）","13.59万元（日本円 約2,853,900円）","13.89万元（日本円 約2,916,900円）","15.28万元（日本円 約3,208,800円）","15.58万元（日本円 約3,271,800円）","15.38万元（日本円 約3,229,800円）","15.68万元（日本円 約3,292,800円）","10.59万元（日本円 約2,223,900円）","11.59万元（日本円 約2,433,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）","10.59万元（日本円 約2,223,900円）","11.59万元（日本円 約2,433,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）"
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024.09,2024.09,2024.09,2024.09,2025.02,2024.08,2024.08,2024.04,2024.04,2024.07,2024.07,-,-,-,-,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),115,115,115,115,145,115,115,115,115,115,115,147,147,147,147,147,147,147,147
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),230,230,230,230,290,230,230,230,230,230,230,310,310,310,310,310,310,310,310
基本参数,基本仕様,变速箱,トランスミッション,6速マニュアル,6速マニュアル,6速湿式DCT,6速湿式DCT,7速湿式DCT,6速マニュアル,6速マニュアル,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT
