セクション,項目,探岳 2026款 3000万辆甄选款 300TSI,探岳 2026款 3000万辆甄选款 330TSI,探岳 2025款 探岳L 380TSI 四驱豪华,探岳 2025款 探岳L 380TSI 四驱豪华Easy包,探岳 2025款 探岳L 330TSI 两驱精英,探岳 2025款 探岳L 330TSI 两驱精英City包,探岳 2025款 改款 众享款 330TSI,探岳 2025款 探岳L 300TSI 两驱精英,探岳 2025款 改款 众享款 300TSI,探岳 2024款 300TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line Pro智慧版
,厂商指导价(元),19.89万 计算器,20.89万 计算器,24.79万 计算器,25.99万 计算器,21.79万 计算器,22.99万 计算器,20.89万 计算器,20.79万 计算器,19.89万 计算器,20.79万 计算器,21.79万 计算器,22.99万 计算器,24.79万 计算器,25.99万 计算器
,经销商报价,14.89万起,15.89万起,21.69万起,22.89万起,18.69万起,19.89万起,15.89万起,17.69万起,14.89万起,15.79万起,16.79万起,17.99万起,19.79万起,20.99万起
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.03,2025.03,2025.03,2025.03,2025.08,2025.03,2025.08,2023.10,2023.10,2023.10,2023.10,2023.10
基本参数,最大功率(kW),118,137,162,162,137,137,137,118,118,118,137,137,162,162
基本参数,最大扭矩(N·m),250,320,350,350,320,320,320,250,250,250,320,320,350,350
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
基本参数,长*宽*高(mm),4593*1860*1665,4593*1860*1665,4695*1866*1684,4695*1866*1684,4684*1854*1685,4695*1866*1684,4593*1860*1665,4684*1854*1685,4593*1860*1665,4593*1860*1665,4593*1860*1665,4592*1860*1665,4592*1860*1669,4592*1860*1669
基本参数,官方0-100km/h加速(s),9.5,9.3,7.4,7.4,8.5,8.5,9.3,9.4,9.5,9.6,9.3,9.3,7.5,7.5
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),6.7,7.07,7.77,7.77,6.84,6.95,7.07,6.39,6.7,6.7,7.07,7.07,7.86,7.96
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1632,1679,1773,1773,1666,1681,1679,1624,1632,1632,1679,1679,1767,1781
基本参数,最大满载质量(kg),2110,2160,2250,2250,2150,2150,2160,2100,2110,2110,2160,2160,2250,2250
车身,长度(mm),4593,4593,4695,4695,4684,4695,4593,4684,4593,4593,4593,4592,4592,4592
车身,宽度(mm),1860,1860,1866,1866,1854,1866,1860,1854,1860,1860,1860,1860,1860,1860
车身,高度(mm),1665,1665,1684,1684,1685,1684,1665,1685,1665,1665,1665,1665,1669,1669
车身,轴距(mm),2731,2731,2791,2791,2791,2791,2731,2791,2731,2731,2731,2731,2731,2731
车身,前轮距(mm),1586,1586,1586,1586,1582,1586,1586,1582,1586,1586,1586,1586,1586,1586
车身,后轮距(mm),1576,1576,1576,1576,1572,1576,1576,1572,1576,1576,1576,1576,1576,1576
车身,接近角(°),20,19,17,17,17,17,19,17,20,20,19,19,19,19
车身,离去角(°),18,19,20,20,20,20,19,20,18,18,19,19,19,19
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,63,63,60,60,60,60,60,60,60,60,63,63
车身,后备厢容积(L),506,506,455,455,455,455,506,455,506,506,506,506,506,506
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,EA211-DSV,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTH,EA888-DTH,EA888-DTH,EA211-DSV,EA211-DSV,EA211-DSV,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ
发动机,排量(mL),1498,1984,1984,1984,1984,1984,1984,1498,1498,1498,1984,1984,1984,1984
发动机,排量(L),1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,186,220,220,186,186,186,160,160,160,186,186,220,220
发动机,最大功率(kW),118,137,162,162,137,137,137,118,118,118,137,137,162,162
发动机,最大功率转速(rpm),5500,4150-6000,4900-6700,4900-6700,4150-6000,4150-6000,4150-6000,5500,5500,5500,4150-6000,4150-6000,4900-6700,4900-6700
发动机,最大扭矩(N·m),250,320,350,350,320,320,320,250,250,250,320,320,350,350
发动机,最大扭矩转速(rpm),1750-4000,1600-4050,1600-4300,1600-4300,1600-4050,1600-4050,1600-4050,1750-4000,1750-4000,1750-4000,1600-4050,1600-4050,1600-4300,1600-4300
发动机,最大净功率(kW),118,137,162,162,137,137,137,118,118,118,137,137,162,162
发动机,发动机特有技术,米勒循环,-,-,-,-,-,-,米勒循环,米勒循环,米勒循环,-,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁
