セクション,項目,途岳 2026款 新锐 1.5L 锐进版,途岳 2026款 新锐 1.5L 锐意版,途岳 2026款 新锐 1.5L 锐享版,途岳 2026款 新锐 300TSI 锐意版,途岳 2026款 新锐 300TSI 锐享版,途岳 2025款 300TSI 两驱皓月版,途岳 2025款 新锐 300TSI 锐意版,途岳 2025款 新锐 300TSI 锐享版,途岳 2025款 新锐 1.5L 锐进版,途岳 2025款 新锐 1.5L 锐意版,途岳 2024款 300TSI 两驱皎月版,途岳 2024款 300TSI 两驱满月版,途岳 2024款 300TSI 两驱月尊版,途岳 2024款 300TSI 两驱新月版,途岳 2024款 330TSI 四驱月尊版
,厂商指导价(元),12.59万 计算器,13.59万 计算器,14.39万 计算器,14.69万 计算器,15.49万 计算器,17.16万 计算器,14.69万 计算器,15.39万 计算器,12.59万 计算器,13.59万 计算器,17.56万 计算器,18.16万 计算器,19.76万 计算器,15.86万 计算器,21.66万 计算器
,经销商报价,7.99万起,8.99万起,9.79万起,9.99万起,10.79万起,11.99万起,9.99万起,10.69万起,7.99万起,8.99万起,12.39万起,12.99万起,14.59万起,10.69万起,16.49万起
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08,2025.05,2024.08,2024.08,2024.08,2024.08,2024.03,2024.03,2024.03,2024.03,2024.03
基本参数,最大功率(kW),81,81,81,118,118,118,118,118,81,81,118,118,118,118,137
基本参数,最大扭矩(N·m),141,141,141,250,250,250,250,250,141,141,250,250,250,250,320
基本参数,变速箱,6挡手自一体,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合
