セクション,項目,奔驰A级 2025款 改款 A 180 L,奔驰A级 2025款 改款 A 200 L 时尚型,奔驰A级 2025款 A 180 L,奔驰A级 2025款 A 200 L 时尚型
,厂商指导价(元),25.13万 计算器,27.57万 计算器,25.13万 计算器,27.57万 计算器
,经销商报价,12.56万起,15.00万起,12.56万起,13.78万起
基本参数,厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2024.07,2024.07
基本参数,最大功率(kW),100,120,100,120
基本参数,最大扭矩(N·m),230,270,230,270
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.3T 136马力 L4,1.3T 163马力 L4,1.3T 136马力 L4,1.3T 163马力 L4
基本参数,长*宽*高(mm),4630*1796*1459,4630*1796*1459,4630*1796*1459,4630*1796*1459
基本参数,官方0-100km/h加速(s),10.1,8.9,10.1,8.9
基本参数,最高车速(km/h),218,230,218,230
基本参数,WLTC综合油耗(L/100km),6.03,6.0,6.03,6.0
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),1412,1433,1412,1433
基本参数,最大满载质量(kg),1905,1910,1905,1910
车身,长度(mm),4630,4630,4630,4630
车身,宽度(mm),1796,1796,1796,1796
车身,高度(mm),1459,1459,1459,1459
车身,轴距(mm),2789,2789,2789,2789
车身,前轮距(mm),1569,1569,1569,1569
车身,后轮距(mm),1558,1558,1558,1558
车身,接近角(°),14,14,14,14
车身,离去角(°),22,22,22,22
车身,车身结构,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),-,-,-,-
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,282 814,282 814,282 814,282 814
发动机,排量(mL),1332,1332,1332,1332
发动机,排量(L),1.3,1.3,1.3,1.3
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),136,163,136,163
发动机,最大功率(kW),100,120,100,120
发动机,最大功率转速(rpm),5500,5500,5500,5500
发动机,最大扭矩(N·m),230,270,230,270
发动机,最大扭矩转速(rpm),1660-3000,2000-3500,1660-3000,2000-3500
发动机,最大净功率(kW),100,120,100,120
发动机,能源类型,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/55 R17,● 205/55 R17,● 205/55 R17,● 205/55 R17
车轮制动,后轮胎规格,● 205/55 R17,● 205/55 R17,● 205/55 R17,● 205/55 R17
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,被动行人保护,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,发动机启停技术,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,-,前 ● / 后 ●,-,前 ● / 后 ●
