セクション,項目,奥迪Q5L 2026款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2026款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2026款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 时尚动感型,奥迪Q5L 2025款 45周年典藏版 40 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 豪华动感型,奥迪Q5L 2025款 45周年典藏版 45 TFSI 臻选动感型,奥迪Q5L 2026款 基本型,奥迪Q5L 2026款 高功率基本型
,厂商指导价(元),34.98万 计算器,36.98万 计算器,39.98万 计算器,34.98万 计算器,36.98万 计算器,39.98万 计算器,42.98万 计算器,预售,预售
,经销商报价,34.98万起,36.98万起,39.98万起,25.24万起,26.70万起,28.89万起,31.08万起,暂无报价,暂无报价
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.02,2025.02,2025.02,2025.02,-,-
基本参数,最大功率(kW),140,140,180,140,140,180,180,150,200
基本参数,最大扭矩(N·m),320,320,370,320,320,370,370,-,-
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,-,-
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 245马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 204马力 L4,2.0T 272马力 L4
基本参数,长*宽*高(mm),4770*1893*1667,4770*1893*1667,4770*1893*1667,4770*1893*1667,4770*1893*1667,4770*1893*1667,4770*1893*1667,4842*1900*1640,4842*1900*1660
基本参数,官方0-100km/h加速(s),9.1,9.1,7,9.1,9.1,7,7,-,-
基本参数,最高车速(km/h),211,211,230,211,211,230,230,220,240
基本参数,WLTC综合油耗(L/100km),7.77,7.77,7.96,7.77,7.77,7.96,8.08,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-,-
基本参数,整备质量(kg),1870,1870,1875,1870,1870,1875,1915,2043,2067
基本参数,最大满载质量(kg),2355,2355,2355,2355,2355,2355,2395,2530,2540
车身,长度(mm),4770,4770,4770,4770,4770,4770,4770,4842,4842
车身,宽度(mm),1893,1893,1893,1893,1893,1893,1893,1900,1900
车身,高度(mm),1667,1667,1667,1667,1667,1667,1667,1640,1660
车身,轴距(mm),2907,2907,2907,2907,2907,2907,2907,2945,2945
车身,前轮距(mm),1616,1616,1616,1616,1616,1616,1616,1621,1626
车身,后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1613,1618
车身,满载最小离地间隙(mm),166,166,166,166,166,166,166,-,-
车身,接近角(°),21,21,21,21,21,21,21,16,16
车身,离去角(°),23,23,23,23,23,23,23,21,22
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,-,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),73,73,73,73,73,73,73,-,-
车身,后备厢容积(L),550,550,550,550,550,550,550,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,DTG,DTG,DTK,DTG,DTG,DTK,DTK,DXM,DXG
