セクション,項目,凯迪拉克XT4 2024款 改款 25T 两驱都会型,凯迪拉克XT4 2024款 改款 28T 两驱豪华型,凯迪拉克XT4 2024款 改款 28T 两驱尊贵型,凯迪拉克XT4 2024款 25T 两驱风尚型,凯迪拉克XT4 2024款 28T 两驱豪华型,凯迪拉克XT4 2024款 28T 两驱尊贵型
,厂商指导价(元),22.97万 计算器,26.27万 计算器,27.57万 计算器,22.97万 计算器,25.77万 计算器,27.57万 计算器
,经销商报价,15.99万起,17.99万起,18.99万起,18.97万起,21.77万起,23.57万起
基本参数,厂商,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.05,2025.05,2025.05,2023.05,2023.05,2023.05
基本参数,最大功率(kW),155,174,174,155,174,174
基本参数,最大扭矩(N·m),270,350,350,270,350,350
基本参数,变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 211马力 L4,2.0T 237马力 L4,2.0T 237马力 L4,1.5T 211马力 L4,2.0T 237马力 L4,2.0T 237马力 L4
基本参数,长*宽*高(mm),4602*1881*1630,4602*1881*1630,4602*1881*1638,4602*1881*1630,4602*1881*1630,4602*1881*1638
基本参数,官方0-100km/h加速(s),8.9,7.7,7.7,8.9,7.7,7.7
基本参数,最高车速(km/h),205,210,210,205,210,210
基本参数,WLTC综合油耗(L/100km),7.25,7.44,7.56,7.25,7.44,7.56
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),1667,1720,1720,1667,1720,1720
基本参数,最大满载质量(kg),2118,2169,2169,2118,2169,2169
车身,长度(mm),4602,4602,4602,4602,4602,4602
车身,宽度(mm),1881,1881,1881,1881,1881,1881
车身,高度(mm),1630,1630,1638,1630,1630,1638
车身,轴距(mm),2779,2779,2779,2779,2779,2779
车身,前轮距(mm),1610,1610,1608,1610,1610,1608
车身,后轮距(mm),1613,1613,1613,1613,1613,1613
车身,最小离地间隙(mm),152,152,162,152,152,162
车身,接近角(°),17,17,17,17,17,17
车身,离去角(°),21,22,22,21,22,22
车身,最小转弯半径(m),5.65,5.65,5.65,5.65,5.65,5.65
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60,60,60
车身,后备厢容积(L),460-1368,460-1368,460-1368,460-1368,460-1368,460-1368
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,LAH,LXH,LXH,LAH,LXH,LXH
发动机,排量(mL),1498,1998,1998,1498,1998,1998
发动机,排量(L),1.5,2.0,2.0,1.5,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),211,237,237,211,237,237
发动机,最大功率(kW),155,174,174,155,174,174
发动机,最大功率转速(rpm),5500,5000,5000,5500,5000,5000
发动机,最大扭矩(N·m),270,350,350,270,350,350
发动机,最大扭矩转速(rpm),1750-4500,1500-4000,1500-4000,1750-4500,1500-4000,1500-4000
发动机,最大净功率(kW),150,169,169,150,169,169
发动机,发动机特有技术,-,Tripower可变气门管理技术,Tripower可变气门管理技术,-,Tripower可变气门管理技术,Tripower可变气门管理技术
发动机,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
发动机,燃油标号,92号,95号,95号,92号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
变速箱,挡位个数,9,9,9,9,9,9
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R18,● 235/55 R18,● 245/45 R20,● 235/55 R18,● 235/55 R18,● 245/45 R20
车轮制动,后轮胎规格,● 235/55 R18,● 235/55 R18,● 245/45 R20,● 235/55 R18,● 235/55 R18,● 245/45 R20
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,缺气保用轮胎,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地","● 运动
● 标准/舒适
● 雪地"
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 2个,● 3个,● 1个,● 2个,● 3个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,并线辅助,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,●,●,○,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,○,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 33英寸,● 33英寸,● 33英寸,● 33英寸,● 33英寸,● 33英寸
屏幕/系统,中控屏幕分辨率,● 9K,● 9K,● 9K,● 9K,● 9K,● 9K
屏幕/系统,中控屏幕像素密度,● 271PPI,● 271PPI,● 271PPI,● 271PPI,● 271PPI,● 271PPI
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗"
屏幕/系统,语音助手唤醒词,● 你好，凯迪,● 你好，凯迪,● 你好，凯迪,● 你好，凯迪,● 你好，凯迪,● 你好，凯迪
屏幕/系统,语音免唤醒词,●,●,●,●,●,●
屏幕/系统,语音连续识别,●,●,●,●,●,●
屏幕/系统,车载智能系统,● CUE,● CUE,● CUE,● CUE,● CUE,● CUE
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,车机系统内存(GB),● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),● 64,● 64,● 64,● 64,● 64,● 64
智能化配置,车联网,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车况查询/诊断","● 车门控制
● 车况查询/诊断","● 车门控制
● 车况查询/诊断","● 车门控制
● 车况查询/诊断","● 车门控制
● 车况查询/诊断","● 车门控制
● 车况查询/诊断"
智能化配置,主动降噪,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,-,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,"● 自动防眩目
● 流媒体",● 手动防眩目,● 自动防眩目,"● 自动防眩目
● 流媒体"
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,-
车内充电,行李厢12V电源接口,●,●,●,●,●,●
