セクション,項目,迈腾 2026款 3000万辆甄选款 280TSI DSG舒适型,迈腾 2026款 3000万辆甄选款 280TSI DSG豪华型,迈腾 2026款 3000万辆甄选款 380TSI DSG豪华型,迈腾 2025款 改款二 众享款 280TSI DSG豪华型,迈腾 2025款 众享款 280TSI DSG舒适型,迈腾 2025款 改款 众享款 280TSI DSG豪华型,迈腾 2025款 众享款 280TSI DSG豪华型,迈腾 2025款 改款二 众享款 330TSI DSG豪华型,迈腾 2025款 改款 众享款 330TSI DSG豪华型,迈腾 2025款 众享款 330TSI DSG豪华型,迈腾 2024款 300TSI DSG尊享版,迈腾 2024款 300TSI DSG尊享版显眼包,迈腾 2024款 380TSI DSG尊贵版,迈腾 2024款 380TSI DSG尊贵版大迈包,迈腾 2024款 380TSI DSG至尊版
,厂商指导价(元),17.49万 计算器,17.69万 计算器,20.69万 计算器,17.69万 计算器,17.49万 计算器,17.69万 计算器,17.69万 计算器,20.69万 计算器,20.69万 计算器,20.69万 计算器,17.99万 计算器,18.99万 计算器,20.99万 计算器,22.59万 计算器,24.69万 计算器
,经销商报价,13.78万起 询底价,13.98万起 询底价,16.98万起 询底价,13.98万起 询底价,13.78万起 询底价,13.98万起 询底价,13.98万起 询底价,16.98万起 询底价,16.98万起 询底价,16.98万起 询底价,15.99万起 询底价,16.99万起 询底价,18.99万起 询底价,20.59万起 询底价,22.69万起 询底价
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.05,2024.10,2025.02,2025.01,2025.05,2025.02,2024.10,2024.07,2024.07,2024.07,2024.07,2024.07
基本参数,最大功率(kW),110,110,162,110,110,110,110,137,137,137,118,118,162,162,162
基本参数,最大扭矩(N·m),250,250,350,250,250,250,250,320,320,320,250,250,350,350,350
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.4T 150马力 L4,1.4T 150马力 L4,2.0T 220马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
基本参数,长*宽*高(mm),4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4866*1832*1479,4990*1854*1487,4990*1854*1487,4990*1854*1487,4990*1854*1487,4990*1854*1487
基本参数,官方0-100km/h加速(s),9.4,9.4,7.5,9.4,9.4,9.4,9.4,8.9,8.9,8.9,9.1,9.1,7.3,7.4,7.4
基本参数,最高车速(km/h),210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
基本参数,WLTC综合油耗(L/100km),6.23,6.23,6.72,6.23,6.23,6.23,6.23,6.38,6.38,6.38,5.80,5.80,6.66,6.71,6.71
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1452,1452,1576,1452,1452,1452,1452,1559,1559,1559,1544,1583,1649,1684,1684
基本参数,最大满载质量(kg),1920,1920,2050,1920,1920,1920,1920,2030,2030,2030,2030,2030,2130,2130,2130
车身,长度(mm),4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4990,4990,4990,4990,4990
车身,宽度(mm),1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1854,1854,1854,1854,1854
车身,高度(mm),1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1487,1487,1487,1487,1487
车身,轴距(mm),2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
车身,前轮距(mm),1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586
车身,后轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1572,1572,1572,1572,1572
车身,接近角(°),16,16,16,16,16,16,16,16,16,16,13,13,13,13,13
车身,离去角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),66,66,66,66,66,66,66,66,66,66,69,69,69,69,69
车身,后备厢容积(L),533,533,533,533,533,533,533,533,533,533,520,520,520,520,508
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,EA211-DLE,EA211-DLE,EA888-DTJ,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA888-DTH,EA888-DTH,EA888-DTH,DSV,DSV,DTJ,DTJ,DTJ
发动机,排量(mL),1395,1395,1984,1395,1395,1395,1395,1984,1984,1984,1498,1498,1984,1984,1984
发动机,排量(L),1.4,1.4,2.0,1.4,1.4,1.4,1.4,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,150,220,150,150,150,150,186,186,186,160,160,220,220,220
发动机,最大功率(kW),110,110,162,110,110,110,110,137,137,137,118,118,162,162,162
