セクション,項目,伊兰特 2023款 1.5L CVT GLS领先版,伊兰特 2023款 1.5L CVT GLX精英版,伊兰特 2023款 1.5L CVT LUX尊贵版,伊兰特 2023款 1.5L CVT TOP旗舰版,伊兰特 2023款 240TGDi DCT N Line GLX精英版,伊兰特 2023款 240TGDi DCT N Line LUX尊贵版,伊兰特 2023款 240TGDi DCT N Line TOP旗舰版
,厂商指导价(元),9.98万 计算器,11.28万 计算器,12.38万 计算器,13.38万 计算器,12.98万 计算器,13.98万 计算器,14.98万 计算器
,经销商报价,6.28万起 询底价,7.48万起 询底价,8.58万起 询底价,9.58万起 询底价,9.18万起 询底价,10.18万起 询底价,11.18万起 询底价
基本参数,厂商,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2023.08,2023.08,2023.08,2023.08,2023.10,2023.10,2023.10
基本参数,最大功率(kW),84.5,84.5,84.5,84.5,103,103,103
基本参数,最大扭矩(N·m),143.9,143.9,143.9,143.9,211,211,211
基本参数,变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 115马力 L4,1.5L 115马力 L4,1.5L 115马力 L4,1.5L 115马力 L4,1.4T 140马力 L4,1.4T 140马力 L4,1.4T 140马力 L4
基本参数,长*宽*高(mm),4720*1810*1415,4720*1810*1415,4720*1810*1415,4720*1810*1415,4725*1810*1415,4725*1810*1415,4725*1810*1415
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,最高车速(km/h),190,190,190,190,208,208,208
基本参数,WLTC综合油耗(L/100km),5.36,5.55,5.55,5.55,5.66,6.10,6.10
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1208,1261,1261,1261,1282,1322,1322
基本参数,最大满载质量(kg),-,-,-,-,-,-,-
车身,长度(mm),4720,4720,4720,4720,4725,4725,4725
车身,宽度(mm),1810,1810,1810,1810,1810,1810,1810
车身,高度(mm),1415,1415,1415,1415,1415,1415,1415
车身,轴距(mm),2720,2720,2720,2720,2720,2720,2720
车身,前轮距(mm),-,-,-,-,-,-,-
车身,后轮距(mm),-,-,-,-,-,-,-
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),47,47,47,47,47,47,47
车身,后备厢容积(L),474,474,474,474,474,474,474
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,-,-,-,-,-,-,-
发动机,排量(mL),1497,1497,1497,1497,1353,1353,1353
发动机,排量(L),1.5,1.5,1.5,1.5,1.4,1.4,1.4
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
