セクション,項目,捷达VA3 2025款 改款 1.5L 手动全过版,捷达VA3 2025款 改款 1.5L 自动全过版,捷达VA3 2025款 改款 1.5L 手动进取版,捷达VA3 2025款 改款 1.5L 自动进取版,捷达VA3 2025款 改款 1.5L 手动悦享版,捷达VA3 2025款 改款 1.5L 自动悦享版,捷达VA3 2025款 改款 1.5L 自动荣耀版,捷达VA3 2025款 1.5L 手动全过版,捷达VA3 2025款 1.5L 自动全过版,捷达VA3 2025款 1.5L 手动进取版,捷达VA3 2025款 1.5L 自动进取版,捷达VA3 2025款 1.5L 手动悦享版,捷达VA3 2025款 1.5L 自动悦享版,捷达VA3 2025款 1.5L 自动荣耀版
,厂商指导价(元),6.78万 计算器,7.88万 计算器,6.78万 计算器,7.88万 计算器,7.48万 计算器,8.58万 计算器,9.48万 计算器,6.78万 计算器,7.88万 计算器,6.78万 计算器,7.88万 计算器,7.48万 计算器,8.58万 计算器,9.48万 计算器
,经销商报价,6.78万起,7.88万起,6.78万起,7.88万起,7.48万起,8.58万起,9.48万起,6.78万起,7.88万起,6.78万起,7.88万起,7.48万起,8.58万起,9.48万起
基本参数,厂商,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07
基本参数,最大功率(kW),82,82,82,82,82,82,82,82,82,82,82,82,82,82
基本参数,最大扭矩(N·m),145,145,145,145,145,145,145,145,145,145,145,145,145,145
基本参数,变速箱,5挡手动,6挡自动,5挡手动,6挡自动,5挡手动,6挡自动,6挡自动,5挡手动,6挡自动,5挡手动,6挡自动,5挡手动,6挡自动,6挡自动
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4
基本参数,长*宽*高(mm),4501*1704*1469,4501*1704*1469,4501*1704*1469,4501*1704*1469,4501*1704*1479,4501*1704*1479,4501*1704*1479,4501*1704*1469,4501*1704*1469,4501*1704*1469,4501*1704*1469,4501*1704*1479,4501*1704*1479,4501*1704*1479
基本参数,官方0-100km/h加速(s),12,12.5,12,12.5,12,12.5,12.5,12,12.5,12,12.5,12,12.5,12.5
基本参数,最高车速(km/h),185,185,185,185,185,185,185,185,185,185,185,185,185,185
基本参数,NEDC综合油耗(L/100km),-,-,-,-,-,-,-,5.7,5.6,5.7,5.6,5.7,5.6,5.6
基本参数,WLTC综合油耗(L/100km),6.05,6.11,6.05,6.11,6.05,6.11,6.11,6.05,6.11,6.05,6.11,6.05,6.11,6.11
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1125,1165,1125,1165,1125,1165,1165,1125,1165,1125,1165,1125,1165,1165
基本参数,最大满载质量(kg),1560,1600,1560,1600,1560,1600,1600,1560,1600,1560,1600,1560,1600,1600
车身,长度(mm),4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501
车身,宽度(mm),1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
车身,高度(mm),1469,1469,1469,1469,1479,1479,1479,1469,1469,1469,1469,1479,1479,1479
车身,轴距(mm),2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604
车身,前轮距(mm),1460,1460,1460,1460,1451,1451,1451,1460,1460,1460,1460,1451,1451,1451
车身,后轮距(mm),1500,1500,1500,1500,1491,1491,1491,1500,1500,1500,1500,1491,1491,1491
车身,接近角(°),17,17,17,17,17,17,17,17,17,17,17,17,17,17
车身,离去角(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),53,53,53,53,53,53,53,53,53,53,53,53,53,53
车身,后备厢容积(L),546,546,546,546,546,546,546,546,546,546,546,546,546,546
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF,EA211-DLF
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
