セクション,項目,捷达VS5 2026款 280TSI 手动先锋版,捷达VS5 2026款 280TSI 手动好运Plus版,捷达VS5 2026款 280TSI 自动先锋版,捷达VS5 2026款 280TSI 自动好运Plus版,捷达VS5 2026款 280TSI 手动悦享版,捷达VS5 2026款 280TSI 自动悦享版,捷达VS5 2026款 280TSI 自动悦享高光版,捷达VS5 2026款 280TSI 自动荣耀高光版,捷达VS5 2026款 280TSI 自动旗舰高光版,捷达VS5 2025款 280TSI 手动好运Plus版,捷达VS5 2025款 280TSI 自动好运Plus版,捷达VS5 2024款 280TSI 手动先锋版,捷达VS5 2024款 280TSI 自动先锋版,捷达VS5 2024款 280TSI 手动悦享版,捷达VS5 2024款 280TSI 自动悦享版,捷达VS5 2024款 280TSI 自动悦享高光版,捷达VS5 2024款 280TSI 自动荣耀高光版,捷达VS5 2024款 280TSI 自动旗舰高光版
,厂商指导价(元),8.79万 计算器,9.79万 计算器,9.89万 计算器,10.89万 计算器,9.59万 计算器,10.69万 计算器,10.89万 计算器,11.29万 计算器,12.19万 计算器,9.79万 计算器,10.89万 计算器,8.79万 计算器,9.89万 计算器,9.59万 计算器,10.69万 计算器,10.89万 计算器,11.29万 计算器,12.19万 计算器
,经销商报价,6.96万起,6.96万起,7.96万起,7.96万起,8.29万起,8.99万起,7.96万起,9.99万起,10.89万起,6.96万起,7.96万起,6.96万起,7.96万起,8.29万起,8.99万起,9.59万起,9.99万起,10.89万起
基本参数,厂商,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达,一汽-大众捷达
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.04,2025.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04
基本参数,最大功率(kW),110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
基本参数,最大扭矩(N·m),250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
基本参数,变速箱,5挡手动,5挡手动,6挡手自一体,6挡手自一体,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,6挡手自一体,5挡手动,6挡手自一体,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.4T 150马力 L4
基本参数,长*宽*高(mm),4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616,4418*1841*1616
基本参数,官方0-100km/h加速(s),9.5,9.5,10,10,9.5,10,10,10,10,9.5,10,9.5,10,9.5,10,10,10,10
基本参数,最高车速(km/h),175,175,170,170,175,170,170,170,170,175,170,175,170,175,170,170,170,170
基本参数,WLTC综合油耗(L/100km),6.53,6.53,7.08,7.08,6.53,7.08,7.08,7.08,7.08,6.53,7.08,6.53,7.08,6.53,7.08,7.08,7.08,7.08
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1310,1310,1355,1355,1310,1355,1355,1355,1355,1310,1355,1310,1355,1310,1355,1355,1355,1355
基本参数,最大满载质量(kg),1790,1790,1830,1830,1790,1830,1830,1830,1830,1790,1830,1790,1830,1790,1830,1830,1830,1830
车身,长度(mm),4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418
车身,宽度(mm),1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841
车身,高度(mm),1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616
车身,轴距(mm),2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630
车身,前轮距(mm),1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572
车身,后轮距(mm),1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544
车身,接近角(°),21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
车身,离去角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
车身,后备厢容积(L),482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE
发动机,排量(mL),1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395
发动机,排量(L),1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
发动机,最大功率(kW),110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
发动机,最大功率转速(rpm),5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000
发动机,最大扭矩(N·m),250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
