セクション,セクション_ja,項目,項目_ja,2026年モデル 280TSI マニュアル 先鋒版,2026年モデル 280TSI マニュアル ハッピーPlus版,2026年モデル 280TSI オートマ 先鋒版,2026年モデル 280TSI オートマ ハッピーPlus版,2026年モデル 280TSI マニュアル エンジョイ版,2026年モデル 280TSI オートマ エンジョイ版,2026年モデル 280TSI オートマ エンジョイ ハイライト版,2026年モデル 280TSI オートマ グローリー ハイライト版,2026年モデル 280TSI オートマ フラッグシップ ハイライト版,2025年モデル 280TSI マニュアル ハッピーPlus版,2025年モデル 280TSI オートマ ハッピーPlus版,2024年モデル 280TSI マニュアル 先鋒版,2024年モデル 280TSI オートマ 先鋒版,2024年モデル 280TSI マニュアル エンジョイ版,2024年モデル 280TSI オートマ エンジョイ版,2024年モデル 280TSI オートマ エンジョイ ハイライト版,2024年モデル 280TSI オートマ グローリー ハイライト版,2024年モデル 280TSI オートマ フラッグシップ ハイライト版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"8.79万元（日本円 約1,845,900円）","9.79万元（日本円 約2,055,900円）","9.89万元（日本円 約2,076,900円）","10.89万元（日本円 約2,286,900円）","9.59万元（日本円 約2,013,900円）","10.69万元（日本円 約2,244,900円）","10.89万元（日本円 約2,286,900円）","11.29万元（日本円 約2,370,900円）","12.19万元（日本円 約2,559,900円）","9.79万元（日本円 約2,055,900円）","10.89万元（日本円 約2,286,900円）","8.79万元（日本円 約1,845,900円）","9.89万元（日本円 約2,076,900円）","9.59万元（日本円 約2,013,900円）","10.69万元（日本円 約2,244,900円）","10.89万元（日本円 約2,286,900円）","11.29万元（日本円 約2,370,900円）","12.19万元（日本円 約2,559,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"6.96万元（日本円 約1,461,600円）","6.96万元（日本円 約1,461,600円）","7.96万元（日本円 約1,671,600円）","7.96万元（日本円 約1,671,600円）","8.29万元（日本円 約1,740,900円）","8.99万元（日本円 約1,887,900円）","7.96万元（日本円 約1,671,600円）","9.99万元（日本円 約2,097,900円）","10.89万元（日本円 約2,286,900円）","6.96万元（日本円 約1,461,600円）","7.96万元（日本円 約1,671,600円）","6.96万元（日本円 約1,461,600円）","7.96万元（日本円 約1,671,600円）","8.29万元（日本円 約1,740,900円）","8.99万元（日本円 約1,887,900円）","9.59万元（日本円 約2,013,900円）","9.99万元（日本円 約2,097,900円）","10.89万元（日本円 約2,286,900円）"
基本参数,基本仕様,厂商,メーカー,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ,一汽-フォルクスワーゲン ジェッタ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.04,2025.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04
基本参数,基本仕様,最大功率(kW),最大出力(kW),110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
基本参数,基本仕様,变速箱,トランスミッション,5速マニュアル,5速マニュアル,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）
