セクション,項目,长安CS75PLUS 2026款 智慧冠军版 1.5T 新蓝鲸 智领型,长安CS75PLUS 2026款 智慧冠军版 1.5T 新蓝鲸 智航型,长安CS75PLUS 2025款 第三代 冠军版 1.5T 劲领型,长安CS75PLUS 2025款 第三代 冠军版 1.5T 劲航型,长安CS75PLUS 2025款 第四代 1.5T 新蓝鲸 智慧鲸悦版,长安CS75PLUS 2025款 第四代 1.5T 新蓝鲸 智慧卓越型,长安CS75PLUS 2025款 第四代 1.5T 新蓝鲸 智慧尊享型,长安CS75PLUS 2025款 第四代 1.5T 新蓝鲸 智慧旗舰型,长安CS75PLUS 2025款 第四代 UItra 2.0T 新蓝鲸 擎风型,长安CS75PLUS 2025款 第四代 UItra 2.0T 新蓝鲸 擎云型
,厂商指导价(元),10.89万 计算器,11.69万 计算器,12.19万 计算器,12.99万 计算器,11.39万 计算器,11.59万 计算器,12.19万 计算器,12.99万 计算器,13.19万 计算器,13.99万 计算器
,经销商报价,9.19万起,9.99万起,12.19万起,12.99万起,10.49万起,10.99万起,11.69万起,12.49万起,12.19万起,12.79万起
基本参数,厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.05,2025.05,2025.03,2025.07,2024.09,2024.09,2025.04,2025.04
基本参数,最大功率(kW),141,141,138,138,141,141,141,141,171,171
基本参数,最大扭矩(N·m),310,310,300,300,310,310,310,310,390,390
基本参数,变速箱,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,2.0T 233马力 L4,2.0T 233马力 L4
基本参数,长*宽*高(mm),4710*1865*1710,4710*1865*1710,4710*1865*1710,4710*1865*1710,4770*1910*1705,4770*1910*1705,4770*1910*1705,4770*1910*1705,4770*1910*1705,4770*1910*1705
基本参数,官方0-100km/h加速(s),7.9,7.9,-,-,7.9,7.9,7.9,7.9,7.3,7.3
基本参数,最高车速(km/h),190,190,190,190,190,190,190,190,215,215
基本参数,WLTC综合油耗(L/100km),6.96,6.96,6.96,6.96,6.89,6.89,6.89,6.89,7.70,7.70
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1575,1575,1575,1575,1545,1545,1580,1580,1655,1655
基本参数,最大满载质量(kg),1950,1950,1950,1950,1980,1980,1980,1980,2055,2055
车身,长度(mm),4710,4710,4710,4710,4770,4770,4770,4770,4770,4770
车身,宽度(mm),1865,1865,1865,1865,1910,1910,1910,1910,1910,1910
车身,高度(mm),1710,1710,1710,1710,1705,1705,1705,1705,1705,1705
车身,轴距(mm),2710,2710,2710,2710,2800,2800,2800,2800,2800,2800
车身,前轮距(mm),1585,1585,1585,1585,1620,1620,1620,1620,1620,1620
车身,后轮距(mm),1585,1585,1585,1585,1628,1628,1628,1628,1628,1628
车身,满载最小离地间隙(mm),171,171,170,170,170,170,170,170,170,170
车身,空载最小离地间隙(mm),190,190,190,190,190,190,190,190,190,190
车身,接近角(°),19,19,19,19,20,20,20,20,20,20
车身,离去角(°),24,24,24,24,25,25,25,25,25,25
车身,纵向通过角(°),-,-,18,18,-,-,-,-,-,-
车身,最小转弯半径(m),-,-,-,-,5.5,5.5,5.5,5.5,5.5,5.5
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),58,58,58,58,58,58,58,58,58,58
车身,后备厢容积(L),620-1450,620-1450,620-1450,620-1450,725-1620,725-1620,725-1620,725-1620,725-1620,725-1620
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,JL473ZQD,JL473ZQD,JL473ZQ7,JL473ZQ7,JL473ZQD,JL473ZQD,JL473ZQD,JL473ZQD,JL486ZQ5,JL486ZQ5
发动机,排量(mL),1494,1494,1494,1494,1494,1494,1494,1494,1998,1998
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),192,192,188,188,192,192,192,192,233,233
发动机,最大功率(kW),141,141,138,138,141,141,141,141,171,171
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),310,310,300,300,310,310,310,310,390,390
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1900-3300,1900-3300
发动机,最大净功率(kW),136,136,133,133,136,136,136,136,166,166
发动机,发动机特有技术,500Bar超高压直喷,500Bar超高压直喷,-,-,-,-,-,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动
变速箱,挡位个数,8,8,8,8,8,8,8,8,8,8
变速箱,变速箱类型,自动变速箱(AT),自动变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
