セクション,セクション_ja,項目,項目_ja,2026年モデル 智慧チャンピオン版 1.5T 新ブルーホエール 智リード型,2026年モデル 智慧チャンピオン版 1.5T 新ブルーホエール 智航型,2025年モデル 第3世代 チャンピオン版 1.5T 劲リード型,2025年モデル 第3世代 チャンピオン版 1.5T 劲航型,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧ホエール悦版,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧卓越型,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧尊享型,2025年モデル 第4世代 1.5T 新ブルーホエール 智慧フラッグシップ型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎風型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎雲型,2024年モデル 第3世代 チャンピオン版 2.0T 智駕劲擎型
,nan,厂商指导价(元),メーカー希望小売価格(元),"10.89万元（日本円 約2,286,900円）","11.69万元（日本円 約2,454,900円）","12.19万元（日本円 約2,559,900円）","12.99万元（日本円 約2,727,900円）","11.39万元（日本円 約2,391,900円）","11.59万元（日本円 約2,433,900円）","12.19万元（日本円 約2,559,900円）","12.99万元（日本円 約2,727,900円）","13.19万元（日本円 約2,769,900円）","13.99万元（日本円 約2,937,900円）","13.99万元（日本円 約2,937,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"9.19万元（日本円 約1,929,900円）","9.99万元（日本円 約2,097,900円）","12.19万元（日本円 約2,559,900円）","12.99万元（日本円 約2,727,900円）","10.49万元（日本円 約2,202,900円）","10.99万元（日本円 約2,307,900円）","11.69万元（日本円 約2,454,900円）","12.49万元（日本円 約2,622,900円）","12.19万元（日本円 約2,559,900円）","12.79万元（日本円 約2,685,900円）","11.49万元（日本円 約2,412,900円）"
基本参数,基本仕様,厂商,メーカー,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.05,2025.05,2025.03,2025.07,2024.09,2024.09,2025.04,2025.04,2024.03
基本参数,基本仕様,最大功率(kW),最大出力(kW),141,141,138,138,141,141,141,141,171,171,171
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,300,300,310,310,310,310,390,390,390
基本参数,基本仕様,变速箱,トランスミッション,8速AT,8速AT,8速マニュアルモード付AT,8速マニュアルモード付AT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,8速マニュアルモード付AT
