セクション,項目,零跑C11 2026款 增程 300激光雷达版,零跑C11 2026款 增程 300激光雷达智尊版,零跑C11 2026款 纯电 640智享版,零跑C11 2026款 纯电 640激光雷达版,零跑C11 2026款 纯电 640激光雷达智尊版,零跑C11 2024款 增程 200智享版,零跑C11 2024款 增程 300智享版,零跑C11 2024款 增程 300尊享版,零跑C11 2024款 增程 300激光雷达版,零跑C11 2024款 纯电 515智享版,零跑C11 2024款 纯电 580尊享版,零跑C11 2024款 纯电 580激光雷达版,零跑C11 2024款 纯电 515智行版,零跑C11 2024款 纯电 580四驱激光雷达版
,厂商指导价(元),14.98万 计算器,15.98万 计算器,14.98万 计算器,15.58万 计算器,16.58万 计算器,14.88万 计算器,15.58万 计算器,16.58万 计算器,18.58万 计算器,15.18万 计算器,15.88万 计算器,17.88万 计算器,20.98万 计算器,20.58万 计算器
,经销商报价,14.78万起,15.78万起,14.78万起,15.38万起,16.38万起,12.88万起,13.58万起,14.58万起,16.58万起,13.18万起,13.88万起,15.88万起,18.98万起,18.58万起
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-,-
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.07,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.05,2024.03
基本参数,WLTC纯电续航里程(km),210,210,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),300,300,640,640,640,200,300,300,300,515,580,580,515,580
基本参数,电池快充时间(小时),0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.67,0.67,0.67,0.67,0.67
基本参数,电池慢充时间(小时),4,4,7.5,7.5,7.5,2.6,3.8,3.8,3.8,6,7,7,6,7.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),200,200,220,220,220,200,200,200,200,200,200,200,200,400
基本参数,最大扭矩(N·m),320,320,360,360,360,360,360,360,360,360,360,360,360,720
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 95马力,增程器 95马力,纯电动,纯电动,纯电动,1.5L 95马力 L4,1.5L 95马力 L4,1.5L 95马力 L4,1.5L 95马力 L4,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),272,272,299,299,299,272,272,272,272,272,272,272,272,544
基本参数,长*宽*高(mm),4780*1905*1658,4780*1905*1658,4780*1905*1658,4780*1905*1658,4780*1905*1658,4780*1905*1675,4780*1905*1675,4780*1905*1675,4780*1905*1675,4750*1905*1675,4750*1905*1675,4750*1905*1675,4750*1905*1675,4750*1905*1675
基本参数,官方0-100km/h加速(s),7.6,7.6,6.1,6.1,6.1,7.8,8.3,8.3,8.3,7.9,7.9,7.9,7.9,3.94
基本参数,最高车速(km/h),170,170,190,190,190,170,170,170,170,170,170,170,170,200
基本参数,WLTC综合油耗(L/100km),0.41,0.41,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km),-,-,-,-,-,5.2,5.2,5.2,5.2,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.98,5.98,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,5.11,5.11,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,1.67,1.67,1.67,2.09,2.21,2.21,2.21,1.81,1.76,1.76,1.81,1.99
基本参数,油电综合燃料消耗量(L/100km),2.63,2.63,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 一年或10万公里,● 四年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-
基本参数,整备质量(kg),2090,2090,2110,2110,2110,2030,2040,2040,2040,2035,-,-,2035,2190
基本参数,最大满载质量(kg),2465,2465,2485,2485,2485,2405,2415,2415,2415,2410,-,-,2410,2565
车身,长度(mm),4780,4780,4780,4780,4780,4780,4780,4780,4780,4750,4750,4750,4750,4750
车身,宽度(mm),1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905
车身,高度(mm),1658,1658,1658,1658,1658,1675,1675,1675,1675,1675,1675,1675,1675,1675
车身,轴距(mm),2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
车身,前轮距(mm),1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
车身,后轮距(mm),1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595
车身,空载最小离地间隙(mm),170,170,175,175,175,176,176,176,176,180,180,180,180,180
车身,接近角(°),20,20,20,20,20,20,20,20,20,21,21,21,21,21
车身,离去角(°),23,23,23,23,23,24,24,24,24,24,24,24,24,24
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
