セクション,項目,揽境 2026款 450TSI 四驱至尊 7座,揽境 2026款 450TSI 四驱至尊 6座,揽境 2026款 450TSI 四驱旗舰 7座,揽境 2026款 450TSI 四驱旗舰 6座,揽境 2025款 380TSI 四驱豪华佳境Pro 众享款 6座,揽境 2025款 380TSI 四驱豪华佳境Pro 众享款 7座
,厂商指导价(元),26.99万 计算器,26.99万 计算器,29.99万 计算器,29.99万 计算器,29.99万 计算器,29.99万 计算器
,经销商报价,26.99万起 询底价,26.99万起 询底价,29.99万起 询底价,29.99万起 询底价,24.69万起 询底价,24.69万起 询底价
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.01,2025.01
基本参数,最大功率(kW),200,200,200,200,162,162
基本参数,最大扭矩(N·m),400,400,400,400,350,350
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV
基本参数,发动机,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
基本参数,长*宽*高(mm),5143*2002*1792,5143*2002*1792,5168*2002*1792,5168*2002*1792,5152*2002*1795,5152*2002*1795
基本参数,官方0-100km/h加速(s),7.5,7.5,7.5,7.5,9.2,9.2
基本参数,最高车速(km/h),200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),8.33,8.33,8.33,8.33,8.65,8.65
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-
基本参数,整备质量(kg),2177,2175,2177,2175,2160,2160
基本参数,最大满载质量(kg),2770,2740,2770,2740,2670,2730
车身,长度(mm),5143,5143,5168,5168,5152,5152
车身,宽度(mm),2002,2002,2002,2002,2002,2002
车身,高度(mm),1792,1792,1792,1792,1795,1795
车身,轴距(mm),2980,2980,2980,2980,2980,2980
车身,前轮距(mm),1704,1704,1704,1704,1704,1704
车身,后轮距(mm),1719,1719,1719,1719,1719,1719
车身,接近角(°),17,17,17,17,18,18
车身,离去角(°),17,17,17,17,19,19
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 6,● 7,● 6,● 6,● 7
车身,油箱容积(L),74,74,74,74,74,74
车身,后备厢容积(L),350-877,350-939,350-877,350-939,357-942,357-880
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,DYN,DYN,DYN,DYN,EA888-DTJ,EA888-DTJ
发动机,排量(mL),1984,1984,1984,1984,1984,1984
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),272,272,272,272,220,220
发动机,最大功率(kW),200,200,200,200,162,162
发动机,最大功率转速(rpm),5000-6500,5000-6500,5000-6500,5000-6500,4500-6700,4500-6700
发动机,最大扭矩(N·m),400,400,400,400,350,350
发动机,最大扭矩转速(rpm),1700-4500,1700-4500,1700-4500,1700-4500,1500-4300,1500-4300
发动机,最大净功率(kW),200,200,200,200,162,162
发动机,发动机特有技术,可变截面涡轮增压器,可变截面涡轮增压器,可变截面涡轮增压器,可变截面涡轮增压器,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21
车轮制动,后轮胎规格,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21,● 265/45 R21
车轮制动,备胎规格,○ 非全尺寸 (500元),○ 非全尺寸 (500元),○ 非全尺寸 (500元),○ 非全尺寸 (500元),● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,-,-
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,-,-
主动安全,道路救援呼叫,●,●,●,●,-,-
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,单目 双目,单目 双目,● 单目 双目,● 单目 双目,-,-
驾驶硬件,摄像头数量,5个 7个,5个 7个,● 7个,● 7个,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,IQ. Drive IQ. Pilot,IQ. Drive IQ. Pilot,● IQ. Pilot,● IQ. Pilot,● Travel Assist,● Travel Assist
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 腾讯,● 腾讯,● 腾讯,● 腾讯,-,-
驾驶功能,AR实景导航,●,●,●,●,-,-
驾驶功能,并线辅助,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,-,-
驾驶功能,辅助变道,○,○,●,●,-,-
驾驶功能,辅助匝道自动驶出(入),○,○,○,○,-,-
驾驶功能,方向盘离手检测,●,●,●,●,-,-
驾驶功能,辅助驾驶路段,○ 高速路段 (10000元),○ 高速路段 (10000元),○ 高速路段 (6500元),○ 高速路段 (6500元),-,-
外观/防盗,外观套件,-,-,● 运动风格,● 运动风格,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车
外观/防盗,远程启动功能,●,●,●,●,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,○ 矩阵式 (8000元),○ 矩阵式 (8000元),● 矩阵式,● 矩阵式,○ 矩阵式,○ 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,○,○,●,●,○,○
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,-,-
车外灯光,转向头灯,○,○,●,●,○,○
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
车外灯光,场景灯语,●,●,●,●,-,-
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
天窗/玻璃,可加热喷水嘴,-,-,-,-,○,○
