セクション,セクション_ja,項目,項目_ja,2024年モデル 1.5L 先鋒版,2024年モデル 1.2T 先鋒版,2024年モデル 1.2T 精鋭版,2024年モデル 1.8L インテリジェントハイブリッド 先鋒版,2024年モデル 1.8L インテリジェントハイブリッド 精鋭版,2024年モデル 1.8L インテリジェントハイブリッド 旗艦版,2026年モデル ベーシックタイプ
,nan,厂商指导价(元),メーカー希望小売価格(元),"11.68万元（日本円 約2,452,800円）","12.28万元（日本円 約2,578,800円）","12.88万元（日本円 約2,704,800円）","13.18万元（日本円 約2,767,800円）","13.78万元（日本円 約2,893,800円）","15.58万元（日本円 約3,271,800円）",预售 暂无
,nan,经销商报价,ディーラー販売価格（元）,"7.58万元（日本円 約1,591,800円）","8.18万元（日本円 約1,717,800円）","8.78万元（日本円 約1,843,800円）","9.28万元（日本円 約1,948,800円）","9.88万元（日本円 約2,074,800円）","11.68万元（日本円 約2,452,800円）",暂无
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),89,85,85,101,101,101,126
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),148,185,185,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,-
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5L 121馬力 L3,1.2T 116馬力 L4,1.2T 116馬力 L4,1.8L 98馬力 L4,1.8L 98馬力 L4,1.8L 98馬力 L4,2.0L 171馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,-,-,-,95,95,95,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4635×1780×1435mm,4635×1780×1455mm,4635×1780×1455mm,4635×1780×1435mm,4635×1780×1435mm,4635×1780×1435mm,4710×1780×1435mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,160,160,160,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.41,5.88,5.88,4.06,4.07,4.28,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1310,1335,1340,1385,1405,1415,1390
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1740,1770,1770,1845,1845,1845,1820
车身,車体,长度(mm),全長(mm),4635,4635,4635,4635,4635,4635,4710
车身,車体,宽度(mm),全幅(mm),1780,1780,1780,1780,1780,1780,1780
车身,車体,高度(mm),全高(mm),1435,1455,1455,1435,1435,1435,1435
车身,車体,轴距(mm),ホイールベース(mm),2700,2700,2700,2700,2700,2700,2750
车身,車体,前轮距(mm),前トレッド(mm),1531,1527,1527,1531,1531,1531,1531
车身,車体,后轮距(mm),後トレッド(mm),1519,1526,1526,1537,1534,1534,1535
车身,車体,接近角(°),アプローチアングル(°),12,12,12,12,12,12,12
车身,車体,离去角(°),デパーチャーアングル(°),17,16,16,17,17,17,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.2,5.2,5.2,5.2,5.2,5.2,-
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),47,50,50,43,43,43,-
车身,車体,后备厢容积(L),トランク容量(L),470,470,470,470,470,470,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,M15B,9NR/8NR,9NR/8NR,8ZR-FXE,8ZR-FXE,8ZR-FXE,M20E
发动机,エンジン,排量(mL),排気量(mL),1490,1197,1197,1798,1798,1798,1987
发动机,エンジン,排量(L),排気量(L),1.5,1.2,1.2,1.8,1.8,1.8,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),3,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,12.9,10,10,13,13,13,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,缸径(mm),ボア(mm),80.5,71.5,71.5,80.5,80.5,80.5,-
发动机,エンジン,行程(mm),ストローク(mm),97.6,74.5,74.5,88.3,88.3,88.3,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),121,116,116,98,98,98,171
发动机,エンジン,最大功率(kW),最大出力(kW),89,85,85,72,72,72,126
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6500-6600,5200-5600,5200-5600,5200,5200,5200,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),148,185,185,142,142,142,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4600-5000,1500-4000,1500-4000,3600,3600,3600,-
发动机,エンジン,最大净功率(kW),最大出力(kW),89,85,85,72,72,72,126
发动机,エンジン,发动机特有技术,エンジン独自技術,-,VVT-iW,VVT-iW,VVT-i,VVT-i,VVT-i,-
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,-
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-
发动机,エンジン,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6
电动机,モーター,电机类型,モーター種類,-,-,-,永久磁石同期,永久磁石同期,永久磁石同期,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,70,70,70,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,95,95,95,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,185,185,185,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,70,70,70,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,185,185,185,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,-,-,101,101,101,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),-,-,-,137,137,137,-
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,単一モーター,単一モーター,単一モーター,-
电动机,モーター,电机布局,モーター配置,-,-,-,前置,前置,前置,-
电动机,モーター,三电系统质保,三電システム保証,-,-,-,● 8年または20万km,● 8年または20万km,● 8年または20万km,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,● ニッケルコバルトマンガン酸リチウム電池,● ニッケルコバルトマンガン酸リチウム電池,● ニッケルコバルトマンガン酸リチウム電池,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,● BYD,● BYD,● BYD,-
变速箱,トランスミッション,简称,略称,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,-
变速箱,トランスミッション,挡位个数,段数,10,10,10,無段変速,無段変速,無段変速,-
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,-
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,-
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,-
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,-
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,-
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,-
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,-
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 225/45 R17,● 225/45 R17
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 225/45 R17,● 225/45 R17
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,-
