セクション,項目,星瑞 2026款 东方曜 1.5TD 惊鸿版,星瑞 2026款 东方曜 1.5TD 扶摇版,星瑞 2026款 东方曜 1.5TD 昆仑版,星瑞 2026款 东方曜 2.0TD 霄汉版,星瑞 2026款 东方曜 2.0TD 揽星版,星瑞 2026款 东方曜 2.0TD 望月版,星瑞 2025款 东方曜 2.0TD 今朝版,星瑞 2025款 东方曜 2.0TD 揽星版,星瑞 2025款 东方曜 2.0TD 望月版,星瑞 2025款 东方曜 1.5TD 惊鸿版+,星瑞 2025款 东方曜 1.5TD 扶摇版,星瑞 2025款 东方曜 1.5TD 昆仑版,星瑞 2025款 东方曜 1.5TD 惊鸿版,星瑞 2024款 油混 1.5TD 星云版,星瑞 2024款 油混 1.5TD 星河版,星瑞 2024款 油混 1.5TD 天宫版
,厂商指导价(元),9.87万 计算器,10.47万 计算器,10.97万 计算器,11.87万 计算器,12.97万 计算器,13.87万 计算器,12.37万 计算器,12.97万 计算器,13.87万 计算器,9.97万 计算器,10.87万 计算器,11.47万 计算器,9.97万 计算器,12.67万 计算器,13.67万 计算器,14.67万 计算器
,经销商报价,9.37万起 询底价,9.97万起 询底价,10.47万起 询底价,11.37万起 询底价,12.47万起 询底价,13.37万起 询底价,11.37万起 询底价,11.97万起 询底价,12.87万起 询底价,8.97万起 询底价,9.87万起 询底价,10.47万起 询底价,8.97万起 询底价,11.67万起 询底价,12.67万起 询底价,13.67万起 询底价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.03,2024.10,2024.10,2025.03,2024.10,2024.10,2024.10,2023.12,2023.12,2023.12
基本参数,最大功率(kW),133,133,133,200,200,200,175,175,175,133,133,133,133,-,-,-
基本参数,最大扭矩(N·m),290,290,290,400,400,400,350,350,350,290,290,290,290,-,-,-
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,3挡DHT,3挡DHT,3挡DHT
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 238马力 L4,2.0T 238马力 L4,2.0T 238马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4
基本参数,电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,136,136,136
基本参数,长*宽*高(mm),4825*1869*1469,4825*1869*1469,4825*1869*1469,4825*1869*1469,4825*1869*1469,4825*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469,4825*1880*1469,4825*1880*1469,4825*1880*1469
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,6.6,6.6,6.6,-,-,-,-,7.5,7.5,7.5
基本参数,最高车速(km/h),195,195,195,215,215,215,215,215,215,195,195,195,195,200,200,200
基本参数,WLTC综合油耗(L/100km),6.2,6.2,6.2,7.15,7.15,7.15,7.15,7.15,7.15,6.2,6.2,6.2,6.2,4.22,4.22,4.22
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
