セクション,セクション_ja,項目,項目_ja,2026年モデル 東方曜 1.5TD 驚鴻版,2026年モデル 東方曜 1.5TD 扶搖版,2026年モデル 東方曜 1.5TD 崑崙版,2026年モデル 東方曜 2.0TD 霄漢版,2026年モデル 東方曜 2.0TD 攬星版,2026年モデル 東方曜 2.0TD 望月版,2025年モデル 東方曜 2.0TD 今朝版,2025年モデル 東方曜 2.0TD 攬星版,2025年モデル 東方曜 2.0TD 望月版,2025年モデル 東方曜 1.5TD 驚鴻版+,2025年モデル 東方曜 1.5TD 扶搖版,2025年モデル 東方曜 1.5TD 崑崙版,2025年モデル 東方曜 1.5TD 驚鴻版,2024年モデル ハイブリッド 1.5TD 星雲版,2024年モデル ハイブリッド 1.5TD 星河版,2024年モデル ハイブリッド 1.5TD 天宮版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"9.87万元（日本円 約2,072,700円）","10.47万元（日本円 約2,198,700円）","10.97万元（日本円 約2,303,700円）","11.87万元（日本円 約2,492,700円）","12.97万元（日本円 約2,723,700円）","13.87万元（日本円 約2,912,700円）","12.37万元（日本円 約2,597,700円）","12.97万元（日本円 約2,723,700円）","13.87万元（日本円 約2,912,700円）","9.97万元（日本円 約2,093,700円）","10.87万元（日本円 約2,282,700円）","11.47万元（日本円 約2,408,700円）","9.97万元（日本円 約2,093,700円）","12.67万元（日本円 約2,660,700円）","13.67万元（日本円 約2,870,700円）","14.67万元（日本円 約3,080,700円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"9.37万元（日本円 約1,967,700円）","9.97万元（日本円 約2,093,700円）","10.47万元（日本円 約2,198,700円）","11.37万元（日本円 約2,387,700円）","12.47万元（日本円 約2,618,700円）","13.37万元（日本円 約2,807,700円）","11.37万元（日本円 約2,387,700円）","11.97万元（日本円 約2,513,700円）","12.87万元（日本円 約2,702,700円）","8.97万元（日本円 約1,883,700円）","9.87万元（日本円 約2,072,700円）","10.47万元（日本円 約2,198,700円）","8.97万元（日本円 約1,883,700円）","11.67万元（日本円 約2,450,700円）","12.67万元（日本円 約2,660,700円）","13.67万元（日本円 約2,870,700円）"
基本参数,基本仕様,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.03,2024.10,2024.10,2025.03,2024.10,2024.10,2024.10,2023.12,2023.12,2023.12
基本参数,基本仕様,最大功率(kW),最大出力(kW),133,133,133,200,200,200,175,175,175,133,133,133,133,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,400,400,400,350,350,350,290,290,290,290,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,3速DHT（ハイブリッド専用トランスミッション）,3速DHT（ハイブリッド専用トランスミッション）,3速DHT（ハイブリッド専用トランスミッション）
