セクション,項目,帕萨特 2026款 出众款 280TSI 商务版,帕萨特 2026款 Pro 300TSI 龙耀版,帕萨特 2026款 Pro 300TSI 星空龙耀版,帕萨特 2026款 出众款 330TSI 精英版,帕萨特 2026款 出众款 330TSI 星空精英版,帕萨特 2026款 出众款 380TSI 龙腾版,帕萨特 2026款 出众款 380TSI 星空龙腾版,帕萨特 2026款 出众款 380TSI 龙耀版,帕萨特 2026款 出众款 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙耀版,帕萨特 2026款 Pro 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙运版,帕萨特 2026款 Pro 380TSI 星空龙运版,帕萨特 2026款 Pro 380TSI 龙尊版,帕萨特 2026款 Pro 380TSI 星空龙尊版,帕萨特 2026款 Pro 380TSI 行政版,帕萨特 2025款 出众款 280TSI 商务版,帕萨特 2025款 Pro 300TSI 龙耀版,帕萨特 2025款 Pro 300TSI 星空龙耀版,帕萨特 2025款 出众款 330TSI 精英版,帕萨特 2025款 出众款 330TSI 星空精英版,帕萨特 2025款 出众款 380TSI 龙腾版,帕萨特 2025款 出众款 380TSI 星空龙腾版,帕萨特 2025款 出众款 380TSI 龙耀版,帕萨特 2025款 出众款 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙耀版,帕萨特 2025款 Pro 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙运版,帕萨特 2025款 Pro 380TSI 星空龙运版,帕萨特 2025款 Pro 380TSI 龙尊版,帕萨特 2025款 Pro 380TSI 星空龙尊版
,厂商指导价(元),16.45万 计算器,17.99万 计算器,17.99万 计算器,18.85万 计算器,18.85万 计算器,17.69万 计算器,17.69万 计算器,19.29万 计算器,19.29万 计算器,20.59万 计算器,20.59万 计算器,22.59万 计算器,22.59万 计算器,23.99万 计算器,23.99万 计算器,30.98万 计算器,16.45万 计算器,17.99万 计算器,17.99万 计算器,18.85万 计算器,18.85万 计算器,17.69万 计算器,17.69万 计算器,19.29万 计算器,19.29万 计算器,19.99万 计算器,19.99万 计算器,21.99万 计算器,21.99万 计算器,23.99万 计算器,23.99万 计算器
,经销商报价,13.85万起,16.99万起,16.99万起,16.25万起,16.25万起,15.09万起,15.09万起,16.69万起,16.69万起,18.99万起,18.99万起,20.99万起,20.99万起,22.39万起,22.39万起,28.38万起,13.85万起,15.69万起,15.69万起,16.25万起,16.25万起,15.09万起,15.09万起,16.69万起,16.69万起,17.19万起,17.19万起,19.19万起,19.19万起,21.19万起,21.19万起
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.09,2025.04,2025.04,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09
基本参数,最大功率(kW),110,118,118,137,137,162,162,162,162,162,162,162,162,162,162,162,110,118,118,137,137,162,162,162,162,162,162,162,162,162,162
基本参数,最大扭矩(N·m),250,250,250,320,320,350,350,350,350,350,350,350,350,350,350,350,250,250,250,320,320,350,350,350,350,350,350,350,350,350,350
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
