セクション,セクション_ja,項目,項目_ja,2026年モデル エクセレント 280TSI ビジネス版,2026年モデル Pro 300TSI ドラゴン耀版,2026年モデル Pro 300TSI 星空ドラゴン耀版,2026年モデル エクセレント 330TSI エリート版,2026年モデル エクセレント 330TSI 星空エリート版,2026年モデル エクセレント 380TSI ドラゴン騰版,2026年モデル エクセレント 380TSI 星空ドラゴン騰版,2026年モデル エクセレント 380TSI ドラゴン耀版,2026年モデル エクセレント 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン耀版,2026年モデル Pro 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン運版,2026年モデル Pro 380TSI 星空ドラゴン運版,2026年モデル Pro 380TSI ドラゴン尊版,2026年モデル Pro 380TSI 星空ドラゴン尊版,2026年モデル Pro 380TSI 行政版,2025年モデル エクセレント 280TSI ビジネス版,2025年モデル Pro 300TSI ドラゴン耀版,2025年モデル Pro 300TSI 星空ドラゴン耀版,2025年モデル エクセレント 330TSI エリート版,2025年モデル エクセレント 330TSI 星空エリート版,2025年モデル エクセレント 380TSI ドラゴン騰版,2025年モデル エクセレント 380TSI 星空ドラゴン騰版,2025年モデル エクセレント 380TSI ドラゴン耀版,2025年モデル エクセレント 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン耀版,2025年モデル Pro 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン運版,2025年モデル Pro 380TSI 星空ドラゴン運版,2025年モデル Pro 380TSI ドラゴン尊版,2025年モデル Pro 380TSI 星空ドラゴン尊版
,nan,厂商指导价(元),メーカー希望小売価格(元),"16.45万元（日本円 約3,454,500円）","17.99万元（日本円 約3,777,900円）","17.99万元（日本円 約3,777,900円）","18.85万元（日本円 約3,958,500円）","18.85万元（日本円 約3,958,500円）","17.69万元（日本円 約3,714,900円）","17.69万元（日本円 約3,714,900円）","19.29万元（日本円 約4,050,900円）","19.29万元（日本円 約4,050,900円）","20.59万元（日本円 約4,323,900円）","20.59万元（日本円 約4,323,900円）","22.59万元（日本円 約4,743,900円）","22.59万元（日本円 約4,743,900円）","23.99万元（日本円 約5,037,900円）","23.99万元（日本円 約5,037,900円）","30.98万元（日本円 約6,505,800円）","16.45万元（日本円 約3,454,500円）","17.99万元（日本円 約3,777,900円）","17.99万元（日本円 約3,777,900円）","18.85万元（日本円 約3,958,500円）","18.85万元（日本円 約3,958,500円）","17.69万元（日本円 約3,714,900円）","17.69万元（日本円 約3,714,900円）","19.29万元（日本円 約4,050,900円）","19.29万元（日本円 約4,050,900円）","19.99万元（日本円 約4,197,900円）","19.99万元（日本円 約4,197,900円）","21.99万元（日本円 約4,617,900円）","21.99万元（日本円 約4,617,900円）","23.99万元（日本円 約5,037,900円）","23.99万元（日本円 約5,037,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"13.85万元（日本円 約2,908,500円）","16.99万元（日本円 約3,567,900円）","16.99万元（日本円 約3,567,900円）","16.25万元（日本円 約3,412,500円）","16.25万元（日本円 約3,412,500円）","15.09万元（日本円 約3,168,900円）","15.09万元（日本円 約3,168,900円）","16.69万元（日本円 約3,504,900円）","16.69万元（日本円 約3,504,900円）","18.99万元（日本円 約3,987,900円）","18.99万元（日本円 約3,987,900円）","20.99万元（日本円 約4,407,900円）","20.99万元（日本円 約4,407,900円）","22.39万元（日本円 約4,701,900円）","22.39万元（日本円 約4,701,900円）","28.38万元（日本円 約5,959,800円）","13.85万元（日本円 約2,908,500円）","15.69万元（日本円 約3,294,900円）","15.69万元（日本円 約3,294,900円）","16.25万元（日本円 約3,412,500円）","16.25万元（日本円 約3,412,500円）","15.09万元（日本円 約3,168,900円）","15.09万元（日本円 約3,168,900円）","16.69万元（日本円 約3,504,900円）","16.69万元（日本円 約3,504,900円）","17.19万元（日本円 約3,609,900円）","17.19万元（日本円 約3,609,900円）","19.19万元（日本円 約4,029,900円）","19.19万元（日本円 約4,029,900円）","21.19万元（日本円 約4,449,900円）","21.19万元（日本円 約4,449,900円）"
基本参数,基本仕様,厂商,メーカー,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.09,2025.04,2025.04,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),110,118,118,137,137,162,162,162,162,162,162,162,162,162,162,162,110,118,118,137,137,162,162,162,162,162,162,162,162,162,162
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,320,320,350,350,350,350,350,350,350,350,350,350,350,250,250,250,320,320,350,350,350,350,350,350,350,350,350,350
基本参数,基本仕様,变速箱,トランスミッション,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
