セクション,項目,Model 3 2025款 改款 后轮驱动版,Model 3 2025款 改款 长续航后轮驱动版,Model 3 2025款 改款 长续航全轮驱动版,Model 3 2025款 改款 高性能全轮驱动版,Model 3 2025款 后轮驱动版,Model 3 2025款 长续航后轮驱动版,Model 3 2025款 长续航全轮驱动版,Model 3 2025款 高性能全轮驱动版
,厂商指导价(元),23.55万 计算器,25.95万 计算器,28.55万 计算器,33.95万 计算器,23.55万 计算器,25.95万 计算器,28.55万 计算器,33.95万 计算器
,经销商报价,23.55万起 询底价,25.95万起 询底价,28.55万起 询底价,33.95万起 询底价,23.55万起 询底价,25.95万起 询底价,28.55万起 询底价,33.95万起 询底价
基本参数,厂商,特斯拉中国,特斯拉中国,特斯拉中国,特斯拉中国,特斯拉中国,特斯拉中国,特斯拉中国,特斯拉中国
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.10,2025.10,2025.10,2025.10,2025.01,2025.08,2025.07,2025.08
基本参数,CLTC纯电续航里程(km),634,830,753,647,634,830,753,647
基本参数,最大功率(kW),194,225,331,343,194,225,331,343
基本参数,最大扭矩(N·m),340,-,559,723,340,-,559,723
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),264,306,450,466,264,306,450,466
基本参数,长*宽*高(mm),4720*1848*1442,4720*1848*1442,4720*1848*1442,4724*1848*1430,4720*1848*1442,4720*1848*1442,4720*1848*1442,4724*1848*1430
基本参数,官方0-100km/h加速(s),6.1,5.2,3.8,3.1,6.1,5.2,3.8,3.1
基本参数,最高车速(km/h),200,200,200,261,200,200,200,261
基本参数,电能当量燃料消耗量(L/100km),1.3,1.28,1.40,1.65,1.3,-,1.40,-
基本参数,整车质保,● 四年或8万公里,● 四年或8万公里,● 四年或8万公里,● 四年或8万公里,● 四年或8万公里,● 四年或8万公里,● 四年或8万公里,● 四年或8万公里
基本参数,整备质量(kg),1760,1760,1823,1851,1760,1760,1823,1851
基本参数,最大满载质量(kg),2192,2192,2255,2268,2192,2192,2255,2268
车身,长度(mm),4720,4720,4720,4724,4720,4720,4720,4724
车身,宽度(mm),1848,1848,1848,1848,1848,1848,1848,1848
车身,高度(mm),1442,1442,1442,1430,1442,1442,1442,1430
车身,轴距(mm),2875,2875,2875,2875,2875,2875,2875,2875
车身,前轮距(mm),1584,1584,1584,1582,1584,1584,1584,1582
车身,后轮距(mm),1584,1584,1584,1560,1584,1584,1584,1560
车身,满载最小离地间隙(mm),138,138,138,128,138,138,138,128
车身,接近角(°),13,13,13,12,13,13,13,12
车身,离去角(°),12,12,12,12,12,12,12,12
车身,最小转弯半径(m),5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,前备厢容积(L),88,88,88,88,88,88,88,88
车身,后备厢容积(L),594,594,594,594,594,594,594,594
车身,风阻系数(Cd),0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
电动机,前电动机品牌,-,-,特斯拉,特斯拉,-,-,特斯拉,特斯拉
电动机,后电动机品牌,特斯拉,特斯拉,特斯拉,特斯拉,特斯拉,特斯拉,特斯拉,特斯拉
电动机,前电动机型号,-,-,3D3,3D3,-,-,3D3,3D3
电动机,后电动机型号,3D7,3D6,3D7,4D2,3D7,3D6,3D7,4D2
电动机,电机类型,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),194,225,331,343,194,225,331,343
电动机,电动机总马力(Ps),264,306,450,466,264,306,450,466
电动机,电动机总扭矩(N·m),340,-,559,723,340,-,559,723
电动机,前电动机最大功率(kW),-,-,137,137,-,-,137,137
电动机,前电动机最大扭矩(N·m),-,-,219,-,-,-,219,-
电动机,后电动机最大功率(kW),194,225,194,265,194,225,194,265
电动机,后电动机最大扭矩(N·m),340,-,340,-,340,-,340,-
电动机,驱动电机数,单电机,单电机,双电机,双电机,单电机,单电机,双电机,双电机
电动机,电机布局,后置,后置,前置+后置,前置+后置,后置,后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或19.2万公里,● 八年或19.2万公里,● 八年或19.2万公里,● 八年或16万公里,● 八年或19.2万公里,● 八年或19.2万公里,● 八年或19.2万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代(福鼎时代) 宁德时代(四川时代),● LG(爱尔集),● LG(爱尔集),● LG(爱尔集),● 宁德时代(福鼎时代) 宁德时代(四川时代),● LG(爱尔集),● LG(爱尔集),● LG(爱尔集)
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),634,830,753,647,634,830,753,647
