セクション,項目,奔驰GLB 2025款 GLB 200 动感型,奔驰GLB 2025款 GLB 200 时尚型,奔驰GLB 2025款 GLB 220 动感型,奔驰GLB 2025款 GLB 220 时尚型,奔驰GLB 2025款 GLB 220 4MATIC
,厂商指导价(元),31.19万 计算器,32.19万 计算器,33.99万 计算器,34.99万 计算器,36.79万 计算器
,经销商报价,19.19万起 询底价,20.19万起 询底价,21.99万起 询底价,22.99万起 询底价,24.79万起 询底价
基本参数,厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04,2025.04
基本参数,最大功率(kW),120,120,140,140,140
基本参数,最大扭矩(N·m),270,270,300,300,300
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合
基本参数,车身结构,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV
基本参数,发动机,1.3T 163马力 L4,1.3T 163马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4
基本参数,长*宽*高(mm),4638*1834*1696,4638*1834*1701,4638*1834*1696,4638*1834*1706,4638*1834*1706
基本参数,官方0-100km/h加速(s),10,10,8.8,8.8,8.6
基本参数,最高车速(km/h),200,200,210,210,205
基本参数,WLTC综合油耗(L/100km),6.86,6.96,6.94,7.02,7.47
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),1608,1656,1646,1718,1778
基本参数,最大满载质量(kg),2105,2295,2145,2325,2385
车身,长度(mm),4638,4638,4638,4638,4638
车身,宽度(mm),1834,1834,1834,1834,1834
车身,高度(mm),1696,1701,1696,1706,1706
车身,轴距(mm),2829,2829,2829,2829,2829
车身,前轮距(mm),1590,1590,1590,1589,1589
车身,后轮距(mm),1589,1589,1592,1589,1589
车身,接近角(°),19,19,19,20,20
车身,离去角(°),24,24,24,25,25
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 7,● 5,● 7,● 7
车身,油箱容积(L),52,52,52,52,60
车身,后备厢容积(L),703-1430,703-1430,703-1430,703-1430,703-1430
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,282 814,282 814,260 920,260 920,260 920
发动机,排量(mL),1332,1332,1991,1991,1991
发动机,排量(L),1.3,1.3,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),163,163,190,190,190
发动机,最大功率(kW),120,120,140,140,140
发动机,最大功率转速(rpm),5500,5500,6100,6100,6100
发动机,最大扭矩(N·m),270,270,300,300,300
发动机,最大扭矩转速(rpm),2000-3500,2000-3500,1800-4000,1800-4000,1800-4000
发动机,最大净功率(kW),120,120,140,140,140
发动机,能源类型,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
发动机,燃油标号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合
变速箱,挡位个数,7,7,8,8,8
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,-,-,-,● 适时四驱
底盘转向,中央差速器结构,-,-,-,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/50 R19,● 235/50 R19
