セクション,項目,凯迪拉克CT5 2025款 28T 城市风尚版,凯迪拉克CT5 2025款 28T 城市运动版,凯迪拉克CT5 2025款 28T 赛道性能版,凯迪拉克CT5 2025款 28T 赛道性能版+巅峰赛道选装包
,厂商指导价(元),28.99万 计算器,29.99万 计算器,32.09万 计算器,34.59万 计算器
,经销商报价,19.99万起,21.59万起,24.59万起,26.59万起
基本参数,厂商,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克,上汽通用凯迪拉克
基本参数,级别,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.06,2025.03,2025.03,2025.03
基本参数,最大功率(kW),174,174,174,174
基本参数,最大扭矩(N·m),350,350,350,350
基本参数,变速箱,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4
基本参数,长*宽*高(mm),4930*1883*1453,4930*1883*1453,4930*1883*1445,4930*1883*1445
基本参数,官方0-100km/h加速(s),7.3,7.3,7.3,7.3
基本参数,最高车速(km/h),240,240,240,240
基本参数,WLTC综合油耗(L/100km),7.51,7.51,7.53,7.78
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),1658,1658,1691,1691
基本参数,最大满载质量(kg),2096,2096,2121,2121
车身,长度(mm),4930,4930,4930,4930
车身,宽度(mm),1883,1883,1883,1883
车身,高度(mm),1453,1453,1445,1445
车身,轴距(mm),2947,2947,2947,2947
车身,前轮距(mm),1596,1596,1596,1596
车身,后轮距(mm),1634,1634,1634,1634
车身,空载最小离地间隙(mm),113,113,107,107
车身,接近角(°),14,14,13,13
车身,离去角(°),16,16,16,16
车身,最小转弯半径(m),6,6,6,6
车身,车身结构,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),66,66,66,66
车身,后备厢容积(L),384,384,384,384
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,LSY,LSY,LSY,LSY
发动机,排量(mL),1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),237,237,237,237
发动机,最大功率(kW),174,174,174,174
发动机,最大功率转速(rpm),5000,5000,5000,5000
发动机,最大扭矩(N·m),350,350,350,350
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1500-4000
发动机,最大净功率(kW),169,169,169,169
发动机,发动机特有技术,带Tripower可变气门管理技术,带Tripower可变气门管理技术,带Tripower可变气门管理技术,带Tripower可变气门管理技术
发动机,能源类型,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
变速箱,简称,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
变速箱,挡位个数,10,10,10,10
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/45 R18,● 245/45 R18,"● 245/45 R18
○ 245/40 R19",● 245/40 R19
车轮制动,后轮胎规格,● 245/45 R18,● 245/45 R18,"● 245/45 R18
○ 245/40 R19",● 245/40 R19
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,膝部气囊,-,-,"● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊"
被动安全,被动行人保护,●,●,●,●
被动安全,缺气保用轮胎,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
