セクション,項目,皓影 2025款 240TURBO 两驱精英版 5座,皓影 2025款 240TURBO 两驱豪华版 5座,皓影 2025款 240TURBO 两驱豪华版 7座,皓影 2025款 240TURBO 两驱尊贵版 5座,皓影 2025款 240TURBO 四驱尊享版 5座,皓影 2025款 e:HEV 两驱豪华版,皓影 2025款 e:HEV 两驱尊耀版,皓影 2025款 e:HEV 四驱尊耀版,皓影 2025款 e:HEV 两驱尊享版,皓影 2025款 e:HEV 四驱至尊版
,厂商指导价(元),18.59万 计算器,19.99万 计算器,20.49万 计算器,21.39万 计算器,24.99万 计算器,19.99万 计算器,21.99万 计算器,23.29万 计算器,23.49万 计算器,26.39万 计算器
,经销商报价,11.59万起 询底价,12.99万起 询底价,13.49万起 询底价,14.39万起 询底价,17.99万起 询底价,12.99万起 询底价,14.99万起 询底价,16.29万起 询底价,16.49万起 询底价,19.39万起 询底价
基本参数,厂商,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10
基本参数,最大功率(kW),142,142,142,142,142,-,-,-,-,-
基本参数,最大扭矩(N·m),243,243,243,243,243,-,-,-,-,-
基本参数,变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4
基本参数,电动机(Ps),-,-,-,-,-,184,184,184,184,184
基本参数,长*宽*高(mm),4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1691,4716*1866*1681,4716*1866*1681,4716*1866*1691,4716*1866*1681,4716*1866*1691
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),188,188,188,188,188,177,177,177,177,177
基本参数,WLTC综合油耗(L/100km),7.31,7.31,7.39,7.31,8.12,5.49,5.49,6.14,5.49,6.44
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1615,1629,1690,1642,1709,1723,1734,1789,1750,1825
基本参数,最大满载质量(kg),2117,2117,2300,2117,2147,2260,2260,2350,2260,2350
车身,长度(mm),4716,4716,4716,4716,4716,4716,4716,4716,4716,4716
车身,宽度(mm),1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
车身,高度(mm),1681,1681,1681,1681,1691,1681,1681,1691,1681,1691
车身,轴距(mm),2701,2701,2701,2701,2700,2701,2701,2700,2701,2700
车身,前轮距(mm),1611,1611,1611,1611,1608,1601,1601,1601,1601,1601
车身,后轮距(mm),1627,1627,1627,1627,1623,1617,1617,1617,1617,1617
车身,接近角(°),16,16,16,16,17,19,19,19,19,19
车身,离去角(°),21,21,21,21,22,22,22,22,22,22
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 7,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),53,53,53,53,53,53,53,53,53,53
车身,后备厢容积(L),627,627,-,627,627,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,L15CK,L15CK,L15CK,L15CK,L15CK,LFB21,LFB21,LFB21,LFB21,LFB21
发动机,排量(mL),1498,1498,1498,1498,1498,1993,1993,1993,1993,1993
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,压缩比,10.3,10.3,10.3,10.3,10.3,13.9,13.9,13.9,13.9,13.9
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),193,193,193,193,193,150,150,150,150,150
发动机,最大功率(kW),142,142,142,142,142,110,110,110,110,110
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6100,6100,6100,6100,6100
发动机,最大扭矩(N·m),243,243,243,243,243,183,183,183,183,183
发动机,最大扭矩转速(rpm),1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,4500,4500,4500,4500,4500
发动机,最大净功率(kW),142,142,142,142,142,110,110,110,110,110
发动机,发动机特有技术,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),-,-,-,-,-,135,135,135,135,135
电动机,电动机总马力(Ps),-,-,-,-,-,184,184,184,184,184
电动机,电动机总扭矩(N·m),-,-,-,-,-,335,335,335,335,335
电动机,前电动机最大功率(kW),-,-,-,-,-,135,135,135,135,135
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,335,335,335,335,335
电动机,驱动电机数,-,-,-,-,-,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,-,-,-,-,-,前置,前置,前置,前置,前置
电动机,三电系统质保,-,-,-,-,-,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里
电池/充电,电池类型,-,-,-,-,-,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池
变速箱,简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,-,-,-,● 适时四驱,-,-,● 适时四驱,-,● 适时四驱
底盘转向,中央差速器结构,-,-,-,-,● 多片离合器,-,-,● 多片离合器,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19
车轮制动,后轮胎规格,● 235/65 R17,● 235/65 R17,● 235/65 R17,● 235/60 R18,● 235/55 R19,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/55 R19
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
