セクション,セクション_ja,項目,項目_ja,2025年モデル 240TURBO 2WD エリート 5人乗り,2025年モデル 240TURBO 2WD ラグジュアリー 5人乗り,2025年モデル 240TURBO 2WD ラグジュアリー 7人乗り,2025年モデル 240TURBO 2WD プレミアム 5人乗り,2025年モデル 240TURBO 4WD エクスクルーシブ 5人乗り,2025年モデル e HEV 2WD ラグジュアリー,2025年モデル e HEV 2WD プレミアム,2025年モデル e HEV 4WD プレミアム,2025年モデル e HEV 2WD エクスクルーシブ,2025年モデル e HEV 4WD トップグレード
,nan,厂商指导价(元),メーカー希望小売価格(元),"18.59万元（日本円 約3,903,900円）","19.99万元（日本円 約4,197,900円）","20.49万元（日本円 約4,302,900円）","21.39万元（日本円 約4,491,900円）","24.99万元（日本円 約5,247,900円）","19.99万元（日本円 約4,197,900円）","21.99万元（日本円 約4,617,900円）","23.29万元（日本円 約4,890,900円）","23.49万元（日本円 約4,932,900円）","26.39万元（日本円 約5,541,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.59万元（日本円 約2,433,900円）","12.99万元（日本円 約2,727,900円）","13.49万元（日本円 約2,832,900円）","14.39万元（日本円 約3,021,900円）","17.99万元（日本円 約3,777,900円）","12.99万元（日本円 約2,727,900円）","14.99万元（日本円 約3,147,900円）","16.29万元（日本円 約3,420,900円）","16.49万元（日本円 約3,462,900円）","19.39万元（日本円 約4,071,900円）"
基本参数,基本仕様,厂商,メーカー,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10
基本参数,基本仕様,最大功率(kW),最大出力(kW),142,142,142,142,142,-,-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),243,243,243,243,243,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,1.5T 193馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4,2.0L 150馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,-,-,-,184,184,184,184,184
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4716×1866×1681,4716×1866×1681,4716×1866×1681,4716×1866×1681,4716×1866×1691,4716×1866×1681,4716×1866×1681,4716×1866×1691,4716×1866×1681,4716×1866×1691
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),188,188,188,188,188,177,177,177,177,177
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.31,7.31,7.39,7.31,8.12,5.49,5.49,6.14,5.49,6.44
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1615,1629,1690,1642,1709,1723,1734,1789,1750,1825
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2117,2117,2300,2117,2147,2260,2260,2350,2260,2350
车身,車体,长度(mm),全長(mm),4716,4716,4716,4716,4716,4716,4716,4716,4716,4716
车身,車体,宽度(mm),全幅(mm),1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
车身,車体,高度(mm),全高(mm),1681,1681,1681,1681,1691,1681,1681,1691,1681,1691
车身,車体,轴距(mm),ホイールベース(mm),2701,2701,2701,2701,2700,2701,2701,2700,2701,2700
车身,車体,前轮距(mm),前トレッド(mm),1611,1611,1611,1611,1608,1601,1601,1601,1601,1601
车身,車体,后轮距(mm),後トレッド(mm),1627,1627,1627,1627,1623,1617,1617,1617,1617,1617
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,17,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,22,22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),53,53,53,53,53,53,53,53,53,53
车身,車体,后备厢容积(L),トランク容量(L),627,627,-,627,627,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,L15CK（エンジン型式）,L15CK（エンジン型式）,L15CK（エンジン型式）,L15CK（エンジン型式）,L15CK（エンジン型式）,LFB21（エンジン型式）,LFB21（エンジン型式）,LFB21（エンジン型式）,LFB21（エンジン型式）,LFB21（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1993,1993,1993,1993,1993
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,10.3,10.3,10.3,10.3,10.3,13.9,13.9,13.9,13.9,13.9
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),193,193,193,193,193,150,150,150,150,150
发动机,エンジン,最大功率(kW),最大出力(kW),142,142,142,142,142,110,110,110,110,110
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6100,6100,6100,6100,6100
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),243,243,243,243,243,183,183,183,183,183
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1800-5000,1800-5000,1800-5000,1800-5000,1800-5000,4500,4500,4500,4500,4500
发动机,エンジン,最大净功率(kW),最大出力(kW),142,142,142,142,142,110,110,110,110,110
发动机,エンジン,发动机特有技术,エンジン独自技術,VTECターボ,VTECターボ,VTECターボ,VTECターボ,VTECターボ,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,-,135,135,135,135,135
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,-,-,184,184,184,184,184
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,335,335,335,335,335
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,135,135,135,135,135
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,335,335,335,335,335
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,-,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,-,-,-,-,-,前置きエンジン,前置きエンジン,前置きエンジン,前置きエンジン,前置きエンジン
电动机,モーター,三电系统质保,三電システム保証,-,-,-,-,-,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km,● 10年または20万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,-,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー
变速箱,トランスミッション,简称,略称,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・四輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,● 走行状況に応じた四輪駆動,-,-,● 走行状況に応じた四輪駆動,-,● 走行状況に応じた四輪駆動
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,-,● 多板クラッチ,-,-,● 多板クラッチ,-,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/65 R17タイヤ,● 235/65 R17タイヤ,● 235/65 R17タイヤ,● 235/60 R18タイヤ,● 235/55 R19タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/55 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/65 R17タイヤ,● 235/65 R17タイヤ,● 235/65 R17タイヤ,● 235/60 R18タイヤ,● 235/55 R19タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/55 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
